SA4_NAME16	Year	labourForceParticipation
Capital Region	2006	58.5
Capital Region	2011	59
Capital Region	2016	56.8
Central Coast	2006	54.8
Central Coast	2011	55.9
Central Coast	2016	56
Central West	2006	58.1
Central West	2011	58.1
Central West	2016	55.7
Coffs Harbour - Grafton	2006	51.8
Coffs Harbour - Grafton	2011	52.2
Coffs Harbour - Grafton	2016	50.3
Far West and Orana	2006	57.3
Far West and Orana	2011	57.5
Far West and Orana	2016	55.1
Hunter Valley exc Newcastle	2006	57.8
Hunter Valley exc Newcastle	2011	58.9
Hunter Valley exc Newcastle	2016	56.9
Illawarra	2006	56.8
Illawarra	2011	57.3
Illawarra	2016	57
Mid North Coast	2006	47.7
Mid North Coast	2011	47
Mid North Coast	2016	45.5
Murray	2006	60.4
Murray	2011	59
Murray	2016	56.3
New England and North West	2006	57.9
New England and North West	2011	57.6
New England and North West	2016	55.7
Newcastle and Lake Macquarie	2006	56.4
Newcastle and Lake Macquarie	2011	58.6
Newcastle and Lake Macquarie	2016	58.5
Richmond - Tweed	2006	53.2
Richmond - Tweed	2011	53.9
Richmond - Tweed	2016	52.2
Riverina	2006	61.3
Riverina	2011	60.8
Riverina	2016	58.7
Southern Highlands and Shoalhaven	2006	51
Southern Highlands and Shoalhaven	2011	50.6
Southern Highlands and Shoalhaven	2016	49.1
Sydney - Baulkham Hills and Hawkesbury	2006	69.1
Sydney - Baulkham Hills and Hawkesbury	2011	68.2
Sydney - Baulkham Hills and Hawkesbury	2016	66.7
Sydney - Blacktown	2006	61.9
Sydney - Blacktown	2011	62.8
Sydney - Blacktown	2016	62.8
Sydney - City and Inner South	2006	58.2
Sydney - City and Inner South	2011	65.1
Sydney - City and Inner South	2016	64.9
Sydney - Eastern Suburbs	2006	60.5
Sydney - Eastern Suburbs	2011	62.7
Sydney - Eastern Suburbs	2016	63
Sydney - Inner South West	2006	55.5
Sydney - Inner South West	2011	56.4
Sydney - Inner South West	2016	57.5
Sydney - Inner West	2006	62.7
Sydney - Inner West	2011	64.5
Sydney - Inner West	2016	64.3
Sydney - North Sydney and Hornsby	2006	64.5
Sydney - North Sydney and Hornsby	2011	65.3
Sydney - North Sydney and Hornsby	2016	65.2
Sydney - Northern Beaches	2006	65
Sydney - Northern Beaches	2011	66.2
Sydney - Northern Beaches	2016	66.2
Sydney - Outer South West	2006	64.7
Sydney - Outer South West	2011	64.3
Sydney - Outer South West	2016	63.7
Sydney - Outer West and Blue Mountains	2006	65.3
