SA4_NAME16	Year	Age	persons
Capital Region	2006	0-4	11817
Capital Region	2006	5-14	28202
Capital Region	2006	15-19	12921
Capital Region	2006	20-24	9248
Capital Region	2006	25-34	20211
Capital Region	2006	35-44	28225
Capital Region	2006	45-54	29985
Capital Region	2006	55-64	26276
Capital Region	2006	65-74	17131
Capital Region	2006	75-84	10661
Capital Region	2006	85+	3271
Capital Region	2011	0-4	12754
Capital Region	2011	5-14	27060
Capital Region	2011	15-19	13273
Capital Region	2011	20-24	9620
Capital Region	2011	25-34	20134
Capital Region	2011	35-44	27520
Capital Region	2011	45-54	31117
Capital Region	2011	55-64	29952
Capital Region	2011	65-74	20665
Capital Region	2011	75-84	11417
Capital Region	2011	85+	4296
Capital Region	2016	0-4	11866
Capital Region	2016	5-14	26897
Capital Region	2016	15-19	12659
Capital Region	2016	20-24	10364
Capital Region	2016	25-34	22338
Capital Region	2016	35-44	25417
Capital Region	2016	45-54	31504
Capital Region	2016	55-64	32731
Capital Region	2016	65-74	26553
Capital Region	2016	75-84	13249
Capital Region	2016	85+	5265
Central Coast	2006	0-4	18500
Central Coast	2006	5-14	42379
Central Coast	2006	15-19	20303
Central Coast	2006	20-24	15730
Central Coast	2006	25-34	31800
Central Coast	2006	35-44	40654
Central Coast	2006	45-54	40629
Central Coast	2006	55-64	33636
Central Coast	2006	65-74	25996
Central Coast	2006	75-84	21189
Central Coast	2006	85+	7132
Central Coast	2011	0-4	19776
Central Coast	2011	5-14	40927
Central Coast	2011	15-19	21071
Central Coast	2011	20-24	17180
Central Coast	2011	25-34	32339
Central Coast	2011	35-44	40353
Central Coast	2011	45-54	42856
Central Coast	2011	55-64	38396
Central Coast	2011	65-74	29809
Central Coast	2011	75-84	20516
Central Coast	2011	85+	8966
Central Coast	2016	0-4	19181
Central Coast	2016	5-14	41245
Central Coast	2016	15-19	19930
Central Coast	2016	20-24	18174
Central Coast	2016	25-34	35278
Central Coast	2016	35-44	39376
Central Coast	2016	45-54	43630
Central Coast	2016	55-64	42364
Central Coast	2016	65-74	36591
Central Coast	2016	75-84	21691
Central Coast	2016	85+	10278
Central West	2006	0-4	12394
Central West	2006	5-14	28183
Central West	2006	15-19	13755
Central West	2006	20-24	10581
Central West	2006	25-34	20605
Central West	2006	35-44	25527
Central West	2006	45-54	26186
Central West	2006	55-64	23213
Central West	2006	65-74	15711
Central West	2006	75-84	10149
Central West	2006	85+	3366
Central West	2011	0-4	13709
Central West	2011	5-14	27443
Central West	2011	15-19	13482
Central West	2011	20-24	11440
Central West	2011	25-34	20737
Central West	2011	35-44	24665
Central West	2011	45-54	26759
Central West	2011	55-64	25161
Central West	2011	65-74	18224
Central West	2011	75-84	11067
Central West	2011	85+	4045
Central West	2016	0-4	13290
Central West	2016	5-14	27616
Central West	2016	15-19	13093
Central West	2016	20-24	11564
Central West	2016	25-34	23097
Central West	2016	35-44	23652
Central West	2016	45-54	27016
Central West	2016	55-64	26773
Central West	2016	65-74	22483
Central West	2016	75-84	12507
Central West	2016	85+	5075
Coffs Harbour - Grafton	2006	0-4	6843
Coffs Harbour - Grafton	2006	5-14	18365
Coffs Harbour - Grafton	2006	15-19	8888
Coffs Harbour - Grafton	2006	20-24	5367
Coffs Harbour - Grafton	2006	25-34	11107
Coffs Harbour - Grafton	2006	35-44	16404
Coffs Harbour - Grafton	2006	45-54	19465
Coffs Harbour - Grafton	2006	55-64	16663
Coffs Harbour - Grafton	2006	65-74	11850
Coffs Harbour - Grafton	2006	75-84	7908
Coffs Harbour - Grafton	2006	85+	2616
Coffs Harbour - Grafton	2011	0-4	7658
Coffs Harbour - Grafton	2011	5-14	17124
Coffs Harbour - Grafton	2011	15-19	8732
Coffs Harbour - Grafton	2011	20-24	6028
Coffs Harbour - Grafton	2011	25-34	11366
Coffs Harbour - Grafton	2011	35-44	15529
Coffs Harbour - Grafton	2011	45-54	19273
Coffs Harbour - Grafton	2011	55-64	19497
Coffs Harbour - Grafton	2011	65-74	13777
Coffs Harbour - Grafton	2011	75-84	8342
Coffs Harbour - Grafton	2011	85+	3280
Coffs Harbour - Grafton	2016	0-4	7129
Coffs Harbour - Grafton	2016	5-14	16734
Coffs Harbour - Grafton	2016	15-19	8016
Coffs Harbour - Grafton	2016	20-24	6135
Coffs Harbour - Grafton	2016	25-34	12753
Coffs Harbour - Grafton	2016	35-44	14690
Coffs Harbour - Grafton	2016	45-54	18165
Coffs Harbour - Grafton	2016	55-64	21286
Coffs Harbour - Grafton	2016	65-74	17629
Coffs Harbour - Grafton	2016	75-84	9702
Coffs Harbour - Grafton	2016	85+	4052
Far West and Orana	2006	0-4	8261
Far West and Orana	2006	5-14	17651
Far West and Orana	2006	15-19	7442
Far West and Orana	2006	20-24	6118
Far West and Orana	2006	25-34	12664
Far West and Orana	2006	35-44	15433
Far West and Orana	2006	45-54	16208
Far West and Orana	2006	55-64	13443
Far West and Orana	2006	65-74	9469
Far West and Orana	2006	75-84	5974
Far West and Orana	2006	85+	1817
Far West and Orana	2011	0-4	8348
Far West and Orana	2011	5-14	15921
Far West and Orana	2011	15-19	7464
Far West and Orana	2011	20-24	6299
Far West and Orana	2011	25-34	12317
Far West and Orana	2011	35-44	14015
Far West and Orana	2011	45-54	15963
Far West and Orana	2011	55-64	14410
Far West and Orana	2011	65-74	10350
Far West and Orana	2011	75-84	6339
Far West and Orana	2011	85+	2169
Far West and Orana	2016	0-4	7635
Far West and Orana	2016	5-14	14998
Far West and Orana	2016	15-19	6502
Far West and Orana	2016	20-24	6453
Far West and Orana	2016	25-34	14006
Far West and Orana	2016	35-44	12659
Far West and Orana	2016	45-54	14907
Far West and Orana	2016	55-64	15305
Far West and Orana	2016	65-74	11821
Far West and Orana	2016	75-84	6744
Far West and Orana	2016	85+	2741
Hunter Valley exc Newcastle	2006	0-4	15465
Hunter Valley exc Newcastle	2006	5-14	34185
