SA4_NAME16	Year	NonSchoolQualification	Sex	persons
Capital Region	2006		F	72314
Capital Region	2006		M	64685
Capital Region	2006	Certificate nfd	F	2021
Capital Region	2006	Certificate nfd	M	993
Capital Region	2006	Certificate I and II Level	F	1467
Capital Region	2006	Certificate I and II Level	M	630
Capital Region	2006	Certificate III and IV Level	F	6577
Capital Region	2006	Certificate III and IV Level	M	19529
Capital Region	2006	Advanced Diploma and Diploma	F	6331
Capital Region	2006	Advanced Diploma and Diploma	M	4292
Capital Region	2006	Bachelor	F	7782
Capital Region	2006	Bachelor	M	5872
Capital Region	2006	Graduate Diploma and Graduate Certificate	F	1516
Capital Region	2006	Graduate Diploma and Graduate Certificate	M	887
Capital Region	2006	Postgraduate	F	1235
Capital Region	2006	Postgraduate	M	1808
Capital Region	2011		F	70203
Capital Region	2011		M	64560
Capital Region	2011	Certificate nfd	F	2124
Capital Region	2011	Certificate nfd	M	986
Capital Region	2011	Certificate I and II Level	F	1619
Capital Region	2011	Certificate I and II Level	M	781
Capital Region	2011	Certificate III and IV Level	F	8868
Capital Region	2011	Certificate III and IV Level	M	21654
Capital Region	2011	Advanced Diploma and Diploma	F	7653
Capital Region	2011	Advanced Diploma and Diploma	M	5094
Capital Region	2011	Bachelor	F	9772
Capital Region	2011	Bachelor	M	6859
Capital Region	2011	Graduate Diploma and Graduate Certificate	F	1961
Capital Region	2011	Graduate Diploma and Graduate Certificate	M	1169
Capital Region	2011	Postgraduate	F	2006
Capital Region	2011	Postgraduate	M	2513
Capital Region	2016		F	68071
Capital Region	2016		M	64675
Capital Region	2016	Certificate nfd	F	2837
Capital Region	2016	Certificate nfd	M	1436
Capital Region	2016	Certificate I and II Level	F	1641
Capital Region	2016	Certificate I and II Level	M	823
Capital Region	2016	Certificate III and IV Level	F	10555
Capital Region	2016	Certificate III and IV Level	M	23651
Capital Region	2016	Advanced Diploma and Diploma	F	9424
Capital Region	2016	Advanced Diploma and Diploma	M	6321
Capital Region	2016	Bachelor	F	11853
Capital Region	2016	Bachelor	M	7802
Capital Region	2016	Graduate Diploma and Graduate Certificate	F	2411
Capital Region	2016	Graduate Diploma and Graduate Certificate	M	1313
Capital Region	2016	Postgraduate	F	2924
Capital Region	2016	Postgraduate	M	3102
Central Coast	2006		F	115675
Central Coast	2006		M	94001
Central Coast	2006	Certificate nfd	F	3414
Central Coast	2006	Certificate nfd	M	1664
Central Coast	2006	Certificate I and II Level	F	2107
Central Coast	2006	Certificate I and II Level	M	1022
Central Coast	2006	Certificate III and IV Level	F	10597
Central Coast	2006	Certificate III and IV Level	M	30896
Central Coast	2006	Advanced Diploma and Diploma	F	9774
Central Coast	2006	Advanced Diploma and Diploma	M	6555
Central Coast	2006	Bachelor	F	9765
Central Coast	2006	Bachelor	M	7262
Central Coast	2006	Graduate Diploma and Graduate Certificate	F	1416
Central Coast	2006	Graduate Diploma and Graduate Certificate	M	824
Central Coast	2006	Postgraduate	F	1265
Central Coast	2006	Postgraduate	M	1719
Central Coast	2011		F	112123
Central Coast	2011		M	94037
Central Coast	2011	Certificate nfd	F	3584
Central Coast	2011	Certificate nfd	M	1706
Central Coast	2011	Certificate I and II Level	F	2545
Central Coast	2011	Certificate I and II Level	M	1226
Central Coast	2011	Certificate III and IV Level	F	15038
Central Coast	2011	Certificate III and IV Level	M	33715
Central Coast	2011	Advanced Diploma and Diploma	F	11708
Central Coast	2011	Advanced Diploma and Diploma	M	7870
Central Coast	2011	Bachelor	F	12674
Central Coast	2011	Bachelor	M	8814
Central Coast	2011	Graduate Diploma and Graduate Certificate	F	1786
Central Coast	2011	Graduate Diploma and Graduate Certificate	M	1046
Central Coast	2011	Postgraduate	F	2026
Central Coast	2011	Postgraduate	M	2290
Central Coast	2016		F	106751
Central Coast	2016		M	93794
Central Coast	2016	Certificate nfd	F	4450
Central Coast	2016	Certificate nfd	M	2439
Central Coast	2016	Certificate I and II Level	F	2478
Central Coast	2016	Certificate I and II Level	M	1203
Central Coast	2016	Certificate III and IV Level	F	18292
Central Coast	2016	Certificate III and IV Level	M	36265
Central Coast	2016	Advanced Diploma and Diploma	F	15087
Central Coast	2016	Advanced Diploma and Diploma	M	9583
Central Coast	2016	Bachelor	F	16325
Central Coast	2016	Bachelor	M	11083
Central Coast	2016	Graduate Diploma and Graduate Certificate	F	2350
Central Coast	2016	Graduate Diploma and Graduate Certificate	M	1248
Central Coast	2016	Postgraduate	F	3239
Central Coast	2016	Postgraduate	M	3153
Central West	2006		F	71595
Central West	2006		M	66489
Central West	2006	Certificate nfd	F	1862
Central West	2006	Certificate nfd	M	992
Central West	2006	Certificate I and II Level	F	1635
Central West	2006	Certificate I and II Level	M	784
Central West	2006	Certificate III and IV Level	F	6380
Central West	2006	Certificate III and IV Level	M	17743
Central West	2006	Advanced Diploma and Diploma	F	5218
Central West	2006	Advanced Diploma and Diploma	M	3041
Central West	2006	Bachelor	F	6648
Central West	2006	Bachelor	M	4038
Central West	2006	Graduate Diploma and Graduate Certificate	F	1006
Central West	2006	Graduate Diploma and Graduate Certificate	M	494
Central West	2006	Postgraduate	F	731
Central West	2006	Postgraduate	M	1009
Central West	2011		F	69513
Central West	2011		M	66205
Central West	2011	Certificate nfd	F	1927
Central West	2011	Certificate nfd	M	931
Central West	2011	Certificate I and II Level	F	1709
Central West	2011	Certificate I and II Level	M	848
Central West	2011	Certificate III and IV Level	F	8772
Central West	2011	Certificate III and IV Level	M	19977
Central West	2011	Advanced Diploma and Diploma	F	6156
Central West	2011	Advanced Diploma and Diploma	M	3748
Central West	2011	Bachelor	F	8066
Central West	2011	Bachelor	M	4831
Central West	2011	Graduate Diploma and Graduate Certificate	F	1190
Central West	2011	Graduate Diploma and Graduate Certificate	M	585
Central West	2011	Postgraduate	F	1086
Central West	2011	Postgraduate	M	1201
Central West	2016		F	67928
Central West	2016		M	66328
Central West	2016	Certificate nfd	F	2595
Central West	2016	Certificate nfd	M	1359
Central West	2016	Certificate I and II Level	F	1789
Central West	2016	Certificate I and II Level	M	891
Central West	2016	Certificate III and IV Level	F	10365
Central West	2016	Certificate III and IV Level	M	21764
Central West	2016	Advanced Diploma and Diploma	F	7618
Central West	2016	Advanced Diploma and Diploma	M	4447
Central West	2016	Bachelor	F	9882
Central West	2016	Bachelor	M	5595
Central West	2016	Graduate Diploma and Graduate Certificate	F	1557
Central West	2016	Graduate Diploma and Graduate Certificate	M	767
Central West	2016	Postgraduate	F	1730
Central West	2016	Postgraduate	M	1549
Coffs Harbour - Grafton	2006		F	47953
Coffs Harbour - Grafton	2006		M	41374
Coffs Harbour - Grafton	2006	Certificate nfd	F	1340
Coffs Harbour - Grafton	2006	Certificate nfd	M	612
Coffs Harbour - Grafton	2006	Certificate I and II Level	F	1075
Coffs Harbour - Grafton	2006	Certificate I and II Level	M	473
Coffs Harbour - Grafton	2006	Certificate III and IV Level	F	4475
Coffs Harbour - Grafton	2006	Certificate III and IV Level	M	12595
Coffs Harbour - Grafton	2006	Advanced Diploma and Diploma	F	3917
Coffs Harbour - Grafton	2006	Advanced Diploma and Diploma	M	2363
Coffs Harbour - Grafton	2006	Bachelor	F	4088
Coffs Harbour - Grafton	2006	Bachelor	M	3068
Coffs Harbour - Grafton	2006	Graduate Diploma and Graduate Certificate	F	681
Coffs Harbour - Grafton	2006	Graduate Diploma and Graduate Certificate	M	419
Coffs Harbour - Grafton	2006	Postgraduate	F	443
Coffs Harbour - Grafton	2006	Postgraduate	M	595
Coffs Harbour - Grafton	2011		F	46205
Coffs Harbour - Grafton	2011		M	40706
Coffs Harbour - Grafton	2011	Certificate nfd	F	1470
Coffs Harbour - Grafton	2011	Certificate nfd	M	651
Coffs Harbour - Grafton	2011	Certificate I and II Level	F	1181
Coffs Harbour - Grafton	2011	Certificate I and II Level	M	596
Coffs Harbour - Grafton	2011	Certificate III and IV Level	F	6328
Coffs Harbour - Grafton	2011	Certificate III and IV Level	M	14062
Coffs Harbour - Grafton	2011	Advanced Diploma and Diploma	F	4554
Coffs Harbour - Grafton	2011	Advanced Diploma and Diploma	M	2829
Coffs Harbour - Grafton	2011	Bachelor	F	5504
Coffs Harbour - Grafton	2011	Bachelor	M	3684
Coffs Harbour - Grafton	2011	Graduate Diploma and Graduate Certificate	F	839
Coffs Harbour - Grafton	2011	Graduate Diploma and Graduate Certificate	M	449
Coffs Harbour - Grafton	2011	Postgraduate	F	730
Coffs Harbour - Grafton	2011	Postgraduate	M	818
Coffs Harbour - Grafton	2016		F	44192
Coffs Harbour - Grafton	2016		M	40567
Coffs Harbour - Grafton	2016	Certificate nfd	F	1942
Coffs Harbour - Grafton	2016	Certificate nfd	M	1010
Coffs Harbour - Grafton	2016	Certificate I and II Level	F	1212
Coffs Harbour - Grafton	2016	Certificate I and II Level	M	628
Coffs Harbour - Grafton	2016	Certificate III and IV Level	F	7399
Coffs Harbour - Grafton	2016	Certificate III and IV Level	M	14947
Coffs Harbour - Grafton	2016	Advanced Diploma and Diploma	F	5949
Coffs Harbour - Grafton	2016	Advanced Diploma and Diploma	M	3476
Coffs Harbour - Grafton	2016	Bachelor	F	6827
Coffs Harbour - Grafton	2016	Bachelor	M	4333
Coffs Harbour - Grafton	2016	Graduate Diploma and Graduate Certificate	F	1059
Coffs Harbour - Grafton	2016	Graduate Diploma and Graduate Certificate	M	608
Coffs Harbour - Grafton	2016	Postgraduate	F	1124
Coffs Harbour - Grafton	2016	Postgraduate	M	1014
Far West and Orana	2006		F	45095
Far West and Orana	2006		M	42758
Far West and Orana	2006	Certificate nfd	F	877
Far West and Orana	2006	Certificate nfd	M	474
Far West and Orana	2006	Certificate I and II Level	F	903
Far West and Orana	2006	Certificate I and II Level	M	373
Far West and Orana	2006	Certificate III and IV Level	F	3655
Far West and Orana	2006	Certificate III and IV Level	M	9353
Far West and Orana	2006	Advanced Diploma and Diploma	F	2491
Far West and Orana	2006	Advanced Diploma and Diploma	M	1527
Far West and Orana	2006	Bachelor	F	3557
Far West and Orana	2006	Bachelor	M	1996
Far West and Orana	2006	Graduate Diploma and Graduate Certificate	F	532
Far West and Orana	2006	Graduate Diploma and Graduate Certificate	M	251
Far West and Orana	2006	Postgraduate	F	312
Far West and Orana	2006	Postgraduate	M	332
Far West and Orana	2011		F	41919
Far West and Orana	2011		M	40738
Far West and Orana	2011	Certificate nfd	F	932
Far West and Orana	2011	Certificate nfd	M	480
Far West and Orana	2011	Certificate I and II Level	F	980
Far West and Orana	2011	Certificate I and II Level	M	443
Far West and Orana	2011	Certificate III and IV Level	F	4923
Far West and Orana	2011	Certificate III and IV Level	M	10297
Far West and Orana	2011	Advanced Diploma and Diploma	F	2876
Far West and Orana	2011	Advanced Diploma and Diploma	M	1748
Far West and Orana	2011	Bachelor	F	4357
Far West and Orana	2011	Bachelor	M	2148
Far West and Orana	2011	Graduate Diploma and Graduate Certificate	F	606
Far West and Orana	2011	Graduate Diploma and Graduate Certificate	M	249
Far West and Orana	2011	Postgraduate	F	493
Far West and Orana	2011	Postgraduate	M	407
Far West and Orana	2016		F	39313
Far West and Orana	2016		M	38878
Far West and Orana	2016	Certificate nfd	F	1163
Far West and Orana	2016	Certificate nfd	M	666
Far West and Orana	2016	Certificate I and II Level	F	967
Far West and Orana	2016	Certificate I and II Level	M	460
Far West and Orana	2016	Certificate III and IV Level	F	5584
Far West and Orana	2016	Certificate III and IV Level	M	11015
Far West and Orana	2016	Advanced Diploma and Diploma	F	3717
Far West and Orana	2016	Advanced Diploma and Diploma	M	2059
Far West and Orana	2016	Bachelor	F	5053
Far West and Orana	2016	Bachelor	M	2490
Far West and Orana	2016	Graduate Diploma and Graduate Certificate	F	702
Far West and Orana	2016	Graduate Diploma and Graduate Certificate	M	331
Far West and Orana	2016	Postgraduate	F	801
Far West and Orana	2016	Postgraduate	M	575
Hunter Valley exc Newcastle	2006		F	86908
Hunter Valley exc Newcastle	2006		M	74545
Hunter Valley exc Newcastle	2006	Certificate nfd	F	2301
Hunter Valley exc Newcastle	2006	Certificate nfd	M	1095
Hunter Valley exc Newcastle	2006	Certificate I and II Level	F	1982
Hunter Valley exc Newcastle	2006	Certificate I and II Level	M	770
Hunter Valley exc Newcastle	2006	Certificate III and IV Level	F	8383
Hunter Valley exc Newcastle	2006	Certificate III and IV Level	M	25358
Hunter Valley exc Newcastle	2006	Advanced Diploma and Diploma	F	6236
Hunter Valley exc Newcastle	2006	Advanced Diploma and Diploma	M	4350
Hunter Valley exc Newcastle	2006	Bachelor	F	6302
Hunter Valley exc Newcastle	2006	Bachelor	M	4506
Hunter Valley exc Newcastle	2006	Graduate Diploma and Graduate Certificate	F	909
Hunter Valley exc Newcastle	2006	Graduate Diploma and Graduate Certificate	M	528
Hunter Valley exc Newcastle	2006	Postgraduate	F	676
Hunter Valley exc Newcastle	2006	Postgraduate	M	906
Hunter Valley exc Newcastle	2011		F	87396
Hunter Valley exc Newcastle	2011		M	76891
Hunter Valley exc Newcastle	2011	Certificate nfd	F	2428
Hunter Valley exc Newcastle	2011	Certificate nfd	M	1101
Hunter Valley exc Newcastle	2011	Certificate I and II Level	F	2194
Hunter Valley exc Newcastle	2011	Certificate I and II Level	M	881
Hunter Valley exc Newcastle	2011	Certificate III and IV Level	F	12000
Hunter Valley exc Newcastle	2011	Certificate III and IV Level	M	29264
Hunter Valley exc Newcastle	2011	Advanced Diploma and Diploma	F	7640
Hunter Valley exc Newcastle	2011	Advanced Diploma and Diploma	M	5423
Hunter Valley exc Newcastle	2011	Bachelor	F	8424
Hunter Valley exc Newcastle	2011	Bachelor	M	5465
Hunter Valley exc Newcastle	2011	Graduate Diploma and Graduate Certificate	F	1148
Hunter Valley exc Newcastle	2011	Graduate Diploma and Graduate Certificate	M	614
Hunter Valley exc Newcastle	2011	Postgraduate	F	1119
Hunter Valley exc Newcastle	2011	Postgraduate	M	1258
Hunter Valley exc Newcastle	2016		F	87668
Hunter Valley exc Newcastle	2016		M	80100
Hunter Valley exc Newcastle	2016	Certificate nfd	F	3291
Hunter Valley exc Newcastle	2016	Certificate nfd	M	1701
Hunter Valley exc Newcastle	2016	Certificate I and II Level	F	2351
Hunter Valley exc Newcastle	2016	Certificate I and II Level	M	1029
Hunter Valley exc Newcastle	2016	Certificate III and IV Level	F	15652
Hunter Valley exc Newcastle	2016	Certificate III and IV Level	M	32620
Hunter Valley exc Newcastle	2016	Advanced Diploma and Diploma	F	10132
Hunter Valley exc Newcastle	2016	Advanced Diploma and Diploma	M	6584
Hunter Valley exc Newcastle	2016	Bachelor	F	10381
Hunter Valley exc Newcastle	2016	Bachelor	M	6165
Hunter Valley exc Newcastle	2016	Graduate Diploma and Graduate Certificate	F	1516
Hunter Valley exc Newcastle	2016	Graduate Diploma and Graduate Certificate	M	754
Hunter Valley exc Newcastle	2016	Postgraduate	F	1791
Hunter Valley exc Newcastle	2016	Postgraduate	M	1682
Illawarra	2006		F	96915
Illawarra	2006		M	81949
Illawarra	2006	Certificate nfd	F	3108
Illawarra	2006	Certificate nfd	M	1426
Illawarra	2006	Certificate I and II Level	F	2023
Illawarra	2006	Certificate I and II Level	M	923
Illawarra	2006	Certificate III and IV Level	F	8823
Illawarra	2006	Certificate III and IV Level	M	27182
Illawarra	2006	Advanced Diploma and Diploma	F	8430
Illawarra	2006	Advanced Diploma and Diploma	M	6226
Illawarra	2006	Bachelor	F	10349
Illawarra	2006	Bachelor	M	8525
Illawarra	2006	Graduate Diploma and Graduate Certificate	F	1583
Illawarra	2006	Graduate Diploma and Graduate Certificate	M	930
Illawarra	2006	Postgraduate	F	2281
Illawarra	2006	Postgraduate	M	2863
Illawarra	2011		F	93942
Illawarra	2011		M	81386
Illawarra	2011	Certificate nfd	F	3015
Illawarra	2011	Certificate nfd	M	1321
Illawarra	2011	Certificate I and II Level	F	2135
Illawarra	2011	Certificate I and II Level	M	957
Illawarra	2011	Certificate III and IV Level	F	12069
Illawarra	2011	Certificate III and IV Level	M	29523
Illawarra	2011	Advanced Diploma and Diploma	F	10048
Illawarra	2011	Advanced Diploma and Diploma	M	7668
Illawarra	2011	Bachelor	F	13124
Illawarra	2011	Bachelor	M	10303
Illawarra	2011	Graduate Diploma and Graduate Certificate	F	2056
Illawarra	2011	Graduate Diploma and Graduate Certificate	M	1172
Illawarra	2011	Postgraduate	F	3414
Illawarra	2011	Postgraduate	M	3849
Illawarra	2016		F	91446
Illawarra	2016		M	81589
Illawarra	2016	Certificate nfd	F	3978
Illawarra	2016	Certificate nfd	M	2042
Illawarra	2016	Certificate I and II Level	F	2098
Illawarra	2016	Certificate I and II Level	M	986
Illawarra	2016	Certificate III and IV Level	F	14495
Illawarra	2016	Certificate III and IV Level	M	31768
Illawarra	2016	Advanced Diploma and Diploma	F	12658
Illawarra	2016	Advanced Diploma and Diploma	M	9109
Illawarra	2016	Bachelor	F	16566
Illawarra	2016	Bachelor	M	12617
Illawarra	2016	Graduate Diploma and Graduate Certificate	F	2808
Illawarra	2016	Graduate Diploma and Graduate Certificate	M	1461
Illawarra	2016	Postgraduate	F	4956
Illawarra	2016	Postgraduate	M	4916
Mid North Coast	2006		F	75389
Mid North Coast	2006		M	63209
Mid North Coast	2006	Certificate nfd	F	2050
Mid North Coast	2006	Certificate nfd	M	991
Mid North Coast	2006	Certificate I and II Level	F	1622
Mid North Coast	2006	Certificate I and II Level	M	713
Mid North Coast	2006	Certificate III and IV Level	F	6985
Mid North Coast	2006	Certificate III and IV Level	M	20524
Mid North Coast	2006	Advanced Diploma and Diploma	F	5777
Mid North Coast	2006	Advanced Diploma and Diploma	M	3547
Mid North Coast	2006	Bachelor	F	5335
Mid North Coast	2006	Bachelor	M	3901
Mid North Coast	2006	Graduate Diploma and Graduate Certificate	F	913
Mid North Coast	2006	Graduate Diploma and Graduate Certificate	M	539
Mid North Coast	2006	Postgraduate	F	529
Mid North Coast	2006	Postgraduate	M	704
Mid North Coast	2011		F	73081
