SA4_NAME16	Year	SameAddress5YearsAgo	persons
Capital Region	2006		23492
Capital Region	2006	0	74687
Capital Region	2006	1	99763
Capital Region	2011		24573
Capital Region	2011	0	71007
Capital Region	2011	1	112243
Capital Region	2016		30034
Capital Region	2016	0	73946
Capital Region	2016	1	114863
Central Coast	2006		37849
Central Coast	2006	0	107534
Central Coast	2006	1	152574
Central Coast	2011		35633
Central Coast	2011	0	108131
Central Coast	2011	1	168418
Central Coast	2016		40140
Central Coast	2016	0	118746
Central Coast	2016	1	168850
Central West	2006		22826
Central West	2006	0	67575
Central West	2006	1	99270
Central West	2011		25370
Central West	2011	0	64505
Central West	2011	1	106865
Central West	2016		33077
Central West	2016	0	68058
Central West	2016	1	105020
Coffs Harbour - Grafton	2006		13385
Coffs Harbour - Grafton	2006	0	49707
Coffs Harbour - Grafton	2006	1	62377
Coffs Harbour - Grafton	2011		14227
Coffs Harbour - Grafton	2011	0	48099
Coffs Harbour - Grafton	2011	1	68276
Coffs Harbour - Grafton	2016		17997
Coffs Harbour - Grafton	2016	0	48566
Coffs Harbour - Grafton	2016	1	69725
Far West and Orana	2006		15831
Far West and Orana	2006	0	38561
Far West and Orana	2006	1	60093
Far West and Orana	2011		16133
Far West and Orana	2011	0	34851
Far West and Orana	2011	1	62605
Far West and Orana	2016		19627
Far West and Orana	2016	0	34247
Far West and Orana	2016	1	59905
Hunter Valley exc Newcastle	2006		27693
Hunter Valley exc Newcastle	2006	0	83377
Hunter Valley exc Newcastle	2006	1	114683
Hunter Valley exc Newcastle	2011		30106
Hunter Valley exc Newcastle	2011	0	83673
Hunter Valley exc Newcastle	2011	1	129468
Hunter Valley exc Newcastle	2016		36927
Hunter Valley exc Newcastle	2016	0	94129
Hunter Valley exc Newcastle	2016	1	132360
Illawarra	2006		30418
Illawarra	2006	0	82916
Illawarra	2006	1	150203
Illawarra	2011		29195
Illawarra	2011	0	86730
Illawarra	2011	1	160058
Illawarra	2016		34416
Illawarra	2016	0	97359
Illawarra	2016	1	161719
Mid North Coast	2006		20624
Mid North Coast	2006	0	74687
Mid North Coast	2006	1	97418
Mid North Coast	2011		22250
Mid North Coast	2011	0	69864
Mid North Coast	2011	1	108996
Mid North Coast	2016		28178
Mid North Coast	2016	0	75023
Mid North Coast	2016	1	109000
Murray	2006		12487
Murray	2006	0	40391
Murray	2006	1	56743
Murray	2011		12734
Murray	2011	0	36381
Murray	2011	1	61202
Murray	2016		17048
Murray	2016	0	38486
Murray	2016	1	60269
New England and North West	2006		20800
New England and North West	2006	0	63772
New England and North West	2006	1	87824
New England and North West	2011		22246
New England and North West	2011	0	60221
New England and North West	2011	1	93726
New England and North West	2016		28702
New England and North West	2016	0	60125
New England and North West	2016	1	92728
Newcastle and Lake Macquarie	2006		36455
Newcastle and Lake Macquarie	2006	0	111649
Newcastle and Lake Macquarie	2006	1	181855
Newcastle and Lake Macquarie	2011		36047
Newcastle and Lake Macquarie	2011	0	115455
Newcastle and Lake Macquarie	2011	1	191103
Newcastle and Lake Macquarie	2016		39242
Newcastle and Lake Macquarie	2016	0	129221
Newcastle and Lake Macquarie	2016	1	190643
Richmond - Tweed	2006		25212
Richmond - Tweed	2006	0	87585
Richmond - Tweed	2006	1	106531
Richmond - Tweed	2011		25330
Richmond - Tweed	2011	0	82376
Richmond - Tweed	2011	1	119914
Richmond - Tweed	2016		33527
Richmond - Tweed	2016	0	85066
Richmond - Tweed	2016	1	121011
Riverina	2006		18259
Riverina	2006	0	53631
Riverina	2006	1	76311
Riverina	2011		18682
Riverina	2011	0	50206
Riverina	2011	1	81231
Riverina	2016		23937
Riverina	2016	0	51846
Riverina	2016	1	80151
Southern Highlands and Shoalhaven	2006		14476
Southern Highlands and Shoalhaven	2006	0	49679
Southern Highlands and Shoalhaven	2006	1	66527
Southern Highlands and Shoalhaven	2011		15465
Southern Highlands and Shoalhaven	2011	0	46623
Southern Highlands and Shoalhaven	2011	1	74918
Southern Highlands and Shoalhaven	2016		19197
Southern Highlands and Shoalhaven	2016	0	54010
Southern Highlands and Shoalhaven	2016	1	74156
Sydney - Baulkham Hills and Hawkesbury	2006		20319
Sydney - Baulkham Hills and Hawkesbury	2006	0	69278
Sydney - Baulkham Hills and Hawkesbury	2006	1	109932
Sydney - Baulkham Hills and Hawkesbury	2011		20076
Sydney - Baulkham Hills and Hawkesbury	2011	0	63476
Sydney - Baulkham Hills and Hawkesbury	2011	1	126859
Sydney - Baulkham Hills and Hawkesbury	2016		21644
Sydney - Baulkham Hills and Hawkesbury	2016	0	76986
Sydney - Baulkham Hills and Hawkesbury	2016	1	129109
Sydney - Blacktown	2006		39478
Sydney - Blacktown	2006	0	91195
Sydney - Blacktown	2006	1	143247
Sydney - Blacktown	2011		39696
Sydney - Blacktown	2011	0	97405
Sydney - Blacktown	2011	1	166430
Sydney - Blacktown	2016		45865
Sydney - Blacktown	2016	0	117777
Sydney - Blacktown	2016	1	175995
Sydney - City and Inner South	2006		56224
Sydney - City and Inner South	2006	0	108414
Sydney - City and Inner South	2006	1	80033
Sydney - City and Inner South	2011		41622
Sydney - City and Inner South	2011	0	127410
Sydney - City and Inner South	2011	1	95512
Sydney - City and Inner South	2016		47630
Sydney - City and Inner South	2016	0	164100
Sydney - City and Inner South	2016	1	103821
Sydney - Eastern Suburbs	2006		41329
Sydney - Eastern Suburbs	2006	0	94090
Sydney - Eastern Suburbs	2006	1	100079
Sydney - Eastern Suburbs	2011		39100
Sydney - Eastern Suburbs	2011	0	103789
Sydney - Eastern Suburbs	2011	1	106656
Sydney - Eastern Suburbs	2016		39291
Sydney - Eastern Suburbs	2016	0	118137
Sydney - Eastern Suburbs	2016	1	109609
Sydney - Inner South West	2006		68428
Sydney - Inner South West	2006	0	152366
Sydney - Inner South West	2006	1	270203
Sydney - Inner South West	2011		67442
Sydney - Inner South West	2011	0	163337
Sydney - Inner South West	2011	1	292831
Sydney - Inner South West	2016		70757
Sydney - Inner South West	2016	0	199033
Sydney - Inner South West	2016	1	301626
