SA4_NAME16	Year	CountryOfBirth	persons
Capital Region	2006		16138
Capital Region	2006	AUS	161912
Capital Region	2006	CAN	277
Capital Region	2006	CHN	249
Capital Region	2006	DEU	1413
Capital Region	2006	EGY	81
Capital Region	2006	FJI	128
Capital Region	2006	GBR	8674
Capital Region	2006	GRC	356
Capital Region	2006	HKG	93
Capital Region	2006	HRV	444
Capital Region	2006	IDN	171
Capital Region	2006	IND	262
Capital Region	2006	IRL	277
Capital Region	2006	IRN	24
Capital Region	2006	IRQ	21
Capital Region	2006	ITA	844
Capital Region	2006	JPN	72
Capital Region	2006	KOR	55
Capital Region	2006	LBN	113
Capital Region	2006	LKA	109
Capital Region	2006	MKD	582
Capital Region	2006	MLT	244
Capital Region	2006	MYS	202
Capital Region	2006	NLD	916
Capital Region	2006	NZL	2185
Capital Region	2006	PAK	25
Capital Region	2006	PHL	450
Capital Region	2006	POL	242
Capital Region	2006	SGP	76
Capital Region	2006	THA	122
Capital Region	2006	TUR	41
Capital Region	2006	USA	563
Capital Region	2006	VNM	161
Capital Region	2006	ZAF	319
Capital Region	2006	ZWE	94
Capital Region	2011		15679
Capital Region	2011	AUS	170206
Capital Region	2011	CAN	320
Capital Region	2011	CHN	399
Capital Region	2011	DEU	1367
Capital Region	2011	EGY	93
Capital Region	2011	FJI	234
Capital Region	2011	GBR	8882
Capital Region	2011	GRC	327
Capital Region	2011	HKG	87
Capital Region	2011	HRV	451
Capital Region	2011	IDN	170
Capital Region	2011	IND	682
Capital Region	2011	IRL	331
Capital Region	2011	IRN	42
Capital Region	2011	IRQ	29
Capital Region	2011	ITA	820
Capital Region	2011	JPN	82
Capital Region	2011	KOR	88
Capital Region	2011	LBN	125
Capital Region	2011	LKA	135
Capital Region	2011	MKD	591
Capital Region	2011	MLT	227
Capital Region	2011	MYS	230
Capital Region	2011	NLD	873
Capital Region	2011	NZL	2484
Capital Region	2011	PAK	102
Capital Region	2011	PHL	670
Capital Region	2011	POL	244
Capital Region	2011	SGP	104
Capital Region	2011	THA	195
Capital Region	2011	TUR	38
Capital Region	2011	USA	736
Capital Region	2011	VNM	194
Capital Region	2011	ZAF	469
Capital Region	2011	ZWE	127
Capital Region	2016		22556
Capital Region	2016	AUS	173116
Capital Region	2016	CAN	373
Capital Region	2016	CHN	474
Capital Region	2016	DEU	1267
Capital Region	2016	EGY	107
Capital Region	2016	FJI	220
Capital Region	2016	GBR	8758
Capital Region	2016	GRC	263
Capital Region	2016	HKG	128
Capital Region	2016	HRV	378
Capital Region	2016	IDN	197
Capital Region	2016	IND	1207
Capital Region	2016	IRL	392
Capital Region	2016	IRN	76
Capital Region	2016	IRQ	37
Capital Region	2016	ITA	751
Capital Region	2016	JPN	95
Capital Region	2016	KOR	169
Capital Region	2016	LBN	177
Capital Region	2016	LKA	178
Capital Region	2016	MKD	562
Capital Region	2016	MLT	222
Capital Region	2016	MYS	239
Capital Region	2016	NLD	801
Capital Region	2016	NZL	2608
Capital Region	2016	PAK	148
Capital Region	2016	PHL	952
Capital Region	2016	POL	212
Capital Region	2016	SGP	110
Capital Region	2016	THA	280
Capital Region	2016	TUR	59
Capital Region	2016	USA	815
Capital Region	2016	VNM	196
Capital Region	2016	ZAF	576
Capital Region	2016	ZWE	130
Central Coast	2006		25476
Central Coast	2006	AUS	237263
Central Coast	2006	CAN	443
Central Coast	2006	CHN	607
Central Coast	2006	DEU	1113
Central Coast	2006	EGY	316
Central Coast	2006	FJI	304
Central Coast	2006	GBR	17490
Central Coast	2006	GRC	347
Central Coast	2006	HKG	215
Central Coast	2006	HRV	246
Central Coast	2006	IDN	266
Central Coast	2006	IND	541
Central Coast	2006	IRL	856
Central Coast	2006	IRN	83
Central Coast	2006	IRQ	30
Central Coast	2006	ITA	810
Central Coast	2006	JPN	145
Central Coast	2006	KOR	218
Central Coast	2006	LBN	153
Central Coast	2006	LKA	160
Central Coast	2006	MKD	36
Central Coast	2006	MLT	609
Central Coast	2006	MYS	294
Central Coast	2006	NLD	1133
Central Coast	2006	NZL	4964
Central Coast	2006	PAK	80
Central Coast	2006	PHL	996
Central Coast	2006	POL	287
Central Coast	2006	SGP	140
Central Coast	2006	THA	196
Central Coast	2006	TUR	72
Central Coast	2006	USA	757
Central Coast	2006	VNM	107
Central Coast	2006	ZAF	1075
Central Coast	2006	ZWE	144
Central Coast	2011		21978
Central Coast	2011	AUS	251642
Central Coast	2011	CAN	516
Central Coast	2011	CHN	912
Central Coast	2011	DEU	1184
Central Coast	2011	EGY	351
Central Coast	2011	FJI	333
Central Coast	2011	GBR	18115
Central Coast	2011	GRC	319
Central Coast	2011	HKG	242
Central Coast	2011	HRV	258
Central Coast	2011	IDN	314
Central Coast	2011	IND	771
Central Coast	2011	IRL	944
Central Coast	2011	IRN	107
Central Coast	2011	IRQ	53
Central Coast	2011	ITA	832
Central Coast	2011	JPN	203
Central Coast	2011	KOR	313
Central Coast	2011	LBN	157
Central Coast	2011	LKA	165
Central Coast	2011	MKD	35
Central Coast	2011	MLT	636
Central Coast	2011	MYS	349
Central Coast	2011	NLD	1120
Central Coast	2011	NZL	5411
Central Coast	2011	PAK	77
Central Coast	2011	PHL	1277
Central Coast	2011	POL	288
Central Coast	2011	SGP	150
Central Coast	2011	THA	353
Central Coast	2011	TUR	79
Central Coast	2011	USA	932
Central Coast	2011	VNM	171
Central Coast	2011	ZAF	1369
Central Coast	2011	ZWE	210
Central Coast	2016		27456
Central Coast	2016	AUS	258376
Central Coast	2016	CAN	562
Central Coast	2016	CHN	1498
Central Coast	2016	DEU	1171
Central Coast	2016	EGY	348
Central Coast	2016	FJI	379
Central Coast	2016	GBR	17974
Central Coast	2016	GRC	332
Central Coast	2016	HKG	266
Central Coast	2016	HRV	266
Central Coast	2016	IDN	384
Central Coast	2016	IND	1393
Central Coast	2016	IRL	1052
Central Coast	2016	IRN	123
Central Coast	2016	IRQ	58
Central Coast	2016	ITA	888
Central Coast	2016	JPN	273
Central Coast	2016	KOR	577
Central Coast	2016	LBN	192
Central Coast	2016	LKA	239
Central Coast	2016	MKD	39
Central Coast	2016	MLT	640
Central Coast	2016	MYS	414
Central Coast	2016	NLD	1000
Central Coast	2016	NZL	5506
