SA4_NAME16	Year	SpeaksEnglishOnly	persons
Capital Region	2006	0	9720
Capital Region	2006	1	177983
Capital Region	2011	0	11294
Capital Region	2011	1	185838
Capital Region	2016	0	12991
Capital Region	2016	1	189352
Central Coast	2006	0	11589
Central Coast	2006	1	270097
Central Coast	2011	0	14596
Central Coast	2011	1	283619
Central Coast	2016	0	19219
Central Coast	2016	1	289774
Central West	2006	0	4460
Central West	2006	1	176881
Central West	2011	0	5746
Central West	2011	1	180705
Central West	2016	0	7316
Central West	2016	1	180602
Coffs Harbour - Grafton	2006	0	3795
Coffs Harbour - Grafton	2006	1	116656
Coffs Harbour - Grafton	2011	0	5215
Coffs Harbour - Grafton	2011	1	120206
Coffs Harbour - Grafton	2016	0	6947
Coffs Harbour - Grafton	2016	1	119455
Far West and Orana	2006	0	2299
Far West and Orana	2006	1	105782
Far West and Orana	2011	0	2855
Far West and Orana	2011	1	104043
Far West and Orana	2016	0	4002
Far West and Orana	2016	1	98454
Hunter Valley exc Newcastle	2006	0	4892
Hunter Valley exc Newcastle	2006	1	210928
Hunter Valley exc Newcastle	2011	0	6301
Hunter Valley exc Newcastle	2011	1	225821
Hunter Valley exc Newcastle	2016	0	8255
Hunter Valley exc Newcastle	2016	1	236895
Illawarra	2006	0	36792
Illawarra	2006	1	215081
Illawarra	2011	0	39723
Illawarra	2011	1	226151
Illawarra	2016	0	42321
Illawarra	2016	1	236409
Mid North Coast	2006	0	3521
Mid North Coast	2006	1	180971
Mid North Coast	2011	0	4442
Mid North Coast	2011	1	187618
Mid North Coast	2016	0	5686
Mid North Coast	2016	1	191140
Murray	2006	0	3042
Murray	2006	1	102094
Murray	2011	0	4013
Murray	2011	1	101403
Murray	2016	0	5249
Murray	2016	1	101332
New England and North West	2006	0	3239
New England and North West	2006	1	161691
New England and North West	2011	0	4399
New England and North West	2011	1	163247
New England and North West	2016	0	6688
New England and North West	2016	1	159220
Newcastle and Lake Macquarie	2006	0	16295
Newcastle and Lake Macquarie	2006	1	299685
Newcastle and Lake Macquarie	2011	0	19644
Newcastle and Lake Macquarie	2011	1	309912
Newcastle and Lake Macquarie	2016	0	24344
Newcastle and Lake Macquarie	2016	1	317626
Richmond - Tweed	2006	0	6995
Richmond - Tweed	2006	1	201790
Richmond - Tweed	2011	0	8709
Richmond - Tweed	2011	1	208922
Richmond - Tweed	2016	0	10181
Richmond - Tweed	2016	1	210091
Riverina	2006	0	7970
Riverina	2006	1	133758
Riverina	2011	0	9579
Riverina	2011	1	133457
Riverina	2016	0	11825
Riverina	2016	1	131503
Southern Highlands and Shoalhaven	2006	0	4763
Southern Highlands and Shoalhaven	2006	1	119847
Southern Highlands and Shoalhaven	2011	0	5158
Southern Highlands and Shoalhaven	2011	1	124875
Southern Highlands and Shoalhaven	2016	0	6714
Southern Highlands and Shoalhaven	2016	1	130255
Sydney - Baulkham Hills and Hawkesbury	2006	0	40148
Sydney - Baulkham Hills and Hawkesbury	2006	1	152769
Sydney - Baulkham Hills and Hawkesbury	2011	0	48943
Sydney - Baulkham Hills and Hawkesbury	2011	1	155430
Sydney - Baulkham Hills and Hawkesbury	2016	0	63396
Sydney - Baulkham Hills and Hawkesbury	2016	1	156141
Sydney - Blacktown	2006	0	88793
Sydney - Blacktown	2006	1	170167
Sydney - Blacktown	2011	0	112372
Sydney - Blacktown	2011	1	178199
Sydney - Blacktown	2016	0	139947
Sydney - Blacktown	2016	1	181836
Sydney - City and Inner South	2006	0	71074
Sydney - City and Inner South	2006	1	129296
Sydney - City and Inner South	2011	0	85731
Sydney - City and Inner South	2011	1	151102
Sydney - City and Inner South	2016	0	113701
Sydney - City and Inner South	2016	1	168746
Sydney - Eastern Suburbs	2006	0	50980
Sydney - Eastern Suburbs	2006	1	156798
Sydney - Eastern Suburbs	2011	0	58400
Sydney - Eastern Suburbs	2011	1	168152
Sydney - Eastern Suburbs	2016	0	68359
Sydney - Eastern Suburbs	2016	1	174685
Sydney - Inner South West	2006	0	255224
Sydney - Inner South West	2006	1	204389
Sydney - Inner South West	2011	0	292294
Sydney - Inner South West	2011	1	202903
Sydney - Inner South West	2016	0	331986
Sydney - Inner South West	2016	1	208749
Sydney - Inner West	2006	0	90141
Sydney - Inner West	2006	1	135067
Sydney - Inner West	2011	0	103520
Sydney - Inner West	2011	1	144449
Sydney - Inner West	2016	0	123309
Sydney - Inner West	2016	1	151957
Sydney - North Sydney and Hornsby	2006	0	70061
Sydney - North Sydney and Hornsby	2006	1	263122
Sydney - North Sydney and Hornsby	2011	0	88566
Sydney - North Sydney and Hornsby	2011	1	268823
Sydney - North Sydney and Hornsby	2016	0	116573
Sydney - North Sydney and Hornsby	2016	1	269493
Sydney - Northern Beaches	2006	0	27140
Sydney - Northern Beaches	2006	1	185720
Sydney - Northern Beaches	2011	0	31828
Sydney - Northern Beaches	2011	1	195949
Sydney - Northern Beaches	2016	0	38204
Sydney - Northern Beaches	2016	1	201772
Sydney - Outer South West	2006	0	36562
Sydney - Outer South West	2006	1	175911
Sydney - Outer South West	2011	0	43190
Sydney - Outer South West	2011	1	182404
Sydney - Outer South West	2016	0	57044
Sydney - Outer South West	2016	1	191267
Sydney - Outer West and Blue Mountains	2006	0	27938
Sydney - Outer West and Blue Mountains	2006	1	238313
Sydney - Outer West and Blue Mountains	2011	0	31332
Sydney - Outer West and Blue Mountains	2011	1	244106
Sydney - Outer West and Blue Mountains	2016	0	39546
Sydney - Outer West and Blue Mountains	2016	1	250484
Sydney - Parramatta	2006	0	173758
Sydney - Parramatta	2006	1	155716
Sydney - Parramatta	2011	0	214913
Sydney - Parramatta	2011	1	154853
Sydney - Parramatta	2016	0	264622
Sydney - Parramatta	2016	1	155954
Sydney - Ryde	2006	0	50821
Sydney - Ryde	2006	1	96089
Sydney - Ryde	2011	0	62763
Sydney - Ryde	2011	1	94139
Sydney - Ryde	2016	0	82155
Sydney - Ryde	2016	1	92694
Sydney - South West	2006	0	189724
Sydney - South West	2006	1	127128
Sydney - South West	2011	0	212782
Sydney - South West	2011	1	129175
Sydney - South West	2016	0	241162
Sydney - South West	2016	1	142130
Sydney - Sutherland	2006	0	21181
Sydney - Sutherland	2006	1	175415
Sydney - Sutherland	2011	0	24297
Sydney - Sutherland	2011	1	179146
Sydney - Sutherland	2016	0	28344
Sydney - Sutherland	2016	1	181129
Migratory - Offshore - Shipping (NSW)	2006	0	3
Migratory - Offshore - Shipping (NSW)	2006	1	41
Migratory - Offshore - Shipping (NSW)	2011	0	21
Migratory - Offshore - Shipping (NSW)	2011	1	83
Migratory - Offshore - Shipping (NSW)	2016	0	92
Migratory - Offshore - Shipping (NSW)	2016	1	279
No usual address (NSW)	2006	0	1624
No usual address (NSW)	2006	1	7491
No usual address (NSW)	2011	0	1716
No usual address (NSW)	2011	1	8616
No usual address (NSW)	2016	0	1822
No usual address (NSW)	2016	1	7212
Ballarat	2006	0	4123
Ballarat	2006	1	126095
Ballarat	2011	0	5433
Ballarat	2011	1	134638
Ballarat	2016	0	7293
Ballarat	2016	1	139419
Bendigo	2006	0	3006
Bendigo	2006	1	123777
Bendigo	2011	0	4382
Bendigo	2011	1	129977
Bendigo	2016	0	6711
Bendigo	2016	1	134612
Geelong	2006	0	19182
Geelong	2006	1	202646
Geelong	2011	0	21631
Geelong	2011	1	219037
Geelong	2016	0	26527
Geelong	2016	1	235394
Hume	2006	0	6080
Hume	2006	1	140648
Hume	2011	0	6708
Hume	2011	1	146596
Hume	2016	0	7831
Hume	2016	1	149577
Latrobe - Gippsland	2006	0	9344
Latrobe - Gippsland	2006	1	218251
Latrobe - Gippsland	2011	0	11456
Latrobe - Gippsland	2011	1	232829
Latrobe - Gippsland	2016	0	12536
Latrobe - Gippsland	2016	1	237339
Melbourne - Inner	2006	0	122335
Melbourne - Inner	2006	1	291287
Melbourne - Inner	2011	0	139769
Melbourne - Inner	2011	1	325171
Melbourne - Inner	2016	0	178518
Melbourne - Inner	2016	1	361824
Melbourne - Inner East	2006	0	91130
Melbourne - Inner East	2006	1	224380
Melbourne - Inner East	2011	0	106625
Melbourne - Inner East	2011	1	221273
Melbourne - Inner East	2016	0	129062
Melbourne - Inner East	2016	1	215176
Melbourne - Inner South	2006	0	68916
Melbourne - Inner South	2006	1	269591
Melbourne - Inner South	2011	0	82047
Melbourne - Inner South	2011	1	280434
Melbourne - Inner South	2016	0	94079
Melbourne - Inner South	2016	1	289673
Melbourne - North East	2006	0	113909
Melbourne - North East	2006	1	264725
Melbourne - North East	2011	0	134548
Melbourne - North East	2011	1	284853
Melbourne - North East	2016	0	162307
Melbourne - North East	2016	1	307322
Melbourne - North West	2006	0	98550
Melbourne - North West	2006	1	176384
Melbourne - North West	2011	0	118314
Melbourne - North West	2011	1	185450
Melbourne - North West	2016	0	143441
Melbourne - North West	2016	1	199430
Melbourne - Outer East	2006	0	58599
Melbourne - Outer East	2006	1	390602
Melbourne - Outer East	2011	0	73161
Melbourne - Outer East	2011	1	391889
Melbourne - Outer East	2016	0	93682
Melbourne - Outer East	2016	1	385044
Melbourne - South East	2006	0	197236
Melbourne - South East	2006	1	358618
Melbourne - South East	2011	0	251428
Melbourne - South East	2011	1	380958
Melbourne - South East	2016	0	321047
Melbourne - South East	2016	1	396245
Melbourne - West	2006	0	181061
Melbourne - West	2006	1	298822
Melbourne - West	2011	0	236921
Melbourne - West	2011	1	344375
Melbourne - West	2016	0	305154
Melbourne - West	2016	1	378070
Mornington Peninsula	2006	0	15774
Mornington Peninsula	2006	1	222833
Mornington Peninsula	2011	0	20069
Mornington Peninsula	2011	1	238194
Mornington Peninsula	2016	0	23650
Mornington Peninsula	2016	1	248413
North West	2006	0	7413
North West	2006	1	134592
North West	2011	0	8894
North West	2011	1	131834
North West	2016	0	9948
North West	2016	1	127271
Shepparton	2006	0	7571
Shepparton	2006	1	107679
Shepparton	2011	0	9774
Shepparton	2011	1	109013
Shepparton	2016	0	11815
Shepparton	2016	1	107747
Warrnambool and South West	2006	0	2147
Warrnambool and South West	2006	1	112571
Warrnambool and South West	2011	0	2851
Warrnambool and South West	2011	1	113097
Warrnambool and South West	2016	0	3836
Warrnambool and South West	2016	1	110036
Migratory - Offshore - Shipping (Vic.)	2006	0	8
Migratory - Offshore - Shipping (Vic.)	2006	1	38
Migratory - Offshore - Shipping (Vic.)	2011	0	0
Migratory - Offshore - Shipping (Vic.)	2011	1	36
Migratory - Offshore - Shipping (Vic.)	2016	0	10
Migratory - Offshore - Shipping (Vic.)	2016	1	18
No usual address (Vic.)	2006	0	1058
No usual address (Vic.)	2006	1	4741
No usual address (Vic.)	2011	0	1416
No usual address (Vic.)	2011	1	5206
No usual address (Vic.)	2016	0	1393
No usual address (Vic.)	2016	1	4201
Brisbane - East	2006	0	10600
Brisbane - East	2006	1	173366
Brisbane - East	2011	0	14287
Brisbane - East	2011	1	189629
Brisbane - East	2016	0	17621
Brisbane - East	2016	1	195482
Brisbane - North	2006	0	15002
Brisbane - North	2006	1	151158
Brisbane - North	2011	0	23409
Brisbane - North	2011	1	159370
Brisbane - North	2016	0	31992
Brisbane - North	2016	1	164256
Brisbane - South	2006	0	61012
Brisbane - South	2006	1	213170
Brisbane - South	2011	0	85030
Brisbane - South	2011	1	215563
Brisbane - South	2016	0	110998
Brisbane - South	2016	1	212811
Brisbane - West	2006	0	18787
Brisbane - West	2006	1	135428
Brisbane - West	2011	0	24316
Brisbane - West	2011	1	140183
Brisbane - West	2016	0	30311
Brisbane - West	2016	1	141560
Brisbane Inner City	2006	0	22997
Brisbane Inner City	2006	1	162294
Brisbane Inner City	2011	0	33416
Brisbane Inner City	2011	1	176126
Brisbane Inner City	2016	0	45755
Brisbane Inner City	2016	1	184859
Cairns	2006	0	16972
Cairns	2006	1	170191
Cairns	2011	0	22617
Cairns	2011	1	186663
Cairns	2016	0	27621
Cairns	2016	1	190417
Darling Downs - Maranoa	2006	0	2392
Darling Downs - Maranoa	2006	1	107401
Darling Downs - Maranoa	2011	0	3497
Darling Downs - Maranoa	2011	1	111864
Darling Downs - Maranoa	2016	0	4616
Darling Downs - Maranoa	2016	1	110994
Central Queensland	2006	0	4855
Central Queensland	2006	1	177004
Central Queensland	2011	0	8507
Central Queensland	2011	1	188337
Central Queensland	2016	0	11483
Central Queensland	2016	1	191286
Gold Coast	2006	0	38121
Gold Coast	2006	1	374518
Gold Coast	2011	0	51256
Gold Coast	2011	1	424784
Gold Coast	2016	0	68814
Gold Coast	2016	1	459299
Ipswich	2006	0	25249
Ipswich	2006	1	202136
Ipswich	2011	0	36682
Ipswich	2011	1	228911
Ipswich	2016	0	50154
Ipswich	2016	1	247560
