SA4_NAME16	Year	EduInstitutionType	students
Mid North Coast	2006	University or other tertiary	1857
Mid North Coast	2011		14944
Mid North Coast	2011	Infants/Primary	15404
Mid North Coast	2011	Pre-school	3608
Mid North Coast	2011	Secondary	13216
Mid North Coast	2011	Technical or Further Educational Institution	4600
Mid North Coast	2011	University or other tertiary	2569
Mid North Coast	2016		19113
Mid North Coast	2016	Infants/Primary	15741
Mid North Coast	2016	Pre-school	3538
Mid North Coast	2016	Secondary	12514
Mid North Coast	2016	Technical or Further Educational Institution	3911
Mid North Coast	2016	University or other tertiary	3296
Murray	2006		8350
Murray	2006	Infants/Primary	9890
Murray	2006	Pre-school	1814
Murray	2006	Secondary	7745
Murray	2006	Technical or Further Educational Institution	2848
Murray	2006	University or other tertiary	2284
Murray	2011		8113
Murray	2011	Infants/Primary	8948
Murray	2011	Pre-school	1985
Murray	2011	Secondary	7459
Murray	2011	Technical or Further Educational Institution	3056
Murray	2011	University or other tertiary	2501
Murray	2016		11073
Murray	2016	Infants/Primary	9398
Murray	2016	Pre-school	1997
Murray	2016	Secondary	7084
Murray	2016	Technical or Further Educational Institution	2203
Murray	2016	University or other tertiary	2565
New England and North West	2006		13249
New England and North West	2006	Infants/Primary	16039
New England and North West	2006	Pre-school	3248
New England and North West	2006	Secondary	12457
New England and North West	2006	Technical or Further Educational Institution	4306
New England and North West	2006	University or other tertiary	4679
New England and North West	2011		13680
New England and North West	2011	Infants/Primary	15236
New England and North West	2011	Pre-school	3479
New England and North West	2011	Secondary	12027
New England and North West	2011	Technical or Further Educational Institution	4293
New England and North West	2011	University or other tertiary	5096
New England and North West	2016		18659
New England and North West	2016	Infants/Primary	15417
New England and North West	2016	Pre-school	3470
New England and North West	2016	Secondary	11366
New England and North West	2016	Technical or Further Educational Institution	3168
New England and North West	2016	University or other tertiary	5517
Newcastle and Lake Macquarie	2006		24213
Newcastle and Lake Macquarie	2006	Infants/Primary	26990
Newcastle and Lake Macquarie	2006	Pre-school	5707
Newcastle and Lake Macquarie	2006	Secondary	20895
Newcastle and Lake Macquarie	2006	Technical or Further Educational Institution	8051
Newcastle and Lake Macquarie	2006	University or other tertiary	13774
Newcastle and Lake Macquarie	2011		21395
Newcastle and Lake Macquarie	2011	Infants/Primary	26426
Newcastle and Lake Macquarie	2011	Pre-school	6162
Newcastle and Lake Macquarie	2011	Secondary	20877
