SA4_NAME16	Year	averageHouseholdSize
Capital Region	2006	2.5
Central Coast	2006	2.5
Central West	2006	2.5
Coffs Harbour - Grafton	2006	2.4
Far West and Orana	2006	2.5
Hunter Valley exc Newcastle	2006	2.6
Illawarra	2006	2.6
Mid North Coast	2006	2.4
Murray	2006	2.4
New England and North West	2006	2.5
Newcastle and Lake Macquarie	2006	2.5
Richmond - Tweed	2006	2.4
Riverina	2006	2.6
Southern Highlands and Shoalhaven	2006	2.4
Sydney - Baulkham Hills and Hawkesbury	2006	3.1
Sydney - Blacktown	2006	3
Sydney - City and Inner South	2006	2.1
Sydney - Eastern Suburbs	2006	2.3
Sydney - Inner South West	2006	2.8
Sydney - Inner West	2006	2.5
Sydney - North Sydney and Hornsby	2006	2.5
Sydney - Northern Beaches	2006	2.6
Sydney - Outer South West	2006	3
Sydney - Outer West and Blue Mountains	2006	2.8
Sydney - Parramatta	2006	2.8
Sydney - Ryde	2006	2.6
Sydney - South West	2006	3.2
Sydney - Sutherland	2006	2.7
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	2.5
Bendigo	2006	2.5
Geelong	2006	2.5
Hume	2006	2.5
Latrobe - Gippsland	2006	2.4
Melbourne - Inner	2006	2.1
Melbourne - Inner East	2006	2.6
Melbourne - Inner South	2006	2.5
Melbourne - North East	2006	2.8
Melbourne - North West	2006	2.9
Melbourne - Outer East	2006	2.7
Melbourne - South East	2006	2.8
Melbourne - West	2006	2.8
Mornington Peninsula	2006	2.5
North West	2006	2.4
Shepparton	2006	2.5
Warrnambool and South West	2006	2.5
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Brisbane - East	2006	2.7
Brisbane - North	2006	2.5
Brisbane - South	2006	2.6
Brisbane - West	2006	2.7
Brisbane Inner City	2006	2.2
Cairns	2006	2.5
Darling Downs - Maranoa	2006	2.6
Central Queensland	2006	2.6
Gold Coast	2006	2.5
Ipswich	2006	2.8
Logan - Beaudesert	2006	2.9
Mackay - Isaac - Whitsunday	2006	2.7
Moreton Bay - North	2006	2.6
Moreton Bay - South	2006	2.9
Queensland - Outback	2006	2.8
Sunshine Coast	2006	2.5
Toowoomba	2006	2.6
Townsville	2006	2.6
Wide Bay	2006	2.5
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide - Central and Hills	2006	2.4
Adelaide - North	2006	2.5
Adelaide - South	2006	2.4
Adelaide - West	2006	2.3
Barossa - Yorke - Mid North	2006	2.4
South Australia - Outback	2006	2.4
South Australia - South East	2006	2.4
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Bunbury	2006	2.6
Mandurah	2006	2.4
Perth - Inner	2006	2.3
Perth - North East	2006	2.6
Perth - North West	2006	2.6
Perth - South East	2006	2.5
Perth - South West	2006	2.6
Western Australia - Wheat Belt	2006	2.5
Western Australia - Outback (North)	2006	2.9
Western Australia - Outback (South)	2006	2.6
Migratory - Offshore - Shipping (WA)	2006	0
No usual address (WA)	2006	0
Hobart	2006	2.4
Launceston and North East	2006	2.4
South East	2006	2.5
West and North West	2006	2.4
Migratory - Offshore - Shipping (Tas.)	2006	0
No usual address (Tas.)	2006	0
Darwin	2006	2.6
Northern Territory - Outback	2006	3.4
Migratory - Offshore - Shipping (NT)	2006	0
No usual address (NT)	2006	0
Australian Capital Territory	2006	2.6
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	0
Other Territories	2006	2.9
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	0
Capital Region	2011	2.4
Central Coast	2011	2.5
Central West	2011	2.5
Coffs Harbour - Grafton	2011	2.4
Far West and Orana	2011	2.4
Hunter Valley exc Newcastle	2011	2.6
Illawarra	2011	2.6
Mid North Coast	2011	2.3
Murray	2011	2.4
New England and North West	2011	2.4
Newcastle and Lake Macquarie	2011	2.5
Richmond - Tweed	2011	2.4
Riverina	2011	2.5
Southern Highlands and Shoalhaven	2011	2.4
Sydney - Baulkham Hills and Hawkesbury	2011	3.1
Sydney - Blacktown	2011	3.1
Sydney - City and Inner South	2011	2.1
Sydney - Eastern Suburbs	2011	2.3
Sydney - Inner South West	2011	2.8
Sydney - Inner West	2011	2.5
Sydney - North Sydney and Hornsby	2011	2.6
