SA4_NAME16	Year	SameAddress1YearAgo	Sex	persons
Capital Region	2006		F	5685
Capital Region	2006		M	7142
Capital Region	2006	0	F	14624
Capital Region	2006	0	M	14085
Capital Region	2006	1	F	78934
Capital Region	2006	1	M	77469
Capital Region	2011		F	5763
Capital Region	2011		M	7254
Capital Region	2011	0	F	14671
Capital Region	2011	0	M	13943
Capital Region	2011	1	F	83772
Capital Region	2011	1	M	82419
Capital Region	2016		F	10579
Capital Region	2016		M	11475
Capital Region	2016	0	F	14812
Capital Region	2016	0	M	14215
Capital Region	2016	1	F	84325
Capital Region	2016	1	M	83433
Central Coast	2006		F	10378
Central Coast	2006		M	10227
Central Coast	2006	0	F	21480
Central Coast	2006	0	M	19948
Central Coast	2006	1	F	122155
Central Coast	2006	1	M	113768
Central Coast	2011		F	8710
Central Coast	2011		M	8949
Central Coast	2011	0	F	21505
Central Coast	2011	0	M	19584
Central Coast	2011	1	F	131269
Central Coast	2011	1	M	122171
Central Coast	2016		F	14985
Central Coast	2016		M	14279
Central Coast	2016	0	F	22709
Central Coast	2016	0	M	20819
Central Coast	2016	1	F	131278
Central Coast	2016	1	M	123670
Central West	2006		F	4859
Central West	2006		M	6480
Central West	2006	0	F	14189
Central West	2006	0	M	13358
Central West	2006	1	F	76027
Central West	2006	1	M	74752
Central West	2011		F	5638
Central West	2011		M	7497
Central West	2011	0	F	14015
Central West	2011	0	M	13335
Central West	2011	1	F	78766
Central West	2011	1	M	77494
Central West	2016		F	11306
Central West	2016		M	12670
Central West	2016	0	F	13855
Central West	2016	0	M	13021
Central West	2016	1	F	78303
Central West	2016	1	M	77009
Coffs Harbour - Grafton	2006		F	3007
Coffs Harbour - Grafton	2006		M	3563
Coffs Harbour - Grafton	2006	0	F	10438
Coffs Harbour - Grafton	2006	0	M	9513
Coffs Harbour - Grafton	2006	1	F	50527
Coffs Harbour - Grafton	2006	1	M	48423
Coffs Harbour - Grafton	2011		F	3188
Coffs Harbour - Grafton	2011		M	3641
Coffs Harbour - Grafton	2011	0	F	10496
Coffs Harbour - Grafton	2011	0	M	9488
Coffs Harbour - Grafton	2011	1	F	53127
Coffs Harbour - Grafton	2011	1	M	50666
Coffs Harbour - Grafton	2016		F	6713
Coffs Harbour - Grafton	2016		M	6794
Coffs Harbour - Grafton	2016	0	F	10140
Coffs Harbour - Grafton	2016	0	M	9338
Coffs Harbour - Grafton	2016	1	F	52851
Coffs Harbour - Grafton	2016	1	M	50451
Far West and Orana	2006		F	3926
Far West and Orana	2006		M	4469
Far West and Orana	2006	0	F	8726
Far West and Orana	2006	0	M	8136
Far West and Orana	2006	1	F	44770
Far West and Orana	2006	1	M	44459
Far West and Orana	2011		F	3774
Far West and Orana	2011		M	4689
Far West and Orana	2011	0	F	7777
Far West and Orana	2011	0	M	7316
Far West and Orana	2011	1	F	45535
Far West and Orana	2011	1	M	44505
Far West and Orana	2016		F	6933
Far West and Orana	2016		M	7532
Far West and Orana	2016	0	F	7418
Far West and Orana	2016	0	M	6760
Far West and Orana	2016	1	F	42949
Far West and Orana	2016	1	M	42182
Hunter Valley exc Newcastle	2006		F	6285
Hunter Valley exc Newcastle	2006		M	7361
Hunter Valley exc Newcastle	2006	0	F	16875
Hunter Valley exc Newcastle	2006	0	M	16201
Hunter Valley exc Newcastle	2006	1	F	90537
Hunter Valley exc Newcastle	2006	1	M	88496
Hunter Valley exc Newcastle	2011		F	6677
Hunter Valley exc Newcastle	2011		M	8006
Hunter Valley exc Newcastle	2011	0	F	17519
Hunter Valley exc Newcastle	2011	0	M	16828
Hunter Valley exc Newcastle	2011	1	F	98153
Hunter Valley exc Newcastle	2011	1	M	96063
Hunter Valley exc Newcastle	2016		F	12462
Hunter Valley exc Newcastle	2016		M	13420
Hunter Valley exc Newcastle	2016	0	F	18530
Hunter Valley exc Newcastle	2016	0	M	17493
Hunter Valley exc Newcastle	2016	1	F	101790
Hunter Valley exc Newcastle	2016	1	M	99722
Illawarra	2006		F	7520
Illawarra	2006		M	7976
Illawarra	2006	0	F	16892
Illawarra	2006	0	M	16372
Illawarra	2006	1	F	109100
Illawarra	2006	1	M	105676
Illawarra	2011		F	6533
Illawarra	2011		M	7110
Illawarra	2011	0	F	17694
Illawarra	2011	0	M	16952
Illawarra	2011	1	F	115576
Illawarra	2011	1	M	112117
Illawarra	2016		F	12008
Illawarra	2016		M	12061
Illawarra	2016	0	F	18926
Illawarra	2016	0	M	18389
Illawarra	2016	1	F	118071
Illawarra	2016	1	M	114038
Mid North Coast	2006		F	5085
Mid North Coast	2006		M	5567
Mid North Coast	2006	0	F	14635
Mid North Coast	2006	0	M	13563
Mid North Coast	2006	1	F	78880
