SA4_NAME16	Year	Sex	SpeaksEnglishOnly	persons
Capital Region	2006	F	0	4878
Capital Region	2006	F	1	89887
Capital Region	2006	M	0	4844
Capital Region	2006	M	1	88093
Capital Region	2011	F	0	5732
Capital Region	2011	F	1	93764
Capital Region	2011	M	0	5561
Capital Region	2011	M	1	92077
Capital Region	2016	F	0	6694
Capital Region	2016	F	1	95256
Capital Region	2016	M	0	6296
Capital Region	2016	M	1	94095
Central Coast	2006	F	0	6141
Central Coast	2006	F	1	139602
Central Coast	2006	M	0	5453
Central Coast	2006	M	1	130500
Central Coast	2011	F	0	7894
Central Coast	2011	F	1	146642
Central Coast	2011	M	0	6698
Central Coast	2011	M	1	136979
Central Coast	2016	F	0	10407
Central Coast	2016	F	1	148827
Central Coast	2016	M	0	8810
Central Coast	2016	M	1	140949
Central West	2006	F	0	2255
Central West	2006	F	1	89434
Central West	2006	M	0	2206
Central West	2006	M	1	87450
Central West	2011	F	0	2982
Central West	2011	F	1	91153
Central West	2011	M	0	2764
Central West	2011	M	1	89544
Central West	2016	F	0	3781
Central West	2016	F	1	91275
Central West	2016	M	0	3537
Central West	2016	M	1	89329
Coffs Harbour - Grafton	2006	F	0	2024
Coffs Harbour - Grafton	2006	F	1	59659
Coffs Harbour - Grafton	2006	M	0	1768
Coffs Harbour - Grafton	2006	M	1	56991
Coffs Harbour - Grafton	2011	F	0	2794
Coffs Harbour - Grafton	2011	F	1	61612
Coffs Harbour - Grafton	2011	M	0	2422
Coffs Harbour - Grafton	2011	M	1	58591
Coffs Harbour - Grafton	2016	F	0	3727
Coffs Harbour - Grafton	2016	F	1	61086
Coffs Harbour - Grafton	2016	M	0	3221
Coffs Harbour - Grafton	2016	M	1	58373
Far West and Orana	2006	F	0	1125
Far West and Orana	2006	F	1	53307
Far West and Orana	2006	M	0	1181
Far West and Orana	2006	M	1	52479
Far West and Orana	2011	F	0	1444
Far West and Orana	2011	F	1	52742
Far West and Orana	2011	M	0	1411
Far West and Orana	2011	M	1	51301
Far West and Orana	2016	F	0	2075
Far West and Orana	2016	F	1	49888
Far West and Orana	2016	M	0	1930
Far West and Orana	2016	M	1	48570
Hunter Valley exc Newcastle	2006	F	0	2580
Hunter Valley exc Newcastle	2006	F	1	106556
Hunter Valley exc Newcastle	2006	M	0	2312
Hunter Valley exc Newcastle	2006	M	1	104375
Hunter Valley exc Newcastle	2011	F	0	3323
Hunter Valley exc Newcastle	2011	F	1	114072
Hunter Valley exc Newcastle	2011	M	0	2972
Hunter Valley exc Newcastle	2011	M	1	111753
Hunter Valley exc Newcastle	2016	F	0	4350
Hunter Valley exc Newcastle	2016	F	1	119871
Hunter Valley exc Newcastle	2016	M	0	3902
Hunter Valley exc Newcastle	2016	M	1	117025
Illawarra	2006	F	0	18802
Illawarra	2006	F	1	109141
Illawarra	2006	M	0	17990
Illawarra	2006	M	1	105938
Illawarra	2011	F	0	20329
Illawarra	2011	F	1	114681
Illawarra	2011	M	0	19390
Illawarra	2011	M	1	111469
Illawarra	2016	F	0	21851
Illawarra	2016	F	1	119797
Illawarra	2016	M	0	20468
Illawarra	2016	M	1	116613
Mid North Coast	2006	F	0	1857
Mid North Coast	2006	F	1	92811
Mid North Coast	2006	M	0	1661
Mid North Coast	2006	M	1	88165
Mid North Coast	2011	F	0	2401
Mid North Coast	2011	F	1	96489
Mid North Coast	2011	M	0	2039
Mid North Coast	2011	M	1	91125
Mid North Coast	2016	F	0	3112
Mid North Coast	2016	F	1	98220
Mid North Coast	2016	M	0	2576
Mid North Coast	2016	M	1	92920
Murray	2006	F	0	1608
Murray	2006	F	1	51499
Murray	2006	M	0	1439
Murray	2006	M	1	50597
Murray	2011	F	0	2044
Murray	2011	F	1	51438
Murray	2011	M	0	1965
Murray	2011	M	1	49961
Murray	2016	F	0	2721
Murray	2016	F	1	51413
Murray	2016	M	0	2530
Murray	2016	M	1	49918
New England and North West	2006	F	0	1676
New England and North West	2006	F	1	82012
New England and North West	2006	M	0	1570
New England and North West	2006	M	1	79684
New England and North West	2011	F	0	2187
New England and North West	2011	F	1	83032
New England and North West	2011	M	0	2210
New England and North West	2011	M	1	80212
New England and North West	2016	F	0	3344
New England and North West	2016	F	1	81184
New England and North West	2016	M	0	3343
New England and North West	2016	M	1	78038
Newcastle and Lake Macquarie	2006	F	0	8499
Newcastle and Lake Macquarie	2006	F	1	153383
Newcastle and Lake Macquarie	2006	M	0	7797
Newcastle and Lake Macquarie	2006	M	1	146301
Newcastle and Lake Macquarie	2011	F	0	10227
Newcastle and Lake Macquarie	2011	F	1	158192
Newcastle and Lake Macquarie	2011	M	0	9414
Newcastle and Lake Macquarie	2011	M	1	151721
Newcastle and Lake Macquarie	2016	F	0	12765
Newcastle and Lake Macquarie	2016	F	1	161519
Newcastle and Lake Macquarie	2016	M	0	11582
Newcastle and Lake Macquarie	2016	M	1	156106
Richmond - Tweed	2006	F	0	3777
Richmond - Tweed	2006	F	1	103473
Richmond - Tweed	2006	M	0	3222
Richmond - Tweed	2006	M	1	98317
Richmond - Tweed	2011	F	0	4662
Richmond - Tweed	2011	F	1	107526
Richmond - Tweed	2011	M	0	4046
Richmond - Tweed	2011	M	1	101402
Richmond - Tweed	2016	F	0	5573
Richmond - Tweed	2016	F	1	107960
Richmond - Tweed	2016	M	0	4604
Richmond - Tweed	2016	M	1	102133
Riverina	2006	F	0	3956
Riverina	2006	F	1	67557
Riverina	2006	M	0	4018
Riverina	2006	M	1	66198
Riverina	2011	F	0	4811
Riverina	2011	F	1	67449
Riverina	2011	M	0	4768
Riverina	2011	M	1	66006
Riverina	2016	F	0	5774
Riverina	2016	F	1	66680
Riverina	2016	M	0	6051
Riverina	2016	M	1	64816
Southern Highlands and Shoalhaven	2006	F	0	2511
Southern Highlands and Shoalhaven	2006	F	1	61398
Southern Highlands and Shoalhaven	2006	M	0	2249
Southern Highlands and Shoalhaven	2006	M	1	58445
Southern Highlands and Shoalhaven	2011	F	0	2780
Southern Highlands and Shoalhaven	2011	F	1	64143
Southern Highlands and Shoalhaven	2011	M	0	2370
Southern Highlands and Shoalhaven	2011	M	1	60733
Southern Highlands and Shoalhaven	2016	F	0	3592
Southern Highlands and Shoalhaven	2016	F	1	66812
Southern Highlands and Shoalhaven	2016	M	0	3122
Southern Highlands and Shoalhaven	2016	M	1	63440
Sydney - Baulkham Hills and Hawkesbury	2006	F	0	20738
Sydney - Baulkham Hills and Hawkesbury	2006	F	1	77081
Sydney - Baulkham Hills and Hawkesbury	2006	M	0	19412
Sydney - Baulkham Hills and Hawkesbury	2006	M	1	75689
Sydney - Baulkham Hills and Hawkesbury	2011	F	0	25306
Sydney - Baulkham Hills and Hawkesbury	2011	F	1	78202
Sydney - Baulkham Hills and Hawkesbury	2011	M	0	23640
Sydney - Baulkham Hills and Hawkesbury	2011	M	1	77230
Sydney - Baulkham Hills and Hawkesbury	2016	F	0	33035
Sydney - Baulkham Hills and Hawkesbury	2016	F	1	78085
Sydney - Baulkham Hills and Hawkesbury	2016	M	0	30358
Sydney - Baulkham Hills and Hawkesbury	2016	M	1	78055
Sydney - Blacktown	2006	F	0	45628
Sydney - Blacktown	2006	F	1	85500
Sydney - Blacktown	2006	M	0	43165
Sydney - Blacktown	2006	M	1	84664
Sydney - Blacktown	2011	F	0	57574
Sydney - Blacktown	2011	F	1	89397
Sydney - Blacktown	2011	M	0	54802
Sydney - Blacktown	2011	M	1	88805
Sydney - Blacktown	2016	F	0	71442
Sydney - Blacktown	2016	F	1	90754
Sydney - Blacktown	2016	M	0	68506
Sydney - Blacktown	2016	M	1	91078
Sydney - City and Inner South	2006	F	0	36363
Sydney - City and Inner South	2006	F	1	61778
Sydney - City and Inner South	2006	M	0	34715
Sydney - City and Inner South	2006	M	1	67523
Sydney - City and Inner South	2011	F	0	44039
Sydney - City and Inner South	2011	F	1	71397
Sydney - City and Inner South	2011	M	0	41691
Sydney - City and Inner South	2011	M	1	79708
Sydney - City and Inner South	2016	F	0	59792
Sydney - City and Inner South	2016	F	1	79660
Sydney - City and Inner South	2016	M	0	53907
Sydney - City and Inner South	2016	M	1	89087
Sydney - Eastern Suburbs	2006	F	0	27296
Sydney - Eastern Suburbs	2006	F	1	80901
Sydney - Eastern Suburbs	2006	M	0	23685
Sydney - Eastern Suburbs	2006	M	1	75897
Sydney - Eastern Suburbs	2011	F	0	31025
Sydney - Eastern Suburbs	2011	F	1	86477
Sydney - Eastern Suburbs	2011	M	0	27369
Sydney - Eastern Suburbs	2011	M	1	81673
Sydney - Eastern Suburbs	2016	F	0	36399
Sydney - Eastern Suburbs	2016	F	1	89659
Sydney - Eastern Suburbs	2016	M	0	31967
Sydney - Eastern Suburbs	2016	M	1	85025
Sydney - Inner South West	2006	F	0	129864
Sydney - Inner South West	2006	F	1	104293
Sydney - Inner South West	2006	M	0	125357
Sydney - Inner South West	2006	M	1	100092
Sydney - Inner South West	2011	F	0	149249
Sydney - Inner South West	2011	F	1	102474
Sydney - Inner South West	2011	M	0	143049
Sydney - Inner South West	2011	M	1	100432
Sydney - Inner South West	2016	F	0	169637
Sydney - Inner South West	2016	F	1	103711
Sydney - Inner South West	2016	M	0	162350
Sydney - Inner South West	2016	M	1	105035
Sydney - Inner West	2006	F	0	46867
Sydney - Inner West	2006	F	1	69851
Sydney - Inner West	2006	M	0	43278
Sydney - Inner West	2006	M	1	65216
Sydney - Inner West	2011	F	0	54178
Sydney - Inner West	2011	F	1	74151
Sydney - Inner West	2011	M	0	49342
Sydney - Inner West	2011	M	1	70305
Sydney - Inner West	2016	F	0	64764
Sydney - Inner West	2016	F	1	77102
Sydney - Inner West	2016	M	0	58546
Sydney - Inner West	2016	M	1	74858
Sydney - North Sydney and Hornsby	2006	F	0	37875
Sydney - North Sydney and Hornsby	2006	F	1	135814
Sydney - North Sydney and Hornsby	2006	M	0	32188
Sydney - North Sydney and Hornsby	2006	M	1	127309
Sydney - North Sydney and Hornsby	2011	F	0	47996
Sydney - North Sydney and Hornsby	2011	F	1	138018
Sydney - North Sydney and Hornsby	2011	M	0	40569
Sydney - North Sydney and Hornsby	2011	M	1	130806
Sydney - North Sydney and Hornsby	2016	F	0	63402
Sydney - North Sydney and Hornsby	2016	F	1	137209
Sydney - North Sydney and Hornsby	2016	M	0	53172
Sydney - North Sydney and Hornsby	2016	M	1	132286
Sydney - Northern Beaches	2006	F	0	14417
Sydney - Northern Beaches	2006	F	1	94612
Sydney - Northern Beaches	2006	M	0	12725
Sydney - Northern Beaches	2006	M	1	91106
Sydney - Northern Beaches	2011	F	0	16959
Sydney - Northern Beaches	2011	F	1	99519
Sydney - Northern Beaches	2011	M	0	14864
Sydney - Northern Beaches	2011	M	1	96429
Sydney - Northern Beaches	2016	F	0	20579
Sydney - Northern Beaches	2016	F	1	102131
Sydney - Northern Beaches	2016	M	0	17627
Sydney - Northern Beaches	2016	M	1	99645
Sydney - Outer South West	2006	F	0	18881
Sydney - Outer South West	2006	F	1	88980
Sydney - Outer South West	2006	M	0	17680
Sydney - Outer South West	2006	M	1	86931
Sydney - Outer South West	2011	F	0	22406
Sydney - Outer South West	2011	F	1	92652
Sydney - Outer South West	2011	M	0	20785
Sydney - Outer South West	2011	M	1	89753
Sydney - Outer South West	2016	F	0	29489
Sydney - Outer South West	2016	F	1	96808
Sydney - Outer South West	2016	M	0	27556
Sydney - Outer South West	2016	M	1	94465
Sydney - Outer West and Blue Mountains	2006	F	0	14320
Sydney - Outer West and Blue Mountains	2006	F	1	121280
Sydney - Outer West and Blue Mountains	2006	M	0	13615
Sydney - Outer West and Blue Mountains	2006	M	1	117035
Sydney - Outer West and Blue Mountains	2011	F	0	16386
Sydney - Outer West and Blue Mountains	2011	F	1	124393
Sydney - Outer West and Blue Mountains	2011	M	0	14947
Sydney - Outer West and Blue Mountains	2011	M	1	119710
Sydney - Outer West and Blue Mountains	2016	F	0	20713
Sydney - Outer West and Blue Mountains	2016	F	1	127425
Sydney - Outer West and Blue Mountains	2016	M	0	18830
Sydney - Outer West and Blue Mountains	2016	M	1	123059
Sydney - Parramatta	2006	F	0	87078
Sydney - Parramatta	2006	F	1	78750
Sydney - Parramatta	2006	M	0	86683
Sydney - Parramatta	2006	M	1	76962
Sydney - Parramatta	2011	F	0	108022
Sydney - Parramatta	2011	F	1	77457
Sydney - Parramatta	2011	M	0	106895
Sydney - Parramatta	2011	M	1	77400
Sydney - Parramatta	2016	F	0	130787
Sydney - Parramatta	2016	F	1	77145
Sydney - Parramatta	2016	M	0	133840
Sydney - Parramatta	2016	M	1	78811
Sydney - Ryde	2006	F	0	26868
Sydney - Ryde	2006	F	1	49096
Sydney - Ryde	2006	M	0	23952
Sydney - Ryde	2006	M	1	46995
Sydney - Ryde	2011	F	0	32991
Sydney - Ryde	2011	F	1	47763
Sydney - Ryde	2011	M	0	29780
Sydney - Ryde	2011	M	1	46376
Sydney - Ryde	2016	F	0	43192
Sydney - Ryde	2016	F	1	46392
Sydney - Ryde	2016	M	0	38963
Sydney - Ryde	2016	M	1	46304
Sydney - South West	2006	F	0	97311
Sydney - South West	2006	F	1	62812
Sydney - South West	2006	M	0	92418
Sydney - South West	2006	M	1	64314
Sydney - South West	2011	F	0	109705
Sydney - South West	2011	F	1	63487
Sydney - South West	2011	M	0	103071
Sydney - South West	2011	M	1	65691
Sydney - South West	2016	F	0	124658
Sydney - South West	2016	F	1	69429
Sydney - South West	2016	M	0	116502
Sydney - South West	2016	M	1	72704
Sydney - Sutherland	2006	F	0	11220
Sydney - Sutherland	2006	F	1	89169
Sydney - Sutherland	2006	M	0	9965
Sydney - Sutherland	2006	M	1	86246
Sydney - Sutherland	2011	F	0	13010
Sydney - Sutherland	2011	F	1	91198
Sydney - Sutherland	2011	M	0	11286
Sydney - Sutherland	2011	M	1	87946
Sydney - Sutherland	2016	F	0	15145
Sydney - Sutherland	2016	F	1	92052
Sydney - Sutherland	2016	M	0	13204
Sydney - Sutherland	2016	M	1	89076
Migratory - Offshore - Shipping (NSW)	2006	F	0	0
Migratory - Offshore - Shipping (NSW)	2006	F	1	7
Migratory - Offshore - Shipping (NSW)	2006	M	0	3
Migratory - Offshore - Shipping (NSW)	2006	M	1	36
Migratory - Offshore - Shipping (NSW)	2011	F	0	8
Migratory - Offshore - Shipping (NSW)	2011	F	1	42
Migratory - Offshore - Shipping (NSW)	2011	M	0	12
Migratory - Offshore - Shipping (NSW)	2011	M	1	40
Migratory - Offshore - Shipping (NSW)	2016	F	0	55
Migratory - Offshore - Shipping (NSW)	2016	F	1	154
Migratory - Offshore - Shipping (NSW)	2016	M	0	36
Migratory - Offshore - Shipping (NSW)	2016	M	1	119
No usual address (NSW)	2006	F	0	714
No usual address (NSW)	2006	F	1	3159
No usual address (NSW)	2006	M	0	909
No usual address (NSW)	2006	M	1	4330
No usual address (NSW)	2011	F	0	823
No usual address (NSW)	2011	F	1	3770
No usual address (NSW)	2011	M	0	890
No usual address (NSW)	2011	M	1	4853
No usual address (NSW)	2016	F	0	821
No usual address (NSW)	2016	F	1	3038
No usual address (NSW)	2016	M	0	997
No usual address (NSW)	2016	M	1	4175
Ballarat	2006	F	0	2035
Ballarat	2006	F	1	64804
Ballarat	2006	M	0	2087
Ballarat	2006	M	1	61289
Ballarat	2011	F	0	2749
Ballarat	2011	F	1	69238
Ballarat	2011	M	0	2689
Ballarat	2011	M	1	65401
Ballarat	2016	F	0	3751
Ballarat	2016	F	1	71583
Ballarat	2016	M	0	3538
Ballarat	2016	M	1	67839
Bendigo	2006	F	0	1528
Bendigo	2006	F	1	63787
Bendigo	2006	M	0	1475
Bendigo	2006	M	1	59991
Bendigo	2011	F	0	2295
Bendigo	2011	F	1	66833
Bendigo	2011	M	0	2093
Bendigo	2011	M	1	63146
Bendigo	2016	F	0	3523
Bendigo	2016	F	1	69179
Bendigo	2016	M	0	3186
Bendigo	2016	M	1	65439
Geelong	2006	F	0	9944
Geelong	2006	F	1	104056
Geelong	2006	M	0	9242
Geelong	2006	M	1	98592
Geelong	2011	F	0	11157
Geelong	2011	F	1	112826
Geelong	2011	M	0	10475
Geelong	2011	M	1	106212
Geelong	2016	F	0	13643
Geelong	2016	F	1	121288
Geelong	2016	M	0	12883
Geelong	2016	M	1	114106
Hume	2006	F	0	3170
Hume	2006	F	1	71044
Hume	2006	M	0	2909
Hume	2006	M	1	69608
Hume	2011	F	0	3494
Hume	2011	F	1	74224
Hume	2011	M	0	3219
Hume	2011	M	1	72374
Hume	2016	F	0	4096
Hume	2016	F	1	75833
Hume	2016	M	0	3732
Hume	2016	M	1	73744
Latrobe - Gippsland	2006	F	0	4950
Latrobe - Gippsland	2006	F	1	111147
Latrobe - Gippsland	2006	M	0	4393
Latrobe - Gippsland	2006	M	1	107103
Latrobe - Gippsland	2011	F	0	5997
Latrobe - Gippsland	2011	F	1	118670
Latrobe - Gippsland	2011	M	0	5464
Latrobe - Gippsland	2011	M	1	114155
Latrobe - Gippsland	2016	F	0	6624
Latrobe - Gippsland	2016	F	1	121103
Latrobe - Gippsland	2016	M	0	5914
Latrobe - Gippsland	2016	M	1	116236
Melbourne - Inner	2006	F	0	63942
Melbourne - Inner	2006	F	1	149678
Melbourne - Inner	2006	M	0	58393
Melbourne - Inner	2006	M	1	141611
Melbourne - Inner	2011	F	0	73524
Melbourne - Inner	2011	F	1	166011
Melbourne - Inner	2011	M	0	66250
Melbourne - Inner	2011	M	1	159159
Melbourne - Inner	2016	F	0	95802
