SA4_NAME16	Year	AustCitizen	persons
Capital Region	2006	0	18470
Capital Region	2006	1	179472
Capital Region	2011	0	19724
Capital Region	2011	1	188099
Capital Region	2016	0	25118
Capital Region	2016	1	193725
Central Coast	2006	0	33489
Central Coast	2006	1	264468
Central Coast	2011	0	32018
Central Coast	2011	1	280164
Central Coast	2016	0	35733
Central Coast	2016	1	292003
Central West	2006	0	15456
Central West	2006	1	174215
Central West	2011	0	17775
Central West	2011	1	178965
Central West	2016	0	24430
Central West	2016	1	181725
Coffs Harbour - Grafton	2006	0	10442
Coffs Harbour - Grafton	2006	1	115027
Coffs Harbour - Grafton	2011	0	11565
Coffs Harbour - Grafton	2011	1	119037
Coffs Harbour - Grafton	2016	0	15906
Coffs Harbour - Grafton	2016	1	120382
Far West and Orana	2006	0	10167
Far West and Orana	2006	1	104318
Far West and Orana	2011	0	10574
Far West and Orana	2011	1	103015
Far West and Orana	2016	0	14478
Far West and Orana	2016	1	99301
Hunter Valley exc Newcastle	2006	0	18902
Hunter Valley exc Newcastle	2006	1	206851
Hunter Valley exc Newcastle	2011	0	21238
Hunter Valley exc Newcastle	2011	1	222009
Hunter Valley exc Newcastle	2016	0	26969
Hunter Valley exc Newcastle	2016	1	236447
Illawarra	2006	0	29696
Illawarra	2006	1	233841
Illawarra	2011	0	30489
Illawarra	2011	1	245494
Illawarra	2016	0	36182
Illawarra	2016	1	257312
Mid North Coast	2006	0	16178
Mid North Coast	2006	1	176551
Mid North Coast	2011	0	17055
Mid North Coast	2011	1	184055
Mid North Coast	2016	0	21737
Mid North Coast	2016	1	190464
Murray	2006	0	8422
Murray	2006	1	101199
Murray	2011	0	9539
Murray	2011	1	100778
Murray	2016	0	13423
Murray	2016	1	102380
New England and North West	2006	0	13274
New England and North West	2006	1	159122
New England and North West	2011	0	15363
New England and North West	2011	1	160830
New England and North West	2016	0	21890
New England and North West	2016	1	159665
Newcastle and Lake Macquarie	2006	0	28327
Newcastle and Lake Macquarie	2006	1	301632
Newcastle and Lake Macquarie	2011	0	29278
Newcastle and Lake Macquarie	2011	1	313327
Newcastle and Lake Macquarie	2016	0	33326
Newcastle and Lake Macquarie	2016	1	325780
Richmond - Tweed	2006	0	21310
Richmond - Tweed	2006	1	198018
Richmond - Tweed	2011	0	22277
Richmond - Tweed	2011	1	205343
Richmond - Tweed	2016	0	29756
Richmond - Tweed	2016	1	209848
Riverina	2006	0	12421
Riverina	2006	1	135780
Riverina	2011	0	14343
Riverina	2011	1	135776
Riverina	2016	0	20166
Riverina	2016	1	135768
Southern Highlands and Shoalhaven	2006	0	12641
Southern Highlands and Shoalhaven	2006	1	118041
Southern Highlands and Shoalhaven	2011	0	13178
Southern Highlands and Shoalhaven	2011	1	123828
Southern Highlands and Shoalhaven	2016	0	16583
Southern Highlands and Shoalhaven	2016	1	130780
Sydney - Baulkham Hills and Hawkesbury	2006	0	22064
Sydney - Baulkham Hills and Hawkesbury	2006	1	177465
Sydney - Baulkham Hills and Hawkesbury	2011	0	23324
Sydney - Baulkham Hills and Hawkesbury	2011	1	187087
Sydney - Baulkham Hills and Hawkesbury	2016	0	30414
Sydney - Baulkham Hills and Hawkesbury	2016	1	197325
Sydney - Blacktown	2006	0	43921
Sydney - Blacktown	2006	1	229999
Sydney - Blacktown	2011	0	49934
Sydney - Blacktown	2011	1	253597
Sydney - Blacktown	2016	0	65695
Sydney - Blacktown	2016	1	273942
Sydney - City and Inner South	2006	0	85154
Sydney - City and Inner South	2006	1	159517
Sydney - City and Inner South	2011	0	82632
Sydney - City and Inner South	2011	1	181912
Sydney - City and Inner South	2016	0	116189
Sydney - City and Inner South	2016	1	199362
