SA4_NAME16	Year	persons
Capital Region	2006	197942
Capital Region	2011	207823
Capital Region	2016	218843
Central Coast	2006	297957
Central Coast	2011	312182
Central Coast	2016	327736
Central West	2006	189671
Central West	2011	196740
Central West	2016	206155
Coffs Harbour - Grafton	2006	125469
Coffs Harbour - Grafton	2011	130602
Coffs Harbour - Grafton	2016	136288
Far West and Orana	2006	114485
Far West and Orana	2011	113589
Far West and Orana	2016	113779
Hunter Valley exc Newcastle	2006	225753
Hunter Valley exc Newcastle	2011	243247
Hunter Valley exc Newcastle	2016	263416
Illawarra	2006	263537
Illawarra	2011	275983
Illawarra	2016	293494
Mid North Coast	2006	192729
Mid North Coast	2011	201110
Mid North Coast	2016	212201
Murray	2006	109621
Murray	2011	110317
Murray	2016	115803
New England and North West	2006	172396
New England and North West	2011	176193
New England and North West	2016	181555
Newcastle and Lake Macquarie	2006	329959
Newcastle and Lake Macquarie	2011	342605
Newcastle and Lake Macquarie	2016	359106
Richmond - Tweed	2006	219328
Richmond - Tweed	2011	227620
Richmond - Tweed	2016	239604
Riverina	2006	148201
Riverina	2011	150119
Riverina	2016	155934
Southern Highlands and Shoalhaven	2006	130682
Southern Highlands and Shoalhaven	2011	137006
Southern Highlands and Shoalhaven	2016	147363
Sydney - Baulkham Hills and Hawkesbury	2006	199529
Sydney - Baulkham Hills and Hawkesbury	2011	210411
Sydney - Baulkham Hills and Hawkesbury	2016	227739
Sydney - Blacktown	2006	273920
Sydney - Blacktown	2011	303531
Sydney - Blacktown	2016	339637
Sydney - City and Inner South	2006	244671
Sydney - City and Inner South	2011	264544
Sydney - City and Inner South	2016	315551
Sydney - Eastern Suburbs	2006	235498
Sydney - Eastern Suburbs	2011	249545
Sydney - Eastern Suburbs	2016	267037
Sydney - Inner South West	2006	490997
Sydney - Inner South West	2011	523610
Sydney - Inner South West	2016	571416
Sydney - Inner West	2006	243105
Sydney - Inner West	2011	263561
Sydney - Inner West	2016	293301
Sydney - North Sydney and Hornsby	2006	352538
