SA4_NAME16	Year	Children	CoupleFamily	TotalFamilyIncome.min	families_with_children
Capital Region	2006	1	0		457
Capital Region	2006	1	0	-1	34
Capital Region	2006	1	0	52	82
Capital Region	2006	1	0	7800	322
Capital Region	2006	1	0	15600	674
Capital Region	2006	1	0	20800	190
Capital Region	2006	1	0	26000	940
Capital Region	2006	1	0	33800	370
Capital Region	2006	1	0	41600	390
Capital Region	2006	1	0	52000	691
Capital Region	2006	1	0	78000	166
Capital Region	2006	1	0	104000	40
Capital Region	2006	1	0	130000	53
Capital Region	2006	1	0	156000	12
Capital Region	2006	1	0	208000	6
Capital Region	2006	1	1		1146
Capital Region	2006	1	1	-1	37
Capital Region	2006	1	1	52	39
Capital Region	2006	1	1	7800	59
Capital Region	2006	1	1	15600	72
Capital Region	2006	1	1	20800	170
Capital Region	2006	1	1	26000	503
Capital Region	2006	1	1	33800	429
Capital Region	2006	1	1	41600	606
Capital Region	2006	1	1	52000	1800
Capital Region	2006	1	1	78000	1197
Capital Region	2006	1	1	104000	704
Capital Region	2006	1	1	130000	471
Capital Region	2006	1	1	156000	381
Capital Region	2006	1	1	208000	122
Capital Region	2006	2	0		278
Capital Region	2006	2	0	-1	13
Capital Region	2006	2	0	52	30
Capital Region	2006	2	0	7800	107
Capital Region	2006	2	0	15600	369
Capital Region	2006	2	0	20800	24
Capital Region	2006	2	0	26000	579
Capital Region	2006	2	0	33800	230
Capital Region	2006	2	0	41600	174
Capital Region	2006	2	0	52000	301
Capital Region	2006	2	0	78000	93
Capital Region	2006	2	0	104000	26
Capital Region	2006	2	0	130000	33
Capital Region	2006	2	0	156000	11
Capital Region	2006	2	0	208000	0
Capital Region	2006	2	1		1278
Capital Region	2006	2	1	-1	36
Capital Region	2006	2	1	52	43
Capital Region	2006	2	1	7800	50
Capital Region	2006	2	1	15600	55
Capital Region	2006	2	1	20800	147
Capital Region	2006	2	1	26000	452
Capital Region	2006	2	1	33800	426
Capital Region	2006	2	1	41600	625
Capital Region	2006	2	1	52000	2144
Capital Region	2006	2	1	78000	1369
Capital Region	2006	2	1	104000	865
Capital Region	2006	2	1	130000	677
Capital Region	2006	2	1	156000	503
Capital Region	2006	2	1	208000	162
Capital Region	2006	3	0		152
Capital Region	2006	3	0	-1	9
Capital Region	2006	3	0	52	5
Capital Region	2006	3	0	7800	42
Capital Region	2006	3	0	15600	103
Capital Region	2006	3	0	20800	7
Capital Region	2006	3	0	26000	233
Capital Region	2006	3	0	33800	76
Capital Region	2006	3	0	41600	53
Capital Region	2006	3	0	52000	87
Capital Region	2006	3	0	78000	21
Capital Region	2006	3	0	104000	6
Capital Region	2006	3	0	130000	13
Capital Region	2006	3	0	156000	10
Capital Region	2006	3	0	208000	0
Capital Region	2006	3	1		660
Capital Region	2006	3	1	-1	17
Capital Region	2006	3	1	52	10
Capital Region	2006	3	1	7800	21
Capital Region	2006	3	1	15600	26
Capital Region	2006	3	1	20800	58
Capital Region	2006	3	1	26000	198
Capital Region	2006	3	1	33800	168
Capital Region	2006	3	1	41600	284
Capital Region	2006	3	1	52000	1018
Capital Region	2006	3	1	78000	608
Capital Region	2006	3	1	104000	331
Capital Region	2006	3	1	130000	260
Capital Region	2006	3	1	156000	228
Capital Region	2006	3	1	208000	69
Capital Region	2006	4	0		77
Capital Region	2006	4	0	-1	3
Capital Region	2006	4	0	52	7
Capital Region	2006	4	0	7800	20
Capital Region	2006	4	0	15600	21
Capital Region	2006	4	0	20800	3
Capital Region	2006	4	0	26000	79
Capital Region	2006	4	0	33800	51
Capital Region	2006	4	0	41600	24
Capital Region	2006	4	0	52000	28
Capital Region	2006	4	0	78000	10
Capital Region	2006	4	0	104000	0
Capital Region	2006	4	0	130000	3
Capital Region	2006	4	0	156000	0
Capital Region	2006	4	0	208000	0
Capital Region	2006	4	1		368
Capital Region	2006	4	1	-1	0
Capital Region	2006	4	1	52	4
Capital Region	2006	4	1	7800	10
Capital Region	2006	4	1	15600	18
Capital Region	2006	4	1	20800	24
Capital Region	2006	4	1	26000	103
Capital Region	2006	4	1	33800	68
Capital Region	2006	4	1	41600	98
Capital Region	2006	4	1	52000	375
Capital Region	2006	4	1	78000	193
Capital Region	2006	4	1	104000	103
Capital Region	2006	4	1	130000	92
Capital Region	2006	4	1	156000	60
Capital Region	2006	4	1	208000	28
Capital Region	2011	1	0		538
Capital Region	2011	1	0	-1	45
Capital Region	2011	1	0	52	68
Capital Region	2011	1	0	7800	198
Capital Region	2011	1	0	15600	353
Capital Region	2011	1	0	20800	571
Capital Region	2011	1	0	26000	274
Capital Region	2011	1	0	33800	684
Capital Region	2011	1	0	41600	525
Capital Region	2011	1	0	52000	808
Capital Region	2011	1	0	78000	374
Capital Region	2011	1	0	104000	155
Capital Region	2011	1	0	130000	114
Capital Region	2011	1	0	156000	54
Capital Region	2011	1	0	208000	8
Capital Region	2011	1	1		1176
Capital Region	2011	1	1	-1	31
Capital Region	2011	1	1	52	22
Capital Region	2011	1	1	7800	55
Capital Region	2011	1	1	15600	33
Capital Region	2011	1	1	20800	74
Capital Region	2011	1	1	26000	226
Capital Region	2011	1	1	33800	343
Capital Region	2011	1	1	41600	476
Capital Region	2011	1	1	52000	1463
Capital Region	2011	1	1	78000	1183
Capital Region	2011	1	1	104000	1007
Capital Region	2011	1	1	130000	664
Capital Region	2011	1	1	156000	846
Capital Region	2011	1	1	208000	411
Capital Region	2011	2	0		310
Capital Region	2011	2	0	-1	18
Capital Region	2011	2	0	52	33
Capital Region	2011	2	0	7800	107
Capital Region	2011	2	0	15600	191
Capital Region	2011	2	0	20800	428
Capital Region	2011	2	0	26000	98
Capital Region	2011	2	0	33800	290
Capital Region	2011	2	0	41600	220
Capital Region	2011	2	0	52000	359
Capital Region	2011	2	0	78000	170
Capital Region	2011	2	0	104000	62
Capital Region	2011	2	0	130000	95
Capital Region	2011	2	0	156000	37
Capital Region	2011	2	0	208000	9
Capital Region	2011	2	1		1289
Capital Region	2011	2	1	-1	35
Capital Region	2011	2	1	52	12
Capital Region	2011	2	1	7800	45
Capital Region	2011	2	1	15600	35
Capital Region	2011	2	1	20800	53
Capital Region	2011	2	1	26000	166
Capital Region	2011	2	1	33800	258
Capital Region	2011	2	1	41600	472
Capital Region	2011	2	1	52000	1409
Capital Region	2011	2	1	78000	1356
Capital Region	2011	2	1	104000	1246
Capital Region	2011	2	1	130000	904
Capital Region	2011	2	1	156000	1081
Capital Region	2011	2	1	208000	568
Capital Region	2011	3	0		130
Capital Region	2011	3	0	-1	3
Capital Region	2011	3	0	52	12
Capital Region	2011	3	0	7800	32
Capital Region	2011	3	0	15600	60
Capital Region	2011	3	0	20800	168
Capital Region	2011	3	0	26000	31
Capital Region	2011	3	0	33800	142
Capital Region	2011	3	0	41600	89
Capital Region	2011	3	0	52000	108
Capital Region	2011	3	0	78000	42
Capital Region	2011	3	0	104000	13
Capital Region	2011	3	0	130000	14
Capital Region	2011	3	0	156000	10
Capital Region	2011	3	0	208000	0
Capital Region	2011	3	1		642
Capital Region	2011	3	1	-1	9
Capital Region	2011	3	1	52	4
Capital Region	2011	3	1	7800	15
Capital Region	2011	3	1	15600	16
Capital Region	2011	3	1	20800	21
Capital Region	2011	3	1	26000	68
Capital Region	2011	3	1	33800	137
Capital Region	2011	3	1	41600	239
Capital Region	2011	3	1	52000	653
Capital Region	2011	3	1	78000	603
Capital Region	2011	3	1	104000	487
Capital Region	2011	3	1	130000	368
Capital Region	2011	3	1	156000	395
Capital Region	2011	3	1	208000	246
Capital Region	2011	4	0		74
Capital Region	2011	4	0	-1	3
Capital Region	2011	4	0	52	4
Capital Region	2011	4	0	7800	7
Capital Region	2011	4	0	15600	18
Capital Region	2011	4	0	20800	38
Capital Region	2011	4	0	26000	20
Capital Region	2011	4	0	33800	80
Capital Region	2011	4	0	41600	34
Capital Region	2011	4	0	52000	38
Capital Region	2011	4	0	78000	12
Capital Region	2011	4	0	104000	6
Capital Region	2011	4	0	130000	3
Capital Region	2011	4	0	156000	8
Capital Region	2011	4	0	208000	0
Capital Region	2011	4	1		265
Capital Region	2011	4	1	-1	9
Capital Region	2011	4	1	52	0
Capital Region	2011	4	1	7800	6
Capital Region	2011	4	1	15600	7
Capital Region	2011	4	1	20800	8
Capital Region	2011	4	1	26000	45
Capital Region	2011	4	1	33800	46
Capital Region	2011	4	1	41600	94
Capital Region	2011	4	1	52000	281
Capital Region	2011	4	1	78000	216
Capital Region	2011	4	1	104000	177
Capital Region	2011	4	1	130000	116
Capital Region	2011	4	1	156000	109
Capital Region	2011	4	1	208000	74
Capital Region	2016	1	0		537
Capital Region	2016	1	0	-1	67
Capital Region	2016	1	0	52	42
Capital Region	2016	1	0	7800	147
Capital Region	2016	1	0	15600	195
Capital Region	2016	1	0	20800	328
Capital Region	2016	1	0	26000	449
Capital Region	2016	1	0	33800	512
Capital Region	2016	1	0	41600	598
Capital Region	2016	1	0	52000	953
Capital Region	2016	1	0	78000	527
Capital Region	2016	1	0	104000	324
Capital Region	2016	1	0	130000	121
Capital Region	2016	1	0	156000	88
Capital Region	2016	1	0	208000	49
Capital Region	2016	1	1		1147
Capital Region	2016	1	1	-1	30
Capital Region	2016	1	1	52	10
Capital Region	2016	1	1	7800	23
Capital Region	2016	1	1	15600	19
Capital Region	2016	1	1	20800	70
Capital Region	2016	1	1	26000	92
Capital Region	2016	1	1	33800	212
Capital Region	2016	1	1	41600	336
Capital Region	2016	1	1	52000	1268
Capital Region	2016	1	1	78000	1154
Capital Region	2016	1	1	104000	1147
Capital Region	2016	1	1	130000	921
Capital Region	2016	1	1	156000	1003
Capital Region	2016	1	1	208000	815
Capital Region	2016	2	0		336
Capital Region	2016	2	0	-1	36
Capital Region	2016	2	0	52	14
Capital Region	2016	2	0	7800	67
Capital Region	2016	2	0	15600	117
Capital Region	2016	2	0	20800	149
Capital Region	2016	2	0	26000	286
Capital Region	2016	2	0	33800	241
Capital Region	2016	2	0	41600	209
Capital Region	2016	2	0	52000	409
Capital Region	2016	2	0	78000	233
Capital Region	2016	2	0	104000	139
Capital Region	2016	2	0	130000	56
Capital Region	2016	2	0	156000	63
Capital Region	2016	2	0	208000	25
Capital Region	2016	2	1		1225
Capital Region	2016	2	1	-1	26
Capital Region	2016	2	1	52	21
Capital Region	2016	2	1	7800	14
Capital Region	2016	2	1	15600	9
Capital Region	2016	2	1	20800	56
Capital Region	2016	2	1	26000	87
Capital Region	2016	2	1	33800	134
Capital Region	2016	2	1	41600	277
Capital Region	2016	2	1	52000	1083
Capital Region	2016	2	1	78000	1251
Capital Region	2016	2	1	104000	1248
Capital Region	2016	2	1	130000	1032
Capital Region	2016	2	1	156000	1315
Capital Region	2016	2	1	208000	1184
Capital Region	2016	3	0		119
Capital Region	2016	3	0	-1	7
Capital Region	2016	3	0	52	6
Capital Region	2016	3	0	7800	23
Capital Region	2016	3	0	15600	37
Capital Region	2016	3	0	20800	66
Capital Region	2016	3	0	26000	107
Capital Region	2016	3	0	33800	134
Capital Region	2016	3	0	41600	79
Capital Region	2016	3	0	52000	133
Capital Region	2016	3	0	78000	67
Capital Region	2016	3	0	104000	43
Capital Region	2016	3	0	130000	19
Capital Region	2016	3	0	156000	13
Capital Region	2016	3	0	208000	11
Capital Region	2016	3	1		626
Capital Region	2016	3	1	-1	8
Capital Region	2016	3	1	52	5
Capital Region	2016	3	1	7800	11
Capital Region	2016	3	1	15600	4
Capital Region	2016	3	1	20800	29
Capital Region	2016	3	1	26000	39
Capital Region	2016	3	1	33800	53
Capital Region	2016	3	1	41600	109
Capital Region	2016	3	1	52000	480
Capital Region	2016	3	1	78000	537
Capital Region	2016	3	1	104000	580
Capital Region	2016	3	1	130000	364
Capital Region	2016	3	1	156000	500
Capital Region	2016	3	1	208000	495
Capital Region	2016	4	0		71
Capital Region	2016	4	0	-1	0
Capital Region	2016	4	0	52	4
Capital Region	2016	4	0	7800	5
Capital Region	2016	4	0	15600	20
Capital Region	2016	4	0	20800	22
Capital Region	2016	4	0	26000	42
Capital Region	2016	4	0	33800	59
Capital Region	2016	4	0	41600	36
Capital Region	2016	4	0	52000	73
Capital Region	2016	4	0	78000	15
Capital Region	2016	4	0	104000	22
Capital Region	2016	4	0	130000	5
Capital Region	2016	4	0	156000	10
Capital Region	2016	4	0	208000	3
Capital Region	2016	4	1		254
Capital Region	2016	4	1	-1	3
Capital Region	2016	4	1	52	3
Capital Region	2016	4	1	7800	3
Capital Region	2016	4	1	15600	3
Capital Region	2016	4	1	20800	9
Capital Region	2016	4	1	26000	16
Capital Region	2016	4	1	33800	38
Capital Region	2016	4	1	41600	69
Capital Region	2016	4	1	52000	227
Capital Region	2016	4	1	78000	222
Capital Region	2016	4	1	104000	160
Capital Region	2016	4	1	130000	100
Capital Region	2016	4	1	156000	135
Capital Region	2016	4	1	208000	138
Central Coast	2006	1	0		821
Central Coast	2006	1	0	-1	67
Central Coast	2006	1	0	52	140
Central Coast	2006	1	0	7800	498
Central Coast	2006	1	0	15600	1152
Central Coast	2006	1	0	20800	359
Central Coast	2006	1	0	26000	1728
Central Coast	2006	1	0	33800	754
Central Coast	2006	1	0	41600	734
Central Coast	2006	1	0	52000	1286
Central Coast	2006	1	0	78000	347
Central Coast	2006	1	0	104000	109
Central Coast	2006	1	0	130000	69
Central Coast	2006	1	0	156000	20
Central Coast	2006	1	0	208000	5
Central Coast	2006	1	1		1563
Central Coast	2006	1	1	-1	26
Central Coast	2006	1	1	52	50
Central Coast	2006	1	1	7800	65
Central Coast	2006	1	1	15600	73
Central Coast	2006	1	1	20800	222
Central Coast	2006	1	1	26000	649
