SA4_NAME16	Year	Sex	labourForceParticipation
Capital Region	2006	F	53.6
Capital Region	2006	M	63.5
Capital Region	2011	F	55
Capital Region	2011	M	63.1
Capital Region	2016	F	53.9
Capital Region	2016	M	59.8
Central Coast	2006	F	48.9
Central Coast	2006	M	61.3
Central Coast	2011	F	50.7
Central Coast	2011	M	61.7
Central Coast	2016	F	51.8
Central Coast	2016	M	60.6
Central West	2006	F	52
Central West	2006	M	64.2
Central West	2011	F	52.9
Central West	2011	M	63.3
Central West	2016	F	52
Central West	2016	M	59.4
Coffs Harbour - Grafton	2006	F	47.5
Coffs Harbour - Grafton	2006	M	56.5
Coffs Harbour - Grafton	2011	F	48.6
Coffs Harbour - Grafton	2011	M	56
Coffs Harbour - Grafton	2016	F	47.6
Coffs Harbour - Grafton	2016	M	53.2
Far West and Orana	2006	F	51.3
Far West and Orana	2006	M	63.4
Far West and Orana	2011	F	52.9
Far West and Orana	2011	M	62.1
Far West and Orana	2016	F	51.8
Far West and Orana	2016	M	58.5
Hunter Valley exc Newcastle	2006	F	50.6
Hunter Valley exc Newcastle	2006	M	65.3
Hunter Valley exc Newcastle	2011	F	52.5
Hunter Valley exc Newcastle	2011	M	65.6
Hunter Valley exc Newcastle	2016	F	52.4
Hunter Valley exc Newcastle	2016	M	61.6
Illawarra	2006	F	50.2
Illawarra	2006	M	63.6
Illawarra	2011	F	52
Illawarra	2011	M	62.9
Illawarra	2016	F	53.2
Illawarra	2016	M	61.1
Mid North Coast	2006	F	43.2
Mid North Coast	2006	M	52.5
Mid North Coast	2011	F	43.6
Mid North Coast	2011	M	50.6
Mid North Coast	2016	F	43.1
Mid North Coast	2016	M	48
Murray	2006	F	54
Murray	2006	M	67
Murray	2011	F	53.9
Murray	2011	M	64.2
Murray	2016	F	52.6
Murray	2016	M	60.2
New England and North West	2006	F	51.4
New England and North West	2006	M	64.6
New England and North West	2011	F	52.4
New England and North West	2011	M	63.1
New England and North West	2016	F	51.6
New England and North West	2016	M	59.9
Newcastle and Lake Macquarie	2006	F	50.7
Newcastle and Lake Macquarie	2006	M	62.5
Newcastle and Lake Macquarie	2011	F	53.8
Newcastle and Lake Macquarie	2011	M	63.7
Newcastle and Lake Macquarie	2016	F	55
Newcastle and Lake Macquarie	2016	M	62.2
Richmond - Tweed	2006	F	48.4
Richmond - Tweed	2006	M	58.3
Richmond - Tweed	2011	F	50.1
Richmond - Tweed	2011	M	58
Richmond - Tweed	2016	F	49.4
Richmond - Tweed	2016	M	55.3
Riverina	2006	F	54.8
Riverina	2006	M	68
Riverina	2011	F	55.2
Riverina	2011	M	66.5
Riverina	2016	F	54.7
Riverina	2016	M	62.8
Southern Highlands and Shoalhaven	2006	F	45.6
Southern Highlands and Shoalhaven	2006	M	56.7
Southern Highlands and Shoalhaven	2011	F	46.4
Southern Highlands and Shoalhaven	2011	M	55.1
Southern Highlands and Shoalhaven	2016	F	45.9
Southern Highlands and Shoalhaven	2016	M	52.7
Sydney - Baulkham Hills and Hawkesbury	2006	F	62.8
Sydney - Baulkham Hills and Hawkesbury	2006	M	75.7
Sydney - Baulkham Hills and Hawkesbury	2011	F	62.6
Sydney - Baulkham Hills and Hawkesbury	2011	M	74.1
Sydney - Baulkham Hills and Hawkesbury	2016	F	61.7
Sydney - Baulkham Hills and Hawkesbury	2016	M	72
Sydney - Blacktown	2006	F	54.4
Sydney - Blacktown	2006	M	69.7
Sydney - Blacktown	2011	F	56
Sydney - Blacktown	2011	M	69.9
Sydney - Blacktown	2016	F	56.8
Sydney - Blacktown	2016	M	69
Sydney - City and Inner South	2006	F	55.5
Sydney - City and Inner South	2006	M	60.8
Sydney - City and Inner South	2011	F	62.2
Sydney - City and Inner South	2011	M	67.7
Sydney - City and Inner South	2016	F	62.3
Sydney - City and Inner South	2016	M	67.3
Sydney - Eastern Suburbs	2006	F	57
Sydney - Eastern Suburbs	2006	M	64.3
Sydney - Eastern Suburbs	2011	F	59.3
Sydney - Eastern Suburbs	2011	M	66.5
Sydney - Eastern Suburbs	2016	F	60.2
Sydney - Eastern Suburbs	2016	M	66
Sydney - Inner South West	2006	F	48
Sydney - Inner South West	2006	M	63.4
Sydney - Inner South West	2011	F	49.5
Sydney - Inner South West	2011	M	63.6
Sydney - Inner South West	2016	F	51.3
Sydney - Inner South West	2016	M	64.1
Sydney - Inner West	2006	F	58.2
Sydney - Inner West	2006	M	67.6
Sydney - Inner West	2011	F	60.2
Sydney - Inner West	2011	M	69.2
Sydney - Inner West	2016	F	60.2
Sydney - Inner West	2016	M	68.7
Sydney - North Sydney and Hornsby	2006	F	58.3
Sydney - North Sydney and Hornsby	2006	M	71.5
Sydney - North Sydney and Hornsby	2011	F	59.5
Sydney - North Sydney and Hornsby	2011	M	71.7
Sydney - North Sydney and Hornsby	2016	F	60.3
Sydney - North Sydney and Hornsby	2016	M	70.7
Sydney - Northern Beaches	2006	F	59.4
Sydney - Northern Beaches	2006	M	71.1
Sydney - Northern Beaches	2011	F	60.9
Sydney - Northern Beaches	2011	M	71.9
Sydney - Northern Beaches	2016	F	61.9
Sydney - Northern Beaches	2016	M	70.7
Sydney - Outer South West	2006	F	57.5
