SA4_NAME16	Year	NonSchoolQualification	persons
Capital Region	2006		137000
Capital Region	2006	Certificate nfd	3018
Capital Region	2006	Certificate I and II Level	2097
Capital Region	2006	Certificate III and IV Level	26107
Capital Region	2006	Advanced Diploma and Diploma	10622
Capital Region	2006	Bachelor	13652
Capital Region	2006	Graduate Diploma and Graduate Certificate	2397
Capital Region	2006	Postgraduate	3049
Capital Region	2011		134753
Capital Region	2011	Certificate nfd	3112
Capital Region	2011	Certificate I and II Level	2403
Capital Region	2011	Certificate III and IV Level	30519
Capital Region	2011	Advanced Diploma and Diploma	12751
Capital Region	2011	Bachelor	16634
Capital Region	2011	Graduate Diploma and Graduate Certificate	3132
Capital Region	2011	Postgraduate	4519
Capital Region	2016		132748
Capital Region	2016	Certificate nfd	4271
Capital Region	2016	Certificate I and II Level	2464
Capital Region	2016	Certificate III and IV Level	34206
Capital Region	2016	Advanced Diploma and Diploma	15744
Capital Region	2016	Bachelor	19657
Capital Region	2016	Graduate Diploma and Graduate Certificate	3724
Capital Region	2016	Postgraduate	6029
Central Coast	2006		209676
Central Coast	2006	Certificate nfd	5076
Central Coast	2006	Certificate I and II Level	3131
Central Coast	2006	Certificate III and IV Level	41495
Central Coast	2006	Advanced Diploma and Diploma	16331
Central Coast	2006	Bachelor	17029
Central Coast	2006	Graduate Diploma and Graduate Certificate	2235
Central Coast	2006	Postgraduate	2984
Central Coast	2011		206147
Central Coast	2011	Certificate nfd	5284
Central Coast	2011	Certificate I and II Level	3776
Central Coast	2011	Certificate III and IV Level	48751
Central Coast	2011	Advanced Diploma and Diploma	19580
Central Coast	2011	Bachelor	21487
Central Coast	2011	Graduate Diploma and Graduate Certificate	2838
Central Coast	2011	Postgraduate	4319
Central Coast	2016		200533
Central Coast	2016	Certificate nfd	6888
Central Coast	2016	Certificate I and II Level	3687
Central Coast	2016	Certificate III and IV Level	54557
Central Coast	2016	Advanced Diploma and Diploma	24672
Central Coast	2016	Bachelor	27408
Central Coast	2016	Graduate Diploma and Graduate Certificate	3600
Central Coast	2016	Postgraduate	6391
Central West	2006		138090
Central West	2006	Certificate nfd	2853
Central West	2006	Certificate I and II Level	2420
Central West	2006	Certificate III and IV Level	24127
Central West	2006	Advanced Diploma and Diploma	8255
Central West	2006	Bachelor	10693
Central West	2006	Graduate Diploma and Graduate Certificate	1497
Central West	2006	Postgraduate	1736
Central West	2011		135722
Central West	2011	Certificate nfd	2857
Central West	2011	Certificate I and II Level	2559
Central West	2011	Certificate III and IV Level	28747
Central West	2011	Advanced Diploma and Diploma	9901
Central West	2011	Bachelor	12897
Central West	2011	Graduate Diploma and Graduate Certificate	1776
Central West	2011	Postgraduate	2281
Central West	2016		134242
Central West	2016	Certificate nfd	3951
Central West	2016	Certificate I and II Level	2679
Central West	2016	Certificate III and IV Level	32125
Central West	2016	Advanced Diploma and Diploma	12063
Central West	2016	Bachelor	15484
Central West	2016	Graduate Diploma and Graduate Certificate	2327
Central West	2016	Postgraduate	3284
Coffs Harbour - Grafton	2006		89326
Coffs Harbour - Grafton	2006	Certificate nfd	1950
Coffs Harbour - Grafton	2006	Certificate I and II Level	1554
