SA4_NAME16	Year	Occupation	workers
Capital Region	2006		1403
Capital Region	2006	Clerical and administrative workers	12141
Capital Region	2006	Community and personal service workers	8553
Capital Region	2006	Labourers	10314
Capital Region	2006	Machinery operators and drivers	5445
Capital Region	2006	Managers	15110
Capital Region	2006	Professionals	13913
Capital Region	2006	Sales workers	7992
Capital Region	2006	Technicians and trades workers	12751
Capital Region	2011		1831
Capital Region	2011	Clerical and administrative workers	13691
Capital Region	2011	Community and personal service workers	10271
Capital Region	2011	Labourers	9853
Capital Region	2011	Machinery operators and drivers	5696
Capital Region	2011	Managers	15195
Capital Region	2011	Professionals	15837
Capital Region	2011	Sales workers	8462
Capital Region	2011	Technicians and trades workers	13833
Capital Region	2016		1839
Capital Region	2016	Clerical and administrative workers	13513
Capital Region	2016	Community and personal service workers	11455
Capital Region	2016	Labourers	10321
Capital Region	2016	Machinery operators and drivers	5624
Capital Region	2016	Managers	15560
Capital Region	2016	Professionals	16298
Capital Region	2016	Sales workers	8856
Capital Region	2016	Technicians and trades workers	13869
Central Coast	2006		1905
Central Coast	2006	Clerical and administrative workers	18227
Central Coast	2006	Community and personal service workers	12550
Central Coast	2006	Labourers	13267
Central Coast	2006	Machinery operators and drivers	7540
Central Coast	2006	Managers	13445
Central Coast	2006	Professionals	20248
Central Coast	2006	Sales workers	14164
Central Coast	2006	Technicians and trades workers	19371
Central Coast	2011		2195
Central Coast	2011	Clerical and administrative workers	19138
Central Coast	2011	Community and personal service workers	15075
Central Coast	2011	Labourers	13434
Central Coast	2011	Machinery operators and drivers	8038
Central Coast	2011	Managers	14310
Central Coast	2011	Professionals	23465
Central Coast	2011	Sales workers	14737
Central Coast	2011	Technicians and trades workers	20609
Central Coast	2016		2383
Central Coast	2016	Clerical and administrative workers	19083
Central Coast	2016	Community and personal service workers	17315
Central Coast	2016	Labourers	14463
Central Coast	2016	Machinery operators and drivers	8354
Central Coast	2016	Managers	15643
Central Coast	2016	Professionals	25902
Central Coast	2016	Sales workers	14852
Central Coast	2016	Technicians and trades workers	21602
Central West	2006		1275
Central West	2006	Clerical and administrative workers	9638
Central West	2006	Community and personal service workers	7288
Central West	2006	Labourers	10602
Central West	2006	Machinery operators and drivers	6700
Central West	2006	Managers	14553
Central West	2006	Professionals	11685
Central West	2006	Sales workers	7412
Central West	2006	Technicians and trades workers	11918
Central West	2011		1407
Central West	2011	Clerical and administrative workers	10331
Central West	2011	Community and personal service workers	8414
Central West	2011	Labourers	10023
Central West	2011	Machinery operators and drivers	8165
Central West	2011	Managers	13742
Central West	2011	Professionals	13300
Central West	2011	Sales workers	7426
Central West	2011	Technicians and trades workers	12847
Central West	2016		1468
Central West	2016	Clerical and administrative workers	10006
Central West	2016	Community and personal service workers	9609
Central West	2016	Labourers	10131
Central West	2016	Machinery operators and drivers	7499
Central West	2016	Managers	13073
Central West	2016	Professionals	14014
Central West	2016	Sales workers	7681
Central West	2016	Technicians and trades workers	12803
Coffs Harbour - Grafton	2006		776
Coffs Harbour - Grafton	2006	Clerical and administrative workers	6115
Coffs Harbour - Grafton	2006	Community and personal service workers	5180
Coffs Harbour - Grafton	2006	Labourers	6157
Coffs Harbour - Grafton	2006	Machinery operators and drivers	2800
Coffs Harbour - Grafton	2006	Managers	6269
Coffs Harbour - Grafton	2006	Professionals	7566
Coffs Harbour - Grafton	2006	Sales workers	5427
Coffs Harbour - Grafton	2006	Technicians and trades workers	6792
Coffs Harbour - Grafton	2011		789
Coffs Harbour - Grafton	2011	Clerical and administrative workers	6610
Coffs Harbour - Grafton	2011	Community and personal service workers	6237
Coffs Harbour - Grafton	2011	Labourers	6182
Coffs Harbour - Grafton	2011	Machinery operators and drivers	3051
Coffs Harbour - Grafton	2011	Managers	6328
Coffs Harbour - Grafton	2011	Professionals	8539
Coffs Harbour - Grafton	2011	Sales workers	5666
Coffs Harbour - Grafton	2011	Technicians and trades workers	7132
Coffs Harbour - Grafton	2016		880
Coffs Harbour - Grafton	2016	Clerical and administrative workers	6504
Coffs Harbour - Grafton	2016	Community and personal service workers	6679
Coffs Harbour - Grafton	2016	Labourers	6575
Coffs Harbour - Grafton	2016	Machinery operators and drivers	3200
Coffs Harbour - Grafton	2016	Managers	6279
Coffs Harbour - Grafton	2016	Professionals	9300
