SA4_NAME16	Year	CountryOfBirth	Sex	persons
Capital Region	2006		F	7751
Capital Region	2006		M	8380
Capital Region	2006	AUS	F	81428
Capital Region	2006	AUS	M	80485
Capital Region	2006	CAN	F	152
Capital Region	2006	CAN	M	123
Capital Region	2006	CHN	F	126
Capital Region	2006	CHN	M	122
Capital Region	2006	DEU	F	746
Capital Region	2006	DEU	M	672
Capital Region	2006	EGY	F	31
Capital Region	2006	EGY	M	46
Capital Region	2006	FJI	F	70
Capital Region	2006	FJI	M	56
Capital Region	2006	GBR	F	4429
Capital Region	2006	GBR	M	4246
Capital Region	2006	GRC	F	169
Capital Region	2006	GRC	M	186
Capital Region	2006	HKG	F	50
Capital Region	2006	HKG	M	40
Capital Region	2006	HRV	F	205
Capital Region	2006	HRV	M	239
Capital Region	2006	IDN	F	106
Capital Region	2006	IDN	M	68
Capital Region	2006	IND	F	111
Capital Region	2006	IND	M	152
Capital Region	2006	IRL	F	125
Capital Region	2006	IRL	M	156
Capital Region	2006	IRN	F	11
Capital Region	2006	IRN	M	16
Capital Region	2006	IRQ	F	4
Capital Region	2006	IRQ	M	17
Capital Region	2006	ITA	F	353
Capital Region	2006	ITA	M	486
Capital Region	2006	JPN	F	54
Capital Region	2006	JPN	M	21
Capital Region	2006	KOR	F	28
Capital Region	2006	KOR	M	26
Capital Region	2006	LBN	F	42
Capital Region	2006	LBN	M	65
Capital Region	2006	LKA	F	45
Capital Region	2006	LKA	M	56
Capital Region	2006	MKD	F	263
Capital Region	2006	MKD	M	319
Capital Region	2006	MLT	F	103
Capital Region	2006	MLT	M	138
Capital Region	2006	MYS	F	122
Capital Region	2006	MYS	M	82
Capital Region	2006	NLD	F	459
Capital Region	2006	NLD	M	457
Capital Region	2006	NZL	F	1050
Capital Region	2006	NZL	M	1136
Capital Region	2006	PAK	F	13
Capital Region	2006	PAK	M	11
Capital Region	2006	PHL	F	343
Capital Region	2006	PHL	M	104
Capital Region	2006	POL	F	120
Capital Region	2006	POL	M	123
Capital Region	2006	SGP	F	50
Capital Region	2006	SGP	M	30
Capital Region	2006	THA	F	96
Capital Region	2006	THA	M	29
Capital Region	2006	TUR	F	12
Capital Region	2006	TUR	M	21
Capital Region	2006	USA	F	288
Capital Region	2006	USA	M	275
Capital Region	2006	VNM	F	66
Capital Region	2006	VNM	M	98
Capital Region	2006	ZAF	F	162
Capital Region	2006	ZAF	M	156
Capital Region	2006	ZWE	F	53
Capital Region	2006	ZWE	M	40
Capital Region	2011		F	7521
Capital Region	2011		M	8158
Capital Region	2011	AUS	F	85449
Capital Region	2011	AUS	M	84761
Capital Region	2011	CAN	F	186
Capital Region	2011	CAN	M	135
Capital Region	2011	CHN	F	217
Capital Region	2011	CHN	M	184
Capital Region	2011	DEU	F	719
Capital Region	2011	DEU	M	651
Capital Region	2011	EGY	F	36
Capital Region	2011	EGY	M	58
Capital Region	2011	FJI	F	136
Capital Region	2011	FJI	M	100
Capital Region	2011	GBR	F	4492
Capital Region	2011	GBR	M	4390
Capital Region	2011	GRC	F	148
Capital Region	2011	GRC	M	175
Capital Region	2011	HKG	F	58
Capital Region	2011	HKG	M	30
Capital Region	2011	HRV	F	203
Capital Region	2011	HRV	M	246
Capital Region	2011	IDN	F	113
Capital Region	2011	IDN	M	59
Capital Region	2011	IND	F	296
Capital Region	2011	IND	M	384
Capital Region	2011	IRL	F	159
Capital Region	2011	IRL	M	168
Capital Region	2011	IRN	F	18
Capital Region	2011	IRN	M	21
Capital Region	2011	IRQ	F	12
Capital Region	2011	IRQ	M	15
Capital Region	2011	ITA	F	343
Capital Region	2011	ITA	M	474
Capital Region	2011	JPN	F	60
Capital Region	2011	JPN	M	23
Capital Region	2011	KOR	F	48
Capital Region	2011	KOR	M	42
Capital Region	2011	LBN	F	53
Capital Region	2011	LBN	M	73
Capital Region	2011	LKA	F	66
Capital Region	2011	LKA	M	68
Capital Region	2011	MKD	F	281
Capital Region	2011	MKD	M	312
Capital Region	2011	MLT	F	93
Capital Region	2011	MLT	M	140
Capital Region	2011	MYS	F	142
Capital Region	2011	MYS	M	91
Capital Region	2011	NLD	F	449
Capital Region	2011	NLD	M	423
Capital Region	2011	NZL	F	1249
Capital Region	2011	NZL	M	1237
Capital Region	2011	PAK	F	39
Capital Region	2011	PAK	M	54
Capital Region	2011	PHL	F	475
Capital Region	2011	PHL	M	198
Capital Region	2011	POL	F	137
Capital Region	2011	POL	M	108
Capital Region	2011	SGP	F	68
Capital Region	2011	SGP	M	40
Capital Region	2011	THA	F	146
Capital Region	2011	THA	M	52
Capital Region	2011	TUR	F	23
Capital Region	2011	TUR	M	14
Capital Region	2011	USA	F	393
Capital Region	2011	USA	M	345
Capital Region	2011	VNM	F	94
Capital Region	2011	VNM	M	98
Capital Region	2011	ZAF	F	234
Capital Region	2011	ZAF	M	231
Capital Region	2011	ZWE	F	67
Capital Region	2011	ZWE	M	66
Capital Region	2016		F	11298
Capital Region	2016		M	11265
Capital Region	2016	AUS	F	86653
Capital Region	2016	AUS	M	86461
Capital Region	2016	CAN	F	211
Capital Region	2016	CAN	M	160
Capital Region	2016	CHN	F	267
Capital Region	2016	CHN	M	204
Capital Region	2016	DEU	F	660
Capital Region	2016	DEU	M	610
Capital Region	2016	EGY	F	44
Capital Region	2016	EGY	M	67
Capital Region	2016	FJI	F	126
Capital Region	2016	FJI	M	90
Capital Region	2016	GBR	F	4366
Capital Region	2016	GBR	M	4389
Capital Region	2016	GRC	F	125
Capital Region	2016	GRC	M	142
