SA4_NAME16	Year	SameAddress5YearsAgo	Sex	persons
Capital Region	2006		F	10917
Capital Region	2006		M	12573
Capital Region	2006	0	F	38303
Capital Region	2006	0	M	36383
Capital Region	2006	1	F	50023
Capital Region	2006	1	M	49740
Capital Region	2011		F	11460
Capital Region	2011		M	13121
Capital Region	2011	0	F	36516
Capital Region	2011	0	M	34486
Capital Region	2011	1	F	56230
Capital Region	2011	1	M	56009
Capital Region	2016		F	14341
Capital Region	2016		M	15689
Capital Region	2016	0	F	37937
Capital Region	2016	0	M	36001
Capital Region	2016	1	F	57438
Capital Region	2016	1	M	57433
Central Coast	2006		F	18817
Central Coast	2006		M	19022
Central Coast	2006	0	F	56276
Central Coast	2006	0	M	51261
Central Coast	2006	1	F	78920
Central Coast	2006	1	M	73660
Central Coast	2011		F	17500
Central Coast	2011		M	18138
Central Coast	2011	0	F	56792
Central Coast	2011	0	M	51342
Central Coast	2011	1	F	87192
Central Coast	2011	1	M	81224
Central Coast	2016		F	20203
Central Coast	2016		M	19939
Central Coast	2016	0	F	61990
Central Coast	2016	0	M	56759
Central Coast	2016	1	F	86779
Central Coast	2016	1	M	82070
Central West	2006		F	10468
Central West	2006		M	12346
Central West	2006	0	F	34821
Central West	2006	0	M	32759
Central West	2006	1	F	49786
Central West	2006	1	M	49485
Central West	2011		F	11610
Central West	2011		M	13765
Central West	2011	0	F	33207
Central West	2011	0	M	31299
Central West	2011	1	F	53602
Central West	2011	1	M	53262
Central West	2016		F	15748
Central West	2016		M	17329
Central West	2016	0	F	35274
Central West	2016	0	M	32790
Central West	2016	1	F	52442
Central West	2016	1	M	52581
Coffs Harbour - Grafton	2006		F	6348
Coffs Harbour - Grafton	2006		M	7033
Coffs Harbour - Grafton	2006	0	F	25861
Coffs Harbour - Grafton	2006	0	M	23846
Coffs Harbour - Grafton	2006	1	F	31763
Coffs Harbour - Grafton	2006	1	M	30620
Coffs Harbour - Grafton	2011		F	6882
Coffs Harbour - Grafton	2011		M	7346
Coffs Harbour - Grafton	2011	0	F	25147
Coffs Harbour - Grafton	2011	0	M	22955
Coffs Harbour - Grafton	2011	1	F	34782
Coffs Harbour - Grafton	2011	1	M	33494
Coffs Harbour - Grafton	2016		F	8847
Coffs Harbour - Grafton	2016		M	9151
Coffs Harbour - Grafton	2016	0	F	25452
Coffs Harbour - Grafton	2016	0	M	23111
Coffs Harbour - Grafton	2016	1	F	35405
Coffs Harbour - Grafton	2016	1	M	34321
Far West and Orana	2006		F	7501
Far West and Orana	2006		M	8330
Far West and Orana	2006	0	F	19902
Far West and Orana	2006	0	M	18658
Far West and Orana	2006	1	F	30019
Far West and Orana	2006	1	M	30076
Far West and Orana	2011		F	7550
Far West and Orana	2011		M	8588
Far West and Orana	2011	0	F	18151
Far West and Orana	2011	0	M	16699
Far West and Orana	2011	1	F	31385
Far West and Orana	2011	1	M	31223
Far West and Orana	2016		F	9456
Far West and Orana	2016		M	10170
Far West and Orana	2016	0	F	17855
Far West and Orana	2016	0	M	16390
Far West and Orana	2016	1	F	29989
Far West and Orana	2016	1	M	29914
