SA4_NAME16	Year	LanguageSpoken	persons
Capital Region	2006		10240
Capital Region	2006	(Other)	1668
Capital Region	2006	Afrikaans	46
Capital Region	2006	Arabic	326
Capital Region	2006	Australian_Indigenous_Languages	54
Capital Region	2006	Chinese_languages_Bengali	15
Capital Region	2006	Chinese_languages_Cantonese	228
Capital Region	2006	Chinese_languages_Mandarin	219
Capital Region	2006	Chinese_languages_Other	33
Capital Region	2006	Croatian	542
Capital Region	2006	Dutch	346
Capital Region	2006	English	177983
Capital Region	2006	Filipino	125
Capital Region	2006	French	263
Capital Region	2006	German	951
Capital Region	2006	Greek	569
Capital Region	2006	Hindi	113
Capital Region	2006	Indonesian	125
Capital Region	2006	Italian	1178
Capital Region	2006	Japanese	89
Capital Region	2006	Korean	35
Capital Region	2006	Macedonian	1022
Capital Region	2006	Persian_includes_Dari	29
Capital Region	2006	Polish	229
Capital Region	2006	Punjabi	30
Capital Region	2006	Russian	122
Capital Region	2006	Samoan	53
Capital Region	2006	Serbian	401
Capital Region	2006	Sinhalese	46
Capital Region	2006	Spanish	325
Capital Region	2006	Tagalog	146
Capital Region	2006	Tamil	33
Capital Region	2006	Thai	101
Capital Region	2006	Turkish	52
Capital Region	2006	Urdu	30
Capital Region	2006	Vietnamese	179
Capital Region	2011		10682
Capital Region	2011	(Other)	2017
Capital Region	2011	Afrikaans	107
Capital Region	2011	Arabic	385
Capital Region	2011	Australian_Indigenous_Languages	73
Capital Region	2011	Chinese_languages_Bengali	98
Capital Region	2011	Chinese_languages_Cantonese	259
Capital Region	2011	Chinese_languages_Mandarin	315
Capital Region	2011	Chinese_languages_Other	54
Capital Region	2011	Croatian	520
Capital Region	2011	Dutch	358
Capital Region	2011	English	185838
Capital Region	2011	Filipino	190
Capital Region	2011	French	333
Capital Region	2011	German	928
Capital Region	2011	Greek	586
Capital Region	2011	Hindi	250
Capital Region	2011	Indonesian	137
Capital Region	2011	Italian	1135
Capital Region	2011	Japanese	90
Capital Region	2011	Korean	65
Capital Region	2011	Macedonian	995
Capital Region	2011	Persian_includes_Dari	38
Capital Region	2011	Polish	247
Capital Region	2011	Punjabi	176
Capital Region	2011	Russian	130
Capital Region	2011	Samoan	97
Capital Region	2011	Serbian	411
Capital Region	2011	Sinhalese	71
Capital Region	2011	Spanish	388
Capital Region	2011	Tagalog	246
Capital Region	2011	Tamil	51
Capital Region	2011	Thai	165
Capital Region	2011	Turkish	55
Capital Region	2011	Urdu	99
Capital Region	2011	Vietnamese	220
Capital Region	2016		16493
Capital Region	2016	(Other)	2524
Capital Region	2016	Afrikaans	151
Capital Region	2016	Arabic	514
Capital Region	2016	Australian_Indigenous_Languages	60
Capital Region	2016	Chinese_languages_Bengali	234
Capital Region	2016	Chinese_languages_Cantonese	282
Capital Region	2016	Chinese_languages_Mandarin	559
Capital Region	2016	Chinese_languages_Other	36
Capital Region	2016	Croatian	461
Capital Region	2016	Dutch	325
Capital Region	2016	English	189352
Capital Region	2016	Filipino	245
Capital Region	2016	French	371
Capital Region	2016	German	851
Capital Region	2016	Greek	471
Capital Region	2016	Hindi	342
Capital Region	2016	Indonesian	143
Capital Region	2016	Italian	1056
Capital Region	2016	Japanese	100
Capital Region	2016	Korean	165
Capital Region	2016	Macedonian	950
Capital Region	2016	Persian_includes_Dari	71
Capital Region	2016	Polish	207
Capital Region	2016	Punjabi	520
