SA4_NAME16	Year	Age.min	persons
Capital Region	2006		7640
Capital Region	2006	0	2398
Capital Region	2006	1	2325
Capital Region	2006	2	2302
Capital Region	2006	3	2392
Capital Region	2006	4	2397
Capital Region	2006	5	2600
Capital Region	2006	6	2618
Capital Region	2006	7	2747
Capital Region	2006	8	2706
Capital Region	2006	9	2723
Capital Region	2006	10	2867
Capital Region	2006	11	2991
Capital Region	2006	12	3038
Capital Region	2006	13	2996
Capital Region	2006	14	2917
Capital Region	2006	15	2988
Capital Region	2006	16	2869
Capital Region	2006	17	2686
Capital Region	2006	18	2334
Capital Region	2006	19	2040
Capital Region	2006	20	2030
Capital Region	2006	21	1831
Capital Region	2006	22	1801
Capital Region	2006	23	1826
Capital Region	2006	24	1761
Capital Region	2006	25	1764
Capital Region	2006	26	1733
Capital Region	2006	27	1782
Capital Region	2006	28	1802
Capital Region	2006	29	1875
Capital Region	2006	30	1959
Capital Region	2006	31	2171
Capital Region	2006	32	2167
Capital Region	2006	33	2416
Capital Region	2006	34	2548
Capital Region	2006	35	2694
Capital Region	2006	36	2712
Capital Region	2006	37	2675
Capital Region	2006	38	2679
Capital Region	2006	39	2765
Capital Region	2006	40	2706
Capital Region	2006	41	2790
Capital Region	2006	42	2954
Capital Region	2006	43	3069
Capital Region	2006	44	3173
Capital Region	2006	45	3218
Capital Region	2006	46	3054
Capital Region	2006	47	3118
Capital Region	2006	48	3050
Capital Region	2006	49	3048
Capital Region	2006	50	2940
Capital Region	2006	51	2930
Capital Region	2006	52	2878
Capital Region	2006	53	2996
Capital Region	2006	54	2768
Capital Region	2006	55	2802
Capital Region	2006	56	2847
Capital Region	2006	57	2767
Capital Region	2006	58	2849
Capital Region	2006	59	3116
Capital Region	2006	60	2511
Capital Region	2006	61	2520
Capital Region	2006	62	2384
Capital Region	2006	63	2221
Capital Region	2006	64	2261
Capital Region	2006	65	2113
Capital Region	2006	66	2011
Capital Region	2006	67	1909
Capital Region	2006	68	1843
Capital Region	2006	69	1710
Capital Region	2006	70	1651
Capital Region	2006	71	1626
Capital Region	2006	72	1444
Capital Region	2006	73	1414
Capital Region	2006	74	1405
Capital Region	2006	75	1365
Capital Region	2006	76	1338
Capital Region	2006	77	1283
Capital Region	2006	78	1180
Capital Region	2006	79	1115
Capital Region	2011		9264
Capital Region	2011	0	2391
Capital Region	2011	1	2457
Capital Region	2011	2	2573
Capital Region	2011	3	2664
Capital Region	2011	4	2669
Capital Region	2011	5	2632
Capital Region	2011	6	2513
Capital Region	2011	7	2558
Capital Region	2011	8	2523
Capital Region	2011	9	2588
Capital Region	2011	10	2849
Capital Region	2011	11	2778
Capital Region	2011	12	2993
Capital Region	2011	13	2801
Capital Region	2011	14	2836
Capital Region	2011	15	2842
Capital Region	2011	16	2900
Capital Region	2011	17	2876
Capital Region	2011	18	2556
Capital Region	2011	19	2106
Capital Region	2011	20	2038
Capital Region	2011	21	1952
Capital Region	2011	22	1870
Capital Region	2011	23	1904
Capital Region	2011	24	1856
Capital Region	2011	25	1989
Capital Region	2011	26	1921
Capital Region	2011	27	1928
Capital Region	2011	28	1974
Capital Region	2011	29	1996
Capital Region	2011	30	2030
Capital Region	2011	31	1962
Capital Region	2011	32	2088
Capital Region	2011	33	2098
Capital Region	2011	34	2148
Capital Region	2011	35	2315
Capital Region	2011	36	2478
Capital Region	2011	37	2522
Capital Region	2011	38	2673
Capital Region	2011	39	2859
Capital Region	2011	40	3027
Capital Region	2011	41	2909
Capital Region	2011	42	2936
Capital Region	2011	43	2879
Capital Region	2011	44	2926
Capital Region	2011	45	2887
Capital Region	2011	46	2934
Capital Region	2011	47	3045
Capital Region	2011	48	3195
Capital Region	2011	49	3227
Capital Region	2011	50	3281
Capital Region	2011	51	3131
Capital Region	2011	52	3247
Capital Region	2011	53	3108
Capital Region	2011	54	3067
Capital Region	2011	55	2980
Capital Region	2011	56	3011
Capital Region	2011	57	3013
Capital Region	2011	58	3056
Capital Region	2011	59	2923
Capital Region	2011	60	2955
Capital Region	2011	61	2967
Capital Region	2011	62	2919
Capital Region	2011	63	2924
Capital Region	2011	64	3195
Capital Region	2011	65	2527
Capital Region	2011	66	2465
Capital Region	2011	67	2390
Capital Region	2011	68	2174
Capital Region	2011	69	2173
Capital Region	2011	70	1992
Capital Region	2011	71	1914
Capital Region	2011	72	1795
Capital Region	2011	73	1699
Capital Region	2011	74	1529
Capital Region	2011	75	1480
Capital Region	2011	76	1402
Capital Region	2011	77	1213
Capital Region	2011	78	1182
Capital Region	2011	79	1176
Capital Region	2016		10586
Capital Region	2016	0	2240
Capital Region	2016	1	2294
Capital Region	2016	2	2418
Capital Region	2016	3	2448
