SA4_NAME16	Year	SameAddress1YearAgo	persons
Capital Region	2006		12835
Capital Region	2006	0	28703
Capital Region	2006	1	156404
Capital Region	2011		13008
Capital Region	2011	0	28615
Capital Region	2011	1	166200
Capital Region	2016		22059
Capital Region	2016	0	29026
Capital Region	2016	1	167758
Central Coast	2006		20614
Central Coast	2006	0	41428
Central Coast	2006	1	235915
Central Coast	2011		17658
Central Coast	2011	0	41089
Central Coast	2011	1	253435
Central Coast	2016		29254
Central Coast	2016	0	43534
Central Coast	2016	1	254948
Central West	2006		11351
Central West	2006	0	27542
Central West	2006	1	150778
Central West	2011		13124
Central West	2011	0	27350
Central West	2011	1	156266
Central West	2016		23963
Central West	2016	0	26881
Central West	2016	1	155311
Coffs Harbour - Grafton	2006		6565
Coffs Harbour - Grafton	2006	0	19949
Coffs Harbour - Grafton	2006	1	98955
Coffs Harbour - Grafton	2011		6827
Coffs Harbour - Grafton	2011	0	19985
Coffs Harbour - Grafton	2011	1	103790
Coffs Harbour - Grafton	2016		13506
Coffs Harbour - Grafton	2016	0	19481
Coffs Harbour - Grafton	2016	1	103301
Far West and Orana	2006		8396
Far West and Orana	2006	0	16864
Far West and Orana	2006	1	89225
Far West and Orana	2011		8467
Far West and Orana	2011	0	15087
Far West and Orana	2011	1	90035
Far West and Orana	2016		14468
Far West and Orana	2016	0	14176
Far West and Orana	2016	1	85135
Hunter Valley exc Newcastle	2006		13634
Hunter Valley exc Newcastle	2006	0	33080
Hunter Valley exc Newcastle	2006	1	179039
Hunter Valley exc Newcastle	2011		14681
Hunter Valley exc Newcastle	2011	0	34347
Hunter Valley exc Newcastle	2011	1	194219
Hunter Valley exc Newcastle	2016		25880
Hunter Valley exc Newcastle	2016	0	36023
Hunter Valley exc Newcastle	2016	1	201513
Illawarra	2006		15498
Illawarra	2006	0	33258
Illawarra	2006	1	214781
Illawarra	2011		13640
Illawarra	2011	0	34649
Illawarra	2011	1	227694
Illawarra	2016		24075
Illawarra	2016	0	37308
Illawarra	2016	1	232111
Mid North Coast	2006		10653
Mid North Coast	2006	0	28198
