SA4_NAME16	Year	medianTotalHouseholdIncomeWeekly
Capital Region	2006	872
Central Coast	2006	855
Central West	2006	797
Coffs Harbour - Grafton	2006	657
Far West and Orana	2006	732
Hunter Valley exc Newcastle	2006	937
Illawarra	2006	954
Mid North Coast	2006	632
Murray	2006	826
New England and North West	2006	753
Newcastle and Lake Macquarie	2006	900
Richmond - Tweed	2006	710
Riverina	2006	863
Southern Highlands and Shoalhaven	2006	748
Sydney - Baulkham Hills and Hawkesbury	2006	1661
Sydney - Blacktown	2006	1117
Sydney - City and Inner South	2006	1185
Sydney - Eastern Suburbs	2006	1367
Sydney - Inner South West	2006	980
Sydney - Inner West	2006	1280
Sydney - North Sydney and Hornsby	2006	1771
Sydney - Northern Beaches	2006	1428
Sydney - Outer South West	2006	1146
Sydney - Outer West and Blue Mountains	2006	1138
Sydney - Parramatta	2006	1020
Sydney - Ryde	2006	1278
Sydney - South West	2006	1006
Sydney - Sutherland	2006	1353
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	777
Bendigo	2006	796
Geelong	2006	911
Hume	2006	848
Latrobe - Gippsland	2006	750
Melbourne - Inner	2006	1146
Melbourne - Inner East	2006	1252
Melbourne - Inner South	2006	1169
Melbourne - North East	2006	1083
Melbourne - North West	2006	1009
Melbourne - Outer East	2006	1128
Melbourne - South East	2006	1042
Melbourne - West	2006	1037
Mornington Peninsula	2006	933
North West	2006	740
Shepparton	2006	819
Warrnambool and South West	2006	836
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Brisbane - East	2006	1123
Brisbane - North	2006	1083
Brisbane - South	2006	1148
Brisbane - West	2006	1378
Brisbane Inner City	2006	1258
Cairns	2006	989
Darling Downs - Maranoa	2006	795
Central Queensland	2006	1055
Gold Coast	2006	1027
Ipswich	2006	998
Logan - Beaudesert	2006	1053
Mackay - Isaac - Whitsunday	2006	1147
Moreton Bay - North	2006	856
Moreton Bay - South	2006	1246
Queensland - Outback	2006	1000
Sunshine Coast	2006	895
Toowoomba	2006	950
Townsville	2006	1055
Wide Bay	2006	674
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide - Central and Hills	2006	1074
Adelaide - North	2006	885
Adelaide - South	2006	952
Adelaide - West	2006	783
Barossa - Yorke - Mid North	2006	715
South Australia - Outback	2006	830
South Australia - South East	2006	745
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Bunbury	2006	1007
Mandurah	2006	819
Perth - Inner	2006	1230
Perth - North East	2006	1056
Perth - North West	2006	1124
Perth - South East	2006	1053
Perth - South West	2006	1089
Western Australia - Wheat Belt	2006	837
Western Australia - Outback (North)	2006	1363
Western Australia - Outback (South)	2006	1042
Migratory - Offshore - Shipping (WA)	2006	0
No usual address (WA)	2006	0
Hobart	2006	902
Launceston and North East	2006	759
South East	2006	687
West and North West	2006	736
Migratory - Offshore - Shipping (Tas.)	2006	0
No usual address (Tas.)	2006	0
Darwin	2006	1261
Northern Territory - Outback	2006	1097
Migratory - Offshore - Shipping (NT)	2006	0
No usual address (NT)	2006	0
Australian Capital Territory	2006	1450
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	0
Other Territories	2006	1184
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	0
Capital Region	2011	1039
Central Coast	2011	1000
Central West	2011	977
Coffs Harbour - Grafton	2011	835
Far West and Orana	2011	894
Hunter Valley exc Newcastle	2011	1159
Illawarra	2011	1113
Mid North Coast	2011	779
Murray	2011	920
New England and North West	2011	902
Newcastle and Lake Macquarie	2011	1132
Richmond - Tweed	2011	862
Riverina	2011	993
Southern Highlands and Shoalhaven	2011	895
Sydney - Baulkham Hills and Hawkesbury	2011	1990
Sydney - Blacktown	2011	1386
Sydney - City and Inner South	2011	1543
Sydney - Eastern Suburbs	2011	1725
Sydney - Inner South West	2011	1167
Sydney - Inner West	2011	1624
Sydney - North Sydney and Hornsby	2011	2105
Sydney - Northern Beaches	2011	1770
Sydney - Outer South West	2011	1386
Sydney - Outer West and Blue Mountains	2011	1343
Sydney - Parramatta	2011	1234
Sydney - Ryde	2011	1581
Sydney - South West	2011	1169
Sydney - Sutherland	2011	1648
Migratory - Offshore - Shipping (NSW)	2011	0
No usual address (NSW)	2011	0
Ballarat	2011	934
Bendigo	2011	962
Geelong	2011	1079
Hume	2011	948
Latrobe - Gippsland	2011	911
Melbourne - Inner	2011	1501
Melbourne - Inner East	2011	1548
Melbourne - Inner South	2011	1488
Melbourne - North East	2011	1321
Melbourne - North West	2011	1208
Melbourne - Outer East	2011	1350
Melbourne - South East	2011	1230
Melbourne - West	2011	1275
Mornington Peninsula	2011	1096
North West	2011	854
Shepparton	2011	911
Warrnambool and South West	2011	952
Migratory - Offshore - Shipping (Vic.)	2011	0
No usual address (Vic.)	2011	0
Brisbane - East	2011	1413
Brisbane - North	2011	1394
Brisbane - South	2011	1460
Brisbane - West	2011	1758
Brisbane Inner City	2011	1695
Cairns	2011	1046
Darling Downs - Maranoa	2011	955
Central Queensland	2011	1380
Gold Coast	2011	1165
Ipswich	2011	1187
Logan - Beaudesert	2011	1244
Mackay - Isaac - Whitsunday	2011	1535
Moreton Bay - North	2011	1017
Moreton Bay - South	2011	1592
Queensland - Outback	2011	1165
Sunshine Coast	2011	1004
Toowoomba	2011	1094
Townsville	2011	1278
Wide Bay	2011	801
Migratory - Offshore - Shipping (Qld)	2011	0
No usual address (Qld)	2011	0
Adelaide - Central and Hills	2011	1286
Adelaide - North	2011	1038
Adelaide - South	2011	1128
Adelaide - West	2011	996
Barossa - Yorke - Mid North	2011	865
South Australia - Outback	2011	995
South Australia - South East	2011	856
Migratory - Offshore - Shipping (SA)	2011	0
No usual address (SA)	2011	0
Bunbury	2011	1196
Mandurah	2011	989
Perth - Inner	2011	1724
Perth - North East	2011	1392
Perth - North West	2011	1512
Perth - South East	2011	1404
Perth - South West	2011	1471
Western Australia - Wheat Belt	2011	973
