SA4_NAME16	Year	Sex	employmentToPopulation
Capital Region	2006	F	51
Capital Region	2006	M	60
Capital Region	2011	F	52.7
Capital Region	2011	M	60
Capital Region	2016	F	51.5
Capital Region	2016	M	56.7
Central Coast	2006	F	45.5
Central Coast	2006	M	56.9
Central Coast	2011	F	47.3
Central Coast	2011	M	57.4
Central Coast	2016	F	48.3
Central Coast	2016	M	56.5
Central West	2006	F	48.8
Central West	2006	M	60.1
Central West	2011	F	50.2
Central West	2011	M	60
Central West	2016	F	49
Central West	2016	M	55.5
Coffs Harbour - Grafton	2006	F	43.2
Coffs Harbour - Grafton	2006	M	51
Coffs Harbour - Grafton	2011	F	44.9
Coffs Harbour - Grafton	2011	M	50.8
Coffs Harbour - Grafton	2016	F	44.2
Coffs Harbour - Grafton	2016	M	48.5
Far West and Orana	2006	F	48.1
Far West and Orana	2006	M	58.6
Far West and Orana	2011	F	49.9
Far West and Orana	2011	M	57.9
Far West and Orana	2016	F	48.5
Far West and Orana	2016	M	54
Hunter Valley exc Newcastle	2006	F	47
Hunter Valley exc Newcastle	2006	M	61.3
Hunter Valley exc Newcastle	2011	F	49.4
Hunter Valley exc Newcastle	2011	M	62.4
Hunter Valley exc Newcastle	2016	F	48.6
Hunter Valley exc Newcastle	2016	M	57.2
Illawarra	2006	F	46.6
Illawarra	2006	M	58.9
Illawarra	2011	F	48.6
Illawarra	2011	M	58.6
Illawarra	2016	F	49.7
Illawarra	2016	M	56.7
Mid North Coast	2006	F	39.2
Mid North Coast	2006	M	46.8
Mid North Coast	2011	F	40.5
Mid North Coast	2011	M	46
Mid North Coast	2016	F	40
Mid North Coast	2016	M	43.7
Murray	2006	F	51.1
Murray	2006	M	63.8
Murray	2011	F	51.2
Murray	2011	M	61
Murray	2016	F	49.7
Murray	2016	M	56.6
New England and North West	2006	F	47.8
New England and North West	2006	M	59.9
New England and North West	2011	F	49.3
New England and North West	2011	M	59.1
New England and North West	2016	F	48.3
New England and North West	2016	M	56
Newcastle and Lake Macquarie	2006	F	47.4
Newcastle and Lake Macquarie	2006	M	57.8
Newcastle and Lake Macquarie	2011	F	51
Newcastle and Lake Macquarie	2011	M	60
Newcastle and Lake Macquarie	2016	F	51.5
Newcastle and Lake Macquarie	2016	M	57.2
Richmond - Tweed	2006	F	44.5
Richmond - Tweed	2006	M	53.5
Richmond - Tweed	2011	F	46.5
Richmond - Tweed	2011	M	53
Richmond - Tweed	2016	F	46.2
Richmond - Tweed	2016	M	51.1
Riverina	2006	F	51.7
Riverina	2006	M	64.5
Riverina	2011	F	52.3
Riverina	2011	M	63.5
Riverina	2016	F	51.8
Riverina	2016	M	59.5
Southern Highlands and Shoalhaven	2006	F	42.4
Southern Highlands and Shoalhaven	2006	M	52.3
Southern Highlands and Shoalhaven	2011	F	43.6
Southern Highlands and Shoalhaven	2011	M	51.4
Southern Highlands and Shoalhaven	2016	F	43.4
Southern Highlands and Shoalhaven	2016	M	49.6
Sydney - Baulkham Hills and Hawkesbury	2006	F	60.8
Sydney - Baulkham Hills and Hawkesbury	2006	M	73.3
Sydney - Baulkham Hills and Hawkesbury	2011	F	60.1
Sydney - Baulkham Hills and Hawkesbury	2011	M	71.1
Sydney - Baulkham Hills and Hawkesbury	2016	F	58.9
Sydney - Baulkham Hills and Hawkesbury	2016	M	68.9
Sydney - Blacktown	2006	F	50.5
Sydney - Blacktown	2006	M	65.2
Sydney - Blacktown	2011	F	51.6
Sydney - Blacktown	2011	M	65.2
Sydney - Blacktown	2016	F	52.2
Sydney - Blacktown	2016	M	64.4
Sydney - City and Inner South	2006	F	52.7
Sydney - City and Inner South	2006	M	57.4
Sydney - City and Inner South	2011	F	58.7
Sydney - City and Inner South	2011	M	63.9
Sydney - City and Inner South	2016	F	58.7
Sydney - City and Inner South	2016	M	63.5
Sydney - Eastern Suburbs	2006	F	55
Sydney - Eastern Suburbs	2006	M	61.7
Sydney - Eastern Suburbs	2011	F	56.6
