SA4_NAME16	Year	Age	NonSchoolQualification	Sex	adults
Capital Region	2006	15-19		F	767
Capital Region	2006	15-19		M	857
Capital Region	2006	15-19	Certificate nfd	F	33
Capital Region	2006	15-19	Certificate nfd	M	33
Capital Region	2006	15-19	Certificate I and II Level	F	101
Capital Region	2006	15-19	Certificate I and II Level	M	57
Capital Region	2006	15-19	Certificate III and IV Level	F	180
Capital Region	2006	15-19	Certificate III and IV Level	M	208
Capital Region	2006	15-19	Advanced Diploma and Diploma	F	32
Capital Region	2006	15-19	Advanced Diploma and Diploma	M	6
Capital Region	2006	15-19	Bachelor	F	7
Capital Region	2006	15-19	Bachelor	M	4
Capital Region	2006	15-19	Graduate Diploma and Graduate Certificate	F	0
Capital Region	2006	15-19	Graduate Diploma and Graduate Certificate	M	0
Capital Region	2006	15-19	Postgraduate	F	0
Capital Region	2006	15-19	Postgraduate	M	0
Capital Region	2006	20-24		F	393
Capital Region	2006	20-24		M	554
Capital Region	2006	20-24	Certificate nfd	F	101
Capital Region	2006	20-24	Certificate nfd	M	58
Capital Region	2006	20-24	Certificate I and II Level	F	216
Capital Region	2006	20-24	Certificate I and II Level	M	109
Capital Region	2006	20-24	Certificate III and IV Level	F	753
Capital Region	2006	20-24	Certificate III and IV Level	M	1132
Capital Region	2006	20-24	Advanced Diploma and Diploma	F	264
Capital Region	2006	20-24	Advanced Diploma and Diploma	M	141
Capital Region	2006	20-24	Bachelor	F	386
Capital Region	2006	20-24	Bachelor	M	190
Capital Region	2006	20-24	Graduate Diploma and Graduate Certificate	F	15
Capital Region	2006	20-24	Graduate Diploma and Graduate Certificate	M	4
Capital Region	2006	20-24	Postgraduate	F	4
Capital Region	2006	20-24	Postgraduate	M	0
Capital Region	2006	25-34		F	1014
Capital Region	2006	25-34		M	1231
Capital Region	2006	25-34	Certificate nfd	F	356
Capital Region	2006	25-34	Certificate nfd	M	128
Capital Region	2006	25-34	Certificate I and II Level	F	314
Capital Region	2006	25-34	Certificate I and II Level	M	137
Capital Region	2006	25-34	Certificate III and IV Level	F	1468
Capital Region	2006	25-34	Certificate III and IV Level	M	2918
Capital Region	2006	25-34	Advanced Diploma and Diploma	F	966
