SA4_NAME16	Year	DwellingStructure	occupied_private_dwellings
Murray	2011	Flat/apartment	4262
Murray	2011	Semi-detached, row/terrace house, townhouse etc.	1637
Murray	2011	Separate house	36346
Murray	2016		234
Murray	2016	(Other)	590
Murray	2016	Flat/apartment	1514
Murray	2016	Semi-detached, row/terrace house, townhouse etc.	3985
Murray	2016	Separate house	37520
New England and North West	2006		56
New England and North West	2006	(Other)	844
New England and North West	2006	Flat/apartment	4573
New England and North West	2006	Semi-detached, row/terrace house, townhouse etc.	1321
New England and North West	2006	Separate house	57042
New England and North West	2011		87
New England and North West	2011	(Other)	745
New England and North West	2011	Flat/apartment	4363
New England and North West	2011	Semi-detached, row/terrace house, townhouse etc.	2021
New England and North West	2011	Separate house	58660
New England and North West	2016		536
New England and North West	2016	(Other)	907
New England and North West	2016	Flat/apartment	2595
New England and North West	2016	Semi-detached, row/terrace house, townhouse etc.	3610
New England and North West	2016	Separate house	58659
Newcastle and Lake Macquarie	2006		68
Newcastle and Lake Macquarie	2006	(Other)	1391
Newcastle and Lake Macquarie	2006	Flat/apartment	10896
Newcastle and Lake Macquarie	2006	Semi-detached, row/terrace house, townhouse etc.	10637
Newcastle and Lake Macquarie	2006	Separate house	102315
Newcastle and Lake Macquarie	2011		119
Newcastle and Lake Macquarie	2011	(Other)	904
Newcastle and Lake Macquarie	2011	Flat/apartment	11891
Newcastle and Lake Macquarie	2011	Semi-detached, row/terrace house, townhouse etc.	12187
Newcastle and Lake Macquarie	2011	Separate house	105810
Newcastle and Lake Macquarie	2016		438
Newcastle and Lake Macquarie	2016	(Other)	841
Newcastle and Lake Macquarie	2016	Flat/apartment	10437
Newcastle and Lake Macquarie	2016	Semi-detached, row/terrace house, townhouse etc.	16426
Newcastle and Lake Macquarie	2016	Separate house	107357
Richmond - Tweed	2006		37
Richmond - Tweed	2006	(Other)	3451
Richmond - Tweed	2006	Flat/apartment	8286
Richmond - Tweed	2006	Semi-detached, row/terrace house, townhouse etc.	9522
Richmond - Tweed	2006	Separate house	63167
Richmond - Tweed	2011		90
Richmond - Tweed	2011	(Other)	2591
Richmond - Tweed	2011	Flat/apartment	8685
Richmond - Tweed	2011	Semi-detached, row/terrace house, townhouse etc.	10843
Richmond - Tweed	2011	Separate house	66653
Richmond - Tweed	2016		701
Richmond - Tweed	2016	(Other)	2765
Richmond - Tweed	2016	Flat/apartment	7162
Richmond - Tweed	2016	Semi-detached, row/terrace house, townhouse etc.	12960
Richmond - Tweed	2016	Separate house	67356
Riverina	2006		11
Riverina	2006	(Other)	540
Riverina	2006	Flat/apartment	4072
Riverina	2006	Semi-detached, row/terrace house, townhouse etc.	1490
Riverina	2006	Separate house	47454
Riverina	2011		75
Riverina	2011	(Other)	463
Riverina	2011	Flat/apartment	3849
Riverina	2011	Semi-detached, row/terrace house, townhouse etc.	1852
Riverina	2011	Separate house	48605
Riverina	2016		310
Riverina	2016	(Other)	509
Riverina	2016	Flat/apartment	3826
Riverina	2016	Semi-detached, row/terrace house, townhouse etc.	1938
Riverina	2016	Separate house	48927
Southern Highlands and Shoalhaven	2006		9
Southern Highlands and Shoalhaven	2006	(Other)	835
Southern Highlands and Shoalhaven	2006	Flat/apartment	1852
Southern Highlands and Shoalhaven	2006	Semi-detached, row/terrace house, townhouse etc.	2199
Southern Highlands and Shoalhaven	2006	Separate house	44613
Southern Highlands and Shoalhaven	2011		79
Southern Highlands and Shoalhaven	2011	(Other)	761
Southern Highlands and Shoalhaven	2011	Flat/apartment	1814
Southern Highlands and Shoalhaven	2011	Semi-detached, row/terrace house, townhouse etc.	3043
Southern Highlands and Shoalhaven	2011	Separate house	46876
Southern Highlands and Shoalhaven	2016		404
Southern Highlands and Shoalhaven	2016	(Other)	1138
Southern Highlands and Shoalhaven	2016	Flat/apartment	1282
Southern Highlands and Shoalhaven	2016	Semi-detached, row/terrace house, townhouse etc.	3638
Southern Highlands and Shoalhaven	2016	Separate house	49428
Sydney - Baulkham Hills and Hawkesbury	2006		9
Sydney - Baulkham Hills and Hawkesbury	2006	(Other)	367
Sydney - Baulkham Hills and Hawkesbury	2006	Flat/apartment	2150
Sydney - Baulkham Hills and Hawkesbury	2006	Semi-detached, row/terrace house, townhouse etc.	5015
Sydney - Baulkham Hills and Hawkesbury	2006	Separate house	54446
Sydney - Baulkham Hills and Hawkesbury	2011		51
Sydney - Baulkham Hills and Hawkesbury	2011	(Other)	303
Sydney - Baulkham Hills and Hawkesbury	2011	Flat/apartment	2396
Sydney - Baulkham Hills and Hawkesbury	2011	Semi-detached, row/terrace house, townhouse etc.	5924
Sydney - Baulkham Hills and Hawkesbury	2011	Separate house	56803
Sydney - Baulkham Hills and Hawkesbury	2016		279
Sydney - Baulkham Hills and Hawkesbury	2016	(Other)	287
Sydney - Baulkham Hills and Hawkesbury	2016	Flat/apartment	3450
Sydney - Baulkham Hills and Hawkesbury	2016	Semi-detached, row/terrace house, townhouse etc.	7182
Sydney - Baulkham Hills and Hawkesbury	2016	Separate house	58616
Sydney - Blacktown	2006		24
Sydney - Blacktown	2006	(Other)	646
Sydney - Blacktown	2006	Flat/apartment	3844
Sydney - Blacktown	2006	Semi-detached, row/terrace house, townhouse etc.	9281
Sydney - Blacktown	2006	Separate house	72586
Sydney - Blacktown	2011		73
Sydney - Blacktown	2011	(Other)	396
Sydney - Blacktown	2011	Flat/apartment	4940
Sydney - Blacktown	2011	Semi-detached, row/terrace house, townhouse etc.	10932
Sydney - Blacktown	2011	Separate house	78131
Sydney - Blacktown	2016		348
Sydney - Blacktown	2016	(Other)	457
Sydney - Blacktown	2016	Flat/apartment	5431
Sydney - Blacktown	2016	Semi-detached, row/terrace house, townhouse etc.	16506
Sydney - Blacktown	2016	Separate house	79177
Sydney - City and Inner South	2006		126
Sydney - City and Inner South	2006	(Other)	1026
Sydney - City and Inner South	2006	Flat/apartment	54127
Sydney - City and Inner South	2006	Semi-detached, row/terrace house, townhouse etc.	21205
Sydney - City and Inner South	2006	Separate house	16475
Sydney - City and Inner South	2011		602
Sydney - City and Inner South	2011	(Other)	622
Sydney - City and Inner South	2011	Flat/apartment	67274
Sydney - City and Inner South	2011	Semi-detached, row/terrace house, townhouse etc.	24210
Sydney - City and Inner South	2011	Separate house	16178
Sydney - City and Inner South	2016		824
Sydney - City and Inner South	2016	(Other)	1042
Sydney - City and Inner South	2016	Flat/apartment	82907
Sydney - City and Inner South	2016	Semi-detached, row/terrace house, townhouse etc.	26617
Sydney - City and Inner South	2016	Separate house	13285
Sydney - Eastern Suburbs	2006		114
Sydney - Eastern Suburbs	2006	(Other)	579
Sydney - Eastern Suburbs	2006	Flat/apartment	47395
Sydney - Eastern Suburbs	2006	Semi-detached, row/terrace house, townhouse etc.	15799
Sydney - Eastern Suburbs	2006	Separate house	25313
Sydney - Eastern Suburbs	2011		172
Sydney - Eastern Suburbs	2011	(Other)	418
Sydney - Eastern Suburbs	2011	Flat/apartment	52317
Sydney - Eastern Suburbs	2011	Semi-detached, row/terrace house, townhouse etc.	17569
Sydney - Eastern Suburbs	2011	Separate house	24528
Sydney - Eastern Suburbs	2016		447
Sydney - Eastern Suburbs	2016	(Other)	960
Sydney - Eastern Suburbs	2016	Flat/apartment	56707
Sydney - Eastern Suburbs	2016	Semi-detached, row/terrace house, townhouse etc.	18613
Sydney - Eastern Suburbs	2016	Separate house	22089
Sydney - Inner South West	2006		97
Sydney - Inner South West	2006	(Other)	779
Sydney - Inner South West	2006	Flat/apartment	45430
Sydney - Inner South West	2006	Semi-detached, row/terrace house, townhouse etc.	19851
Sydney - Inner South West	2006	Separate house	100750
Sydney - Inner South West	2011		287
Sydney - Inner South West	2011	(Other)	892
Sydney - Inner South West	2011	Flat/apartment	49832
Sydney - Inner South West	2011	Semi-detached, row/terrace house, townhouse etc.	22401
Sydney - Inner South West	2011	Separate house	101440
Sydney - Inner South West	2016		688
Sydney - Inner South West	2016	(Other)	1095
Sydney - Inner South West	2016	Flat/apartment	57813
Sydney - Inner South West	2016	Semi-detached, row/terrace house, townhouse etc.	26983
Sydney - Inner South West	2016	Separate house	97827
Sydney - Inner West	2006		17
Sydney - Inner West	2006	(Other)	747
Sydney - Inner West	2006	Flat/apartment	32717
Sydney - Inner West	2006	Semi-detached, row/terrace house, townhouse etc.	14996
Sydney - Inner West	2006	Separate house	41747
Sydney - Inner West	2011		153
Sydney - Inner West	2011	(Other)	714
Sydney - Inner West	2011	Flat/apartment	38276
Sydney - Inner West	2011	Semi-detached, row/terrace house, townhouse etc.	16090
Sydney - Inner West	2011	Separate house	41929
Sydney - Inner West	2016		766
Sydney - Inner West	2016	(Other)	1116
Sydney - Inner West	2016	Flat/apartment	47212
Sydney - Inner West	2016	Semi-detached, row/terrace house, townhouse etc.	20570
Sydney - Inner West	2016	Separate house	35295
Sydney - North Sydney and Hornsby	2006		62
Sydney - North Sydney and Hornsby	2006	(Other)	619
Sydney - North Sydney and Hornsby	2006	Flat/apartment	47147
Sydney - North Sydney and Hornsby	2006	Semi-detached, row/terrace house, townhouse etc.	10493
Sydney - North Sydney and Hornsby	2006	Separate house	72260
Sydney - North Sydney and Hornsby	2011		219
Sydney - North Sydney and Hornsby	2011	(Other)	281
Sydney - North Sydney and Hornsby	2011	Flat/apartment	53027
Sydney - North Sydney and Hornsby	2011	Semi-detached, row/terrace house, townhouse etc.	11435
Sydney - North Sydney and Hornsby	2011	Separate house	73401
Sydney - North Sydney and Hornsby	2016		419
Sydney - North Sydney and Hornsby	2016	(Other)	281
Sydney - North Sydney and Hornsby	2016	Flat/apartment	62380
Sydney - North Sydney and Hornsby	2016	Semi-detached, row/terrace house, townhouse etc.	11959
Sydney - North Sydney and Hornsby	2016	Separate house	71675
Sydney - Northern Beaches	2006		31
Sydney - Northern Beaches	2006	(Other)	431
Sydney - Northern Beaches	2006	Flat/apartment	23780
Sydney - Northern Beaches	2006	Semi-detached, row/terrace house, townhouse etc.	5827
Sydney - Northern Beaches	2006	Separate house	51062
Sydney - Northern Beaches	2011		73
Sydney - Northern Beaches	2011	(Other)	331
Sydney - Northern Beaches	2011	Flat/apartment	26655
Sydney - Northern Beaches	2011	Semi-detached, row/terrace house, townhouse etc.	7064
Sydney - Northern Beaches	2011	Separate house	51423
Sydney - Northern Beaches	2016		385
Sydney - Northern Beaches	2016	(Other)	455
Sydney - Northern Beaches	2016	Flat/apartment	28497
Sydney - Northern Beaches	2016	Semi-detached, row/terrace house, townhouse etc.	7895
Sydney - Northern Beaches	2016	Separate house	50714
Sydney - Outer South West	2006		26
Sydney - Outer South West	2006	(Other)	313
Sydney - Outer South West	2006	Flat/apartment	1619
Sydney - Outer South West	2006	Semi-detached, row/terrace house, townhouse etc.	8133
Sydney - Outer South West	2006	Separate house	61436
Sydney - Outer South West	2011		41
Sydney - Outer South West	2011	(Other)	349
Sydney - Outer South West	2011	Flat/apartment	2261
Sydney - Outer South West	2011	Semi-detached, row/terrace house, townhouse etc.	8685
Sydney - Outer South West	2011	Separate house	64618
Sydney - Outer South West	2016		279
Sydney - Outer South West	2016	(Other)	264
Sydney - Outer South West	2016	Flat/apartment	2493
Sydney - Outer South West	2016	Semi-detached, row/terrace house, townhouse etc.	10246
Sydney - Outer South West	2016	Separate house	69437
Sydney - Outer West and Blue Mountains	2006		28
Sydney - Outer West and Blue Mountains	2006	(Other)	446
Sydney - Outer West and Blue Mountains	2006	Flat/apartment	4785
Sydney - Outer West and Blue Mountains	2006	Semi-detached, row/terrace house, townhouse etc.	7085
Sydney - Outer West and Blue Mountains	2006	Separate house	83025
Sydney - Outer West and Blue Mountains	2011		105
Sydney - Outer West and Blue Mountains	2011	(Other)	352
Sydney - Outer West and Blue Mountains	2011	Flat/apartment	5537
Sydney - Outer West and Blue Mountains	2011	Semi-detached, row/terrace house, townhouse etc.	9604
Sydney - Outer West and Blue Mountains	2011	Separate house	83677
Sydney - Outer West and Blue Mountains	2016		422
Sydney - Outer West and Blue Mountains	2016	(Other)	306
Sydney - Outer West and Blue Mountains	2016	Flat/apartment	4817
Sydney - Outer West and Blue Mountains	2016	Semi-detached, row/terrace house, townhouse etc.	10943
Sydney - Outer West and Blue Mountains	2016	Separate house	87678
Sydney - Parramatta	2006		327
Sydney - Parramatta	2006	(Other)	427
Sydney - Parramatta	2006	Flat/apartment	29427
Sydney - Parramatta	2006	Semi-detached, row/terrace house, townhouse etc.	13402
Sydney - Parramatta	2006	Separate house	74237
Sydney - Parramatta	2011		215
Sydney - Parramatta	2011	(Other)	290
