SA4_NAME16	Year	Sex	adults
Adelaide - Central and Hills	2006	F	115585
Adelaide - Central and Hills	2006	M	105767
Adelaide - Central and Hills	2011	F	120456
Adelaide - Central and Hills	2011	M	111419
Adelaide - Central and Hills	2016	F	126143
Adelaide - Central and Hills	2016	M	116870
Adelaide - North	2006	F	147514
Adelaide - North	2006	M	141350
Adelaide - North	2011	F	160020
Adelaide - North	2011	M	154327
Adelaide - North	2016	F	173167
Adelaide - North	2016	M	167148
Adelaide - South	2006	F	138265
Adelaide - South	2006	M	127227
Adelaide - South	2011	F	145424
Adelaide - South	2011	M	134567
Adelaide - South	2016	F	153110
Adelaide - South	2016	M	140526
Adelaide - West	2006	F	88877
Adelaide - West	2006	M	83470
Adelaide - West	2011	F	93619
Adelaide - West	2011	M	88764
Adelaide - West	2016	F	99337
Adelaide - West	2016	M	93477
Australian Capital Territory	2006	F	133698
Australian Capital Territory	2006	M	127799
Australian Capital Territory	2011	F	148067
Australian Capital Territory	2011	M	142231
Australian Capital Territory	2016	F	165479
Australian Capital Territory	2016	M	156932
Ballarat	2006	F	56508
Ballarat	2006	M	52639
Ballarat	2011	F	61351
Ballarat	2011	M	57101
Ballarat	2016	F	66544
Ballarat	2016	M	61973
Barossa - Yorke - Mid North	2006	F	41588
Barossa - Yorke - Mid North	2006	M	41076
Barossa - Yorke - Mid North	2011	F	43582
Barossa - Yorke - Mid North	2011	M	42988
Barossa - Yorke - Mid North	2016	F	45942
Barossa - Yorke - Mid North	2016	M	45389
Bendigo	2006	F	54784
Bendigo	2006	M	50755
Bendigo	2011	F	59045
Bendigo	2011	M	54822
Bendigo	2016	F	64609
Bendigo	2016	M	60177
Brisbane - East	2006	F	78523
Brisbane - East	2006	M	73088
Brisbane - East	2011	F	86867
Brisbane - East	2011	M	80971
Brisbane - East	2016	F	92957
Brisbane - East	2016	M	86770
Brisbane - North	2006	F	74741
Brisbane - North	2006	M	67468
Brisbane - North	2011	F	81337
Brisbane - North	2011	M	75147
Brisbane - North	2016	F	88259
Brisbane - North	2016	M	81221
Brisbane - South	2006	F	120538
Brisbane - South	2006	M	113097
Brisbane - South	2011	F	131751
Brisbane - South	2011	M	125613
Brisbane - South	2016	F	143337
Brisbane - South	2016	M	136176
Brisbane - West	2006	F	68340
Brisbane - West	2006	M	62473
Brisbane - West	2011	F	71524
Brisbane - West	2011	M	66725
Brisbane - West	2016	F	75343
Brisbane - West	2016	M	69685
Brisbane Inner City	2006	F	89650
Brisbane Inner City	2006	M	87513
Brisbane Inner City	2011	F	96438
Brisbane Inner City	2011	M	96230
Brisbane Inner City	2016	F	108627
Brisbane Inner City	2016	M	106852
Bunbury	2006	F	54455
Bunbury	2006	M	53417
Bunbury	2011	F	62754
Bunbury	2011	M	61642
Bunbury	2016	F	71706
Bunbury	2016	M	68872
Cairns	2006	F	79688
Cairns	2006	M	79087
Cairns	2011	F	89214
Cairns	2011	M	87303
