SA4_NAME16	Year	adults
Adelaide - Central and Hills	2006	221365
Adelaide - Central and Hills	2011	231882
Adelaide - Central and Hills	2016	242991
Adelaide - North	2006	288846
Adelaide - North	2011	314339
Adelaide - North	2016	340317
Adelaide - South	2006	265516
Adelaide - South	2011	279992
Adelaide - South	2016	293619
Adelaide - West	2006	172350
Adelaide - West	2011	182383
Adelaide - West	2016	192818
Australian Capital Territory	2006	261512
Australian Capital Territory	2011	290292
Australian Capital Territory	2016	322404
Ballarat	2006	109150
Ballarat	2011	118450
Ballarat	2016	128518
Barossa - Yorke - Mid North	2006	82663
Barossa - Yorke - Mid North	2011	86573
Barossa - Yorke - Mid North	2016	91327
Bendigo	2006	105541
Bendigo	2011	113870
Bendigo	2016	124785
Brisbane - East	2006	151611
Brisbane - East	2011	167841
Brisbane - East	2016	179731
Brisbane - North	2006	142183
Brisbane - North	2011	156473
Brisbane - North	2016	169468
Brisbane - South	2006	233632
Brisbane - South	2011	257355
Brisbane - South	2016	279516
Brisbane - West	2006	130806
Brisbane - West	2011	138254
Brisbane - West	2016	145047
Brisbane Inner City	2006	177168
Brisbane Inner City	2011	192676
Brisbane Inner City	2016	215486
Bunbury	2006	107874
Bunbury	2011	124390
Bunbury	2016	140563
Cairns	2006	158775
Cairns	2011	176522
Cairns	2016	192532
Capital Region	2006	157929
Capital Region	2011	167994
Capital Region	2016	180080
Central Coast	2006	237069
Central Coast	2011	251486
Central Coast	2016	267312
Central Queensland	2006	149385
Central Queensland	2011	164462
Central Queensland	2016	173134
Central West	2006	149093
Central West	2011	155580
Central West	2016	165260
Coffs Harbour - Grafton	2006	100268
Coffs Harbour - Grafton	2011	105824
Coffs Harbour - Grafton	2016	112428
Darling Downs - Maranoa	2006	88617
Darling Downs - Maranoa	2011	95171
Darling Downs - Maranoa	2016	100391
Darwin	2006	82080
Darwin	2011	95202
Darwin	2016	109304
Far West and Orana	2006	88568
Far West and Orana	2011	89326
Far West and Orana	2016	91138
Geelong	2006	185852
Geelong	2011	203117
Geelong	2016	227126
Gold Coast	2006	364021
Gold Coast	2011	413263
Gold Coast	2016	466540
Hobart	2006	162974
Hobart	2011	171883
Hobart	2016	182258
Hume	2006	121722
Hume	2011	129011
Hume	2016	139793
Hunter Valley exc Newcastle	2006	176094
Hunter Valley exc Newcastle	2011	192230
Hunter Valley exc Newcastle	2016	210153
Illawarra	2006	210628
Illawarra	2011	223236
Illawarra	2016	239726
Ipswich	2006	184663
Ipswich	2011	216537
Ipswich	2016	250292
Latrobe - Gippsland	2006	191601
Latrobe - Gippsland	2011	207845
Latrobe - Gippsland	2016	223597
Launceston and North East	2006	107138
Launceston and North East	2011	111665
Launceston and North East	2016	116030
Logan - Beaudesert	2006	199009
Logan - Beaudesert	2011	223145
Logan - Beaudesert	2016	245995
Mackay - Isaac - Whitsunday	2006	117341
Mackay - Isaac - Whitsunday	2011	131258
Mackay - Isaac - Whitsunday	2016	134505
Mandurah	2006	54234
Mandurah	2011	67504
Mandurah	2016	79181
Melbourne - Inner	2006	404444
Melbourne - Inner	2011	441221
Melbourne - Inner	2016	524282
Melbourne - Inner East	2006	271929
Melbourne - Inner East	2011	282957
Melbourne - Inner East	2016	300350
Melbourne - Inner South	2006	293501
Melbourne - Inner South	2011	308617
Melbourne - Inner South	2016	329837
Melbourne - North East	2006	318154
Melbourne - North East	2011	353130
Melbourne - North East	2016	399495
Melbourne - North West	2006	227086
Melbourne - North West	2011	252719
Melbourne - North West	2016	288611
Melbourne - Outer East	2006	371929
Melbourne - Outer East	2011	388084
Melbourne - Outer East	2016	408060
Melbourne - South East	2006	464732
Melbourne - South East	2011	527043
Melbourne - South East	2016	605123
Melbourne - West	2006	400203
Melbourne - West	2011	486847
Melbourne - West	2016	572484
Mid North Coast	2006	156428
Mid North Coast	2011	165190
Mid North Coast	2016	177501
Migratory - Offshore - Shipping (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2016	0
Migratory - Offshore - Shipping (NSW)	2006	47
Migratory - Offshore - Shipping (NSW)	2011	110
Migratory - Offshore - Shipping (NSW)	2016	371
Migratory - Offshore - Shipping (NT)	2006	101
Migratory - Offshore - Shipping (NT)	2011	108
Migratory - Offshore - Shipping (NT)	2016	67
Migratory - Offshore - Shipping (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2016	3
Migratory - Offshore - Shipping (Qld)	2006	101
Migratory - Offshore - Shipping (Qld)	2011	453
Migratory - Offshore - Shipping (Qld)	2016	154
Migratory - Offshore - Shipping (SA)	2006	4
Migratory - Offshore - Shipping (SA)	2011	6
Migratory - Offshore - Shipping (SA)	2016	3
Migratory - Offshore - Shipping (Tas.)	2006	86
Migratory - Offshore - Shipping (Tas.)	2011	102
Migratory - Offshore - Shipping (Tas.)	2016	70
Migratory - Offshore - Shipping (Vic.)	2006	47
Migratory - Offshore - Shipping (Vic.)	2011	38
Migratory - Offshore - Shipping (Vic.)	2016	23
Migratory - Offshore - Shipping (WA)	2006	340
Migratory - Offshore - Shipping (WA)	2011	410
Migratory - Offshore - Shipping (WA)	2016	436
Moreton Bay - North	2006	147950
Moreton Bay - North	2011	170844
Moreton Bay - North	2016	190516
Moreton Bay - South	2006	107190
Moreton Bay - South	2011	128375
Moreton Bay - South	2016	150366
Mornington Peninsula	2006	204481
Mornington Peninsula	2011	220200
Mornington Peninsula	2016	237264
Murray	2006	86978
Murray	2011	89095
Murray	2016	94351
New England and North West	2006	135309
New England and North West	2011	139758
New England and North West	2016	145923
Newcastle and Lake Macquarie	2006	268667
Newcastle and Lake Macquarie	2011	281082
Newcastle and Lake Macquarie	2016	295681
No usual address (ACT)	2006	610
No usual address (ACT)	2011	573
No usual address (ACT)	2016	510
No usual address (NSW)	2006	9214
No usual address (NSW)	2011	11731
No usual address (NSW)	2016	11554
No usual address (NT)	2006	1736
No usual address (NT)	2011	1722
No usual address (NT)	2016	2283
No usual address (OT)	2006	25
No usual address (OT)	2011	23
No usual address (OT)	2016	51
No usual address (Qld)	2006	11574
No usual address (Qld)	2011	11475
No usual address (Qld)	2016	11696
No usual address (SA)	2006	2352
No usual address (SA)	2011	2774
No usual address (SA)	2016	2645
No usual address (Tas.)	2006	773
No usual address (Tas.)	2011	970
No usual address (Tas.)	2016	829
No usual address (Vic.)	2006	5651
No usual address (Vic.)	2011	7263
No usual address (Vic.)	2016	6830
No usual address (WA)	2006	5495
No usual address (WA)	2011	6690
No usual address (WA)	2016	5558
North West	2006	117224
North West	2011	118599
North West	2016	123360
Northern Territory - Outback	2006	61380
Northern Territory - Outback	2011	65773
Northern Territory - Outback	2016	67711
Other Territories	2006	1737
Other Territories	2011	2503
Other Territories	2016	3707
Perth - Inner	2006	120477
Perth - Inner	2011	132514
Perth - Inner	2016	143313
Perth - North East	2006	155884
Perth - North East	2011	176269
Perth - North East	2016	202563
Perth - North West	2006	335730
Perth - North West	2011	385767
Perth - North West	2016	429550
Perth - South East	2006	306183
Perth - South East	2011	352326
Perth - South East	2016	395401
Perth - South West	2006	244734
Perth - South West	2011	282080
Perth - South West	2016	323524
Queensland - Outback	2006	58258
Queensland - Outback	2011	62763
Queensland - Outback	2016	61035
Richmond - Tweed	2006	176661
Richmond - Tweed	2011	185262
Richmond - Tweed	2016	198520
Riverina	2006	115343
Riverina	2011	118182
Riverina	2016	124842
Shepparton	2006	94442
Shepparton	2011	99268
Shepparton	2016	105505
South Australia - Outback	2006	64039
South Australia - Outback	2011	67317
South Australia - Outback	2016	66734
South Australia - South East	2006	136385
South Australia - South East	2011	144365
South Australia - South East	2016	153161
South East	2006	27025
South East	2011	28963
South East	2016	30896
Southern Highlands and Shoalhaven	2006	104869
Southern Highlands and Shoalhaven	2011	112044
Southern Highlands and Shoalhaven	2016	122673
Sunshine Coast	2006	222349
Sunshine Coast	2011	248837
Sunshine Coast	2016	284697
Sydney - Baulkham Hills and Hawkesbury	2006	155804
Sydney - Baulkham Hills and Hawkesbury	2011	165879
Sydney - Baulkham Hills and Hawkesbury	2016	180784
Sydney - Blacktown	2006	206625
Sydney - Blacktown	2011	231502
Sydney - Blacktown	2016	262310
Sydney - City and Inner South	2006	219737
Sydney - City and Inner South	2011	237365
Sydney - City and Inner South	2016	285293
Sydney - Eastern Suburbs	2006	201770
Sydney - Eastern Suburbs	2011	211624
Sydney - Eastern Suburbs	2016	226278
Sydney - Inner South West	2006	393798
Sydney - Inner South West	2011	421212
Sydney - Inner South West	2016	464334
Sydney - Inner West	2006	204397
Sydney - Inner West	2011	220845
Sydney - Inner West	2016	247078
Sydney - North Sydney and Hornsby	2006	289858
Sydney - North Sydney and Hornsby	2011	305661
Sydney - North Sydney and Hornsby	2016	330381
Sydney - Northern Beaches	2006	182278
Sydney - Northern Beaches	2011	190397
Sydney - Northern Beaches	2016	203017
Sydney - Outer South West	2006	169426
Sydney - Outer South West	2011	182366
Sydney - Outer South West	2016	204097
Sydney - Outer West and Blue Mountains	2006	216563
Sydney - Outer West and Blue Mountains	2011	227239
Sydney - Outer West and Blue Mountains	2016	244788
Sydney - Parramatta	2006	284381
Sydney - Parramatta	2011	316377
Sydney - Parramatta	2016	359922
Sydney - Ryde	2006	128027
Sydney - Ryde	2011	134978
Sydney - Ryde	2016	151210
Sydney - South West	2006	259294
Sydney - South West	2011	281526
Sydney - South West	2016	320571
Sydney - Sutherland	2006	165109
Sydney - Sutherland	2011	170018
Sydney - Sutherland	2016	176341
Toowoomba	2006	101607
Toowoomba	2011	110093
Toowoomba	2016	119237
Townsville	2006	153710
Townsville	2011	171920
Townsville	2016	183251
Warrnambool and South West	2006	94371
Warrnambool and South West	2011	96968
Warrnambool and South West	2016	100664
West and North West	2006	84447
West and North West	2011	87888
West and North West	2016	89661
Western Australia - Outback (North)	2006	52116
Western Australia - Outback (North)	2011	74621
Western Australia - Outback (North)	2016	73493
Western Australia - Outback (South)	2006	83399
Western Australia - Outback (South)	2011	93892
Western Australia - Outback (South)	2016	94050
Western Australia - Wheat Belt	2006	96175
Western Australia - Wheat Belt	2011	102631
Western Australia - Wheat Belt	2016	110111
Wide Bay	2006	198098
Wide Bay	2011	219164
Wide Bay	2016	236942
