SA4_NAME16	Year	Sex	overseas_visitors
Capital Region	2006	F	546
Capital Region	2006	M	544
Capital Region	2011	F	569
Capital Region	2011	M	563
Capital Region	2016	F	765
Capital Region	2016	M	774
Central Coast	2006	F	579
Central Coast	2006	M	384
Central Coast	2011	F	465
Central Coast	2011	M	359
Central Coast	2016	F	680
Central Coast	2016	M	503
Central West	2006	F	239
Central West	2006	M	214
Central West	2011	F	331
Central West	2011	M	303
Central West	2016	F	296
Central West	2016	M	233
Coffs Harbour - Grafton	2006	F	339
Coffs Harbour - Grafton	2006	M	278
Coffs Harbour - Grafton	2011	F	379
Coffs Harbour - Grafton	2011	M	310
Coffs Harbour - Grafton	2016	F	505
Coffs Harbour - Grafton	2016	M	405
Far West and Orana	2006	F	165
Far West and Orana	2006	M	141
Far West and Orana	2011	F	181
Far West and Orana	2011	M	208
Far West and Orana	2016	F	239
Far West and Orana	2016	M	173
Hunter Valley exc Newcastle	2006	F	333
Hunter Valley exc Newcastle	2006	M	323
Hunter Valley exc Newcastle	2011	F	373
Hunter Valley exc Newcastle	2011	M	313
Hunter Valley exc Newcastle	2016	F	507
Hunter Valley exc Newcastle	2016	M	366
Illawarra	2006	F	728
Illawarra	2006	M	621
Illawarra	2011	F	765
Illawarra	2011	M	739
Illawarra	2016	F	1086
Illawarra	2016	M	874
Mid North Coast	2006	F	380
Mid North Coast	2006	M	287
Mid North Coast	2011	F	301
Mid North Coast	2011	M	255
Mid North Coast	2016	F	439
Mid North Coast	2016	M	348
Murray	2006	F	173
Murray	2006	M	164
Murray	2011	F	160
Murray	2011	M	170
Murray	2016	F	264
Murray	2016	M	271
New England and North West	2006	F	304
New England and North West	2006	M	256
New England and North West	2011	F	349
New England and North West	2011	M	384
New England and North West	2016	F	487
New England and North West	2016	M	467
Newcastle and Lake Macquarie	2006	F	772
Newcastle and Lake Macquarie	2006	M	676
Newcastle and Lake Macquarie	2011	F	770
Newcastle and Lake Macquarie	2011	M	753
Newcastle and Lake Macquarie	2016	F	1054
Newcastle and Lake Macquarie	2016	M	750
Richmond - Tweed	2006	F	1113
Richmond - Tweed	2006	M	922
Richmond - Tweed	2011	F	1137
Richmond - Tweed	2011	M	942
Richmond - Tweed	2016	F	1075
Richmond - Tweed	2016	M	841
Riverina	2006	F	252
Riverina	2006	M	244
Riverina	2011	F	242
Riverina	2011	M	318
Riverina	2016	F	489
Riverina	2016	M	425
Southern Highlands and Shoalhaven	2006	F	239
Southern Highlands and Shoalhaven	2006	M	196
Southern Highlands and Shoalhaven	2011	F	276
Southern Highlands and Shoalhaven	2011	M	248
Southern Highlands and Shoalhaven	2016	F	325
Southern Highlands and Shoalhaven	2016	M	242
Sydney - Baulkham Hills and Hawkesbury	2006	F	728
Sydney - Baulkham Hills and Hawkesbury	2006	M	524
Sydney - Baulkham Hills and Hawkesbury	2011	F	844
Sydney - Baulkham Hills and Hawkesbury	2011	M	595
Sydney - Baulkham Hills and Hawkesbury	2016	F	1517
Sydney - Baulkham Hills and Hawkesbury	2016	M	1094
Sydney - Blacktown	2006	F	937
Sydney - Blacktown	2006	M	663
Sydney - Blacktown	2011	F	1247
Sydney - Blacktown	2011	M	781
Sydney - Blacktown	2016	F	2340
Sydney - Blacktown	2016	M	1485
Sydney - City and Inner South	2006	F	6928
Sydney - City and Inner South	2006	M	7398
Sydney - City and Inner South	2011	F	7797
Sydney - City and Inner South	2011	M	8226
Sydney - City and Inner South	2016	F	13415
Sydney - City and Inner South	2016	M	12554
Sydney - Eastern Suburbs	2006	F	2772
Sydney - Eastern Suburbs	2006	M	2559
Sydney - Eastern Suburbs	2011	F	2646
Sydney - Eastern Suburbs	2011	M	2298
Sydney - Eastern Suburbs	2016	F	3501
Sydney - Eastern Suburbs	2016	M	2870
Sydney - Inner South West	2006	F	1921
Sydney - Inner South West	2006	M	1467
Sydney - Inner South West	2011	F	2425
Sydney - Inner South West	2011	M	1720
Sydney - Inner South West	2016	F	4469
Sydney - Inner South West	2016	M	3224
Sydney - Inner West	2006	F	1555
Sydney - Inner West	2006	M	1205
Sydney - Inner West	2011	F	1647
Sydney - Inner West	2011	M	1239
Sydney - Inner West	2016	F	2771
Sydney - Inner West	2016	M	1982
Sydney - North Sydney and Hornsby	2006	F	2641
Sydney - North Sydney and Hornsby	2006	M	2152
Sydney - North Sydney and Hornsby	2011	F	2795
Sydney - North Sydney and Hornsby	2011	M	2352
Sydney - North Sydney and Hornsby	2016	F	4486
Sydney - North Sydney and Hornsby	2016	M	3303
Sydney - Northern Beaches	2006	F	1407
Sydney - Northern Beaches	2006	M	1210
Sydney - Northern Beaches	2011	F	1215
Sydney - Northern Beaches	2011	M	1027
Sydney - Northern Beaches	2016	F	1519
Sydney - Northern Beaches	2016	M	1234
Sydney - Outer South West	2006	F	414
Sydney - Outer South West	2006	M	309
Sydney - Outer South West	2011	F	406
Sydney - Outer South West	2011	M	298
Sydney - Outer South West	2016	F	889
Sydney - Outer South West	2016	M	622
Sydney - Outer West and Blue Mountains	2006	F	713
Sydney - Outer West and Blue Mountains	2006	M	566
Sydney - Outer West and Blue Mountains	2011	F	602
Sydney - Outer West and Blue Mountains	2011	M	480
Sydney - Outer West and Blue Mountains	2016	F	1176
Sydney - Outer West and Blue Mountains	2016	M	835
Sydney - Parramatta	2006	F	1786
Sydney - Parramatta	2006	M	1459
Sydney - Parramatta	2011	F	2363
Sydney - Parramatta	2011	M	1830
Sydney - Parramatta	2016	F	4212
Sydney - Parramatta	2016	M	3249
Sydney - Ryde	2006	F	1353
Sydney - Ryde	2006	M	1018
Sydney - Ryde	2011	F	1509
Sydney - Ryde	2011	M	1125
Sydney - Ryde	2016	F	2332
Sydney - Ryde	2016	M	1777
Sydney - South West	2006	F	612
Sydney - South West	2006	M	451
Sydney - South West	2011	F	855
Sydney - South West	2011	M	592
Sydney - South West	2016	F	1532
Sydney - South West	2016	M	1142
Sydney - Sutherland	2006	F	436
Sydney - Sutherland	2006	M	394
Sydney - Sutherland	2011	F	455
Sydney - Sutherland	2011	M	388
Sydney - Sutherland	2016	F	638
Sydney - Sutherland	2016	M	491
Migratory - Offshore - Shipping (NSW)	2006	F	37
Migratory - Offshore - Shipping (NSW)	2006	M	33
Migratory - Offshore - Shipping (NSW)	2011	F	97
Migratory - Offshore - Shipping (NSW)	2011	M	71
Migratory - Offshore - Shipping (NSW)	2016	F	184
Migratory - Offshore - Shipping (NSW)	2016	M	151
No usual address (NSW)	2006	F	0
No usual address (NSW)	2006	M	0
No usual address (NSW)	2011	F	0
No usual address (NSW)	2011	M	0
No usual address (NSW)	2016	F	0
No usual address (NSW)	2016	M	0
Ballarat	2006	F	196
Ballarat	2006	M	149
Ballarat	2011	F	241
Ballarat	2011	M	190
Ballarat	2016	F	311
Ballarat	2016	M	234
Bendigo	2006	F	179
Bendigo	2006	M	141
Bendigo	2011	F	201
Bendigo	2011	M	171
Bendigo	2016	F	314
