SA4_NAME16	Year	medianRentWeekly
Capital Region	2006	160
Central Coast	2006	200
Central West	2006	140
Coffs Harbour - Grafton	2006	170
Far West and Orana	2006	110
Hunter Valley exc Newcastle	2006	170
Illawarra	2006	185
Mid North Coast	2006	165
Murray	2006	130
New England and North West	2006	130
Newcastle and Lake Macquarie	2006	190
Richmond - Tweed	2006	195
Riverina	2006	135
Southern Highlands and Shoalhaven	2006	172
Sydney - Baulkham Hills and Hawkesbury	2006	320
Sydney - Blacktown	2006	200
Sydney - City and Inner South	2006	300
Sydney - Eastern Suburbs	2006	330
Sydney - Inner South West	2006	225
Sydney - Inner West	2006	290
Sydney - North Sydney and Hornsby	2006	340
Sydney - Northern Beaches	2006	340
Sydney - Outer South West	2006	195
Sydney - Outer West and Blue Mountains	2006	210
Sydney - Parramatta	2006	225
Sydney - Ryde	2006	270
Sydney - South West	2006	190
Sydney - Sutherland	2006	260
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	150
Bendigo	2006	155
Geelong	2006	160
Hume	2006	150
Latrobe - Gippsland	2006	130
Melbourne - Inner	2006	245
Melbourne - Inner East	2006	241
Melbourne - Inner South	2006	220
Melbourne - North East	2006	195
Melbourne - North West	2006	190
Melbourne - Outer East	2006	200
Melbourne - South East	2006	190
Melbourne - West	2006	180
Mornington Peninsula	2006	175
North West	2006	120
Shepparton	2006	145
Warrnambool and South West	2006	130
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Brisbane - East	2006	240
Brisbane - North	2006	220
Brisbane - South	2006	235
Brisbane - West	2006	250
Brisbane Inner City	2006	255
Cairns	2006	180
Darling Downs - Maranoa	2006	120
Central Queensland	2006	150
Gold Coast	2006	270
Ipswich	2006	180
Logan - Beaudesert	2006	200
Mackay - Isaac - Whitsunday	2006	160
Moreton Bay - North	2006	195
Moreton Bay - South	2006	230
Queensland - Outback	2006	69
Sunshine Coast	2006	245
Toowoomba	2006	175
Townsville	2006	170
Wide Bay	2006	160
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide - Central and Hills	2006	190
Adelaide - North	2006	153
Adelaide - South	2006	170
Adelaide - West	2006	150
Barossa - Yorke - Mid North	2006	120
South Australia - Outback	2006	105
South Australia - South East	2006	120
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Bunbury	2006	160
Mandurah	2006	170
Perth - Inner	2006	200
Perth - North East	2006	170
Perth - North West	2006	190
Perth - South East	2006	175
Perth - South West	2006	180
Western Australia - Wheat Belt	2006	100
Western Australia - Outback (North)	2006	88
Western Australia - Outback (South)	2006	126
Migratory - Offshore - Shipping (WA)	2006	0
No usual address (WA)	2006	0
Hobart	2006	150
Launceston and North East	2006	130
South East	2006	112
West and North West	2006	120
