SA4_NAME16	Year	Occupation	Sex	workers
Capital Region	2006		F	553
Capital Region	2006		M	851
Capital Region	2006	Clerical and administrative workers	F	9678
Capital Region	2006	Clerical and administrative workers	M	2463
Capital Region	2006	Community and personal service workers	F	5760
Capital Region	2006	Community and personal service workers	M	2798
Capital Region	2006	Labourers	F	3670
Capital Region	2006	Labourers	M	6645
Capital Region	2006	Machinery operators and drivers	F	429
Capital Region	2006	Machinery operators and drivers	M	5016
Capital Region	2006	Managers	F	5502
Capital Region	2006	Managers	M	9606
Capital Region	2006	Professionals	F	7913
Capital Region	2006	Professionals	M	5999
Capital Region	2006	Sales workers	F	5134
Capital Region	2006	Sales workers	M	2854
Capital Region	2006	Technicians and trades workers	F	1974
Capital Region	2006	Technicians and trades workers	M	10774
Capital Region	2011		F	769
Capital Region	2011		M	1057
Capital Region	2011	Clerical and administrative workers	F	10780
Capital Region	2011	Clerical and administrative workers	M	2912
Capital Region	2011	Community and personal service workers	F	6902
Capital Region	2011	Community and personal service workers	M	3363
Capital Region	2011	Labourers	F	3329
Capital Region	2011	Labourers	M	6521
Capital Region	2011	Machinery operators and drivers	F	422
Capital Region	2011	Machinery operators and drivers	M	5274
Capital Region	2011	Managers	F	5663
Capital Region	2011	Managers	M	9531
Capital Region	2011	Professionals	F	9251
Capital Region	2011	Professionals	M	6586
Capital Region	2011	Sales workers	F	5411
Capital Region	2011	Sales workers	M	3050
Capital Region	2011	Technicians and trades workers	F	2203
Capital Region	2011	Technicians and trades workers	M	11632
Capital Region	2016		F	794
Capital Region	2016		M	1049
Capital Region	2016	Clerical and administrative workers	F	10663
Capital Region	2016	Clerical and administrative workers	M	2851
Capital Region	2016	Community and personal service workers	F	7857
Capital Region	2016	Community and personal service workers	M	3598
Capital Region	2016	Labourers	F	3458
Capital Region	2016	Labourers	M	6859
Capital Region	2016	Machinery operators and drivers	F	444
Capital Region	2016	Machinery operators and drivers	M	5177
Capital Region	2016	Managers	F	5957
Capital Region	2016	Managers	M	9597
Capital Region	2016	Professionals	F	9983
Capital Region	2016	Professionals	M	6316
Capital Region	2016	Sales workers	F	5494
